time,MPI-ESM-LR,CANESM2,CESM1-CAM5
2000.0,14632250000.0,14632250000.0,14632250000.0
2001.0,14675153000.0,14675153000.0,14675153000.0
2002.0,14690946000.0,14690946000.0,14690946000.0
2003.0,14723055000.0,14723055000.0,14723055000.0
2004.0,14711697000.0,14711697000.0,14711697000.0
2005.0,14718628000.0,14718628000.0,14718628000.0
2006.0,14699132000.0,14699132000.0,14699132000.0
2007.0,14647201000.0,14647201000.0,14647201000.0
2008.0,14597407000.0,14597407000.0,14597407000.0
2009.0,14590518000.0,14590518000.0,14590518000.0
2010.0,14507159000.0,14507159000.0,14507159000.0
2011.0,14470100000.0,14470100000.0,14470100000.0
2012.0,14402713000.0,14402713000.0,14402713000.0
2013.0,14316458000.0,14316458000.0,14316458000.0
2014.0,14286078000.0,14286078000.0,14286078000.0
2015.0,14189383000.0,14189383000.0,14189383000.0
2016.0,14135802000.0,14135802000.0,14135802000.0
2017.0,14042730000.0,14042730000.0,14042730000.0
2018.0,13954212000.0,13954212000.0,13954212000.0
2019.0,13841055000.0,13841055000.0,13841055000.0
2020.0,13793167000.0,13793167000.0,13793167000.0
2021.0,13628891000.0,13724718000.0,13655257000.0
2022.0,13492593000.0,13610632000.0,13599063000.0
2023.0,13423338000.0,13412250000.0,13492241000.0
2024.0,13272804000.0,13365402000.0,13313042000.0
2025.0,13184708000.0,13282051000.0,13154500000.0
2026.0,13035619000.0,13095982000.0,13045067000.0
2027.0,12862140000.0,13034861000.0,12842712000.0
2028.0,12696336000.0,12890319000.0,12760801000.0
2029.0,12482176000.0,12682623000.0,12588516000.0
2030.0,12286522000.0,12484227000.0,12522134000.0
2031.0,12181710000.0,12400678000.0,12327666000.0
2032.0,11955033000.0,12281308000.0,12139719000.0
2033.0,11771060000.0,12109324000.0,11939646000.0
2034.0,11742453000.0,11996353000.0,11804803000.0
2035.0,11681014000.0,11787607000.0,11661819000.0
2036.0,11435905000.0,11592052000.0,11453236000.0
2037.0,11305295000.0,11462690000.0,11301044000.0
2038.0,11199795000.0,11267420000.0,11081156000.0
2039.0,10963177000.0,11113804000.0,10912086000.0
2040.0,10754050000.0,11274374000.0,10755054000.0
2041.0,10656287000.0,10996705000.0,10720156000.0
2042.0,10498077000.0,10717772000.0,10494524000.0
2043.0,10407635000.0,10537588000.0,10224362000.0
