time,MPI-ESM1-2-HR,EC-EARTH3,NORESM2-MM,INM-CM4-8,INM-CM5-0,ACCESS-CM2,CESM2,CAMS-CSM1-0,CESM2-WACCM,ACCESS-ESM1-5,EC-EARTH3-VEG,MRI-ESM2-0,IPSL-CM6A-LR,CANESM5,BCC-CSM2-MR,FGOALS-F3-L,GFDL-ESM4
2000.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0
2001.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0
2002.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0
2003.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0
2004.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0
2005.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0
2006.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0
2007.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0
2008.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0
2009.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0
2010.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0
2011.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0
2012.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0
2013.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0
2014.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0
2015.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0
2016.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0
2017.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0
2018.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0
2019.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0
2020.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0
2021.0,2289028400.0,2271720000.0,2284132900.0,2382923000.0,2340754400.0,2275239200.0,2306118000.0,2309377300.0,2322764000.0,2296170000.0,2310200600.0,2270333200.0,2291891500.0,2300337200.0,2336801500.0,2335858000.0,2330016800.0
2022.0,2334348500.0,2236150000.0,2265255000.0,2365242400.0,2374542800.0,2254284500.0,2318638000.0,2277647400.0,2266797600.0,2299075300.0,2252021800.0,2246460000.0,2274748400.0,2254391300.0,2286064400.0,2301626400.0,2337108500.0
2023.0,2284464000.0,2188782000.0,2261877200.0,2293167400.0,2297520400.0,2265117000.0,2255801000.0,2276474400.0,2244829700.0,2268635100.0,2237009000.0,2223684000.0,2285380000.0,2236731100.0,2284235800.0,2289276400.0,2307411200.0
2024.0,2251975000.0,2150306000.0,2208404000.0,2256497700.0,2358536700.0,2225236000.0,2262035200.0,2275552500.0,2218272800.0,2229065200.0,2207271700.0,2202418400.0,2239280400.0,2228721000.0,2237203200.0,2237597400.0,2267807700.0
2025.0,2220518100.0,2107111400.0,2251419000.0,2227657000.0,2270706000.0,2193603000.0,2206182700.0,2290735900.0,2219918000.0,2265322200.0,2190598100.0,2169892000.0,2239491800.0,2161357600.0,2237884200.0,2201676300.0,2234860300.0
2026.0,2175920600.0,2059619600.0,2164398800.0,2243436800.0,2200460500.0,2131819600.0,2176731600.0,2215886600.0,2156523500.0,2172903400.0,2167375000.0,2149805000.0,2182269700.0,2126386000.0,2216468500.0,2165532700.0,2227208200.0
2027.0,2142628500.0,1999239400.0,2126012500.0,2229730000.0,2176963600.0,2105856300.0,2172607000.0,2166052000.0,2149283000.0,2141480700.0,2114804400.0,2103442200.0,2159678700.0,2088778400.0,2187979000.0,2143383300.0,2185518600.0
2028.0,2119530600.0,1932326100.0,2112622500.0,2207910700.0,2196132900.0,2064162000.0,2126150300.0,2220879600.0,2118888300.0,2100789200.0,2072881200.0,2139793200.0,2177638700.0,2065902200.0,2198800100.0,2138875600.0,2163059200.0
2029.0,2102702300.0,1895605900.0,2090186900.0,2190296600.0,2121504900.0,2056300800.0,2108847600.0,2315420700.0,2092623200.0,2117247200.0,2039819900.0,2055157000.0,2194557200.0,2009649700.0,2250656000.0,2089665000.0,2157740500.0
2030.0,2098822900.0,1836716300.0,2036720300.0,2126624300.0,2099122600.0,2002496800.0,2096193900.0,2274655700.0,2075886600.0,2028348700.0,1989627600.0,2013505400.0,2133672400.0,1979368200.0,2123217200.0,2065593100.0,2109201700.0
2031.0,2075783800.0,1769940400.0,2070919600.0,2110992800.0,2047272700.0,2001457500.0,2069127600.0,2232195600.0,2025815600.0,1994439200.0,1938218900.0,1989847400.0,2115075800.0,1919929100.0,2118926800.0,2038857500.0,2084419200.0
2032.0,2022770300.0,1749357600.0,2038616800.0,2055010200.0,2033681800.0,1957051500.0,2017847200.0,2173196800.0,1991594600.0,1976196200.0,1916975500.0,1954570500.0,2090175900.0,1883461000.0,2090298500.0,2003857400.0,2076836400.0
2033.0,2056718500.0,1635750800.0,2008664600.0,2043448800.0,2027393000.0,1926699000.0,1979762400.0,2131947300.0,1989723000.0,1935021300.0,1864744700.0,1939489300.0,2026504800.0,1838167300.0,2058589200.0,1987632000.0,2029617900.0
2034.0,2023899900.0,1568584200.0,1947152500.0,2042724000.0,1979343900.0,1848922500.0,1932264800.0,2103207700.0,1927178600.0,1894529400.0,1834052500.0,1893669800.0,1980945000.0,1780029400.0,2016347300.0,1969868700.0,2029072500.0
