time,FGOALS-F3-L,BCC-CSM2-MR,GFDL-ESM4,MRI-ESM2-0,EC-EARTH3-VEG,CMCC-CM2-SR5,CESM2,CESM2-WACCM,CAMS-CSM1-0,NORESM2-MM,EC-EARTH3,MPI-ESM1-2-HR,INM-CM5-0,INM-CM4-8
2000.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0,2602306600.0
2001.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0,2557952000.0
2002.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0,2615186400.0
2003.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0,2572791300.0
2004.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0,2507515100.0
2005.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0,2541930000.0
2006.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0,2490418700.0
2007.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0,2476607200.0
2008.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0,2453716700.0
2009.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0,2440313000.0
2010.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0,2477528000.0
2011.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0,2456699400.0
2012.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0,2401347600.0
2013.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0,2423956000.0
2014.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0,2413934000.0
2015.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0,2382622500.0
2016.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0,2363148800.0
2017.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0,2328810000.0
2018.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0,2358109700.0
2019.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0,2322778600.0
2020.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0,2341236000.0
2021.0,2308648400.0,2305963000.0,2375618000.0,2262954000.0,2293317400.0,2507356000.0,2330591700.0,2291626800.0,2312517600.0,2306986000.0,2276341000.0,2313148700.0,2301395500.0,2310900700.0
2022.0,2254944300.0,2306653200.0,2352245000.0,2231729700.0,2275901000.0,2372948500.0,2276727600.0,2298808000.0,2340341200.0,2343853000.0,2247153200.0,2363295500.0,2326260500.0,2313100500.0
2023.0,2254703900.0,2298536000.0,2300314600.0,2207711000.0,2246697000.0,2366310000.0,2240727300.0,2285685800.0,2268357400.0,2264023300.0,2209398800.0,2294869800.0,2313320700.0,2323186700.0
2024.0,2238732800.0,2316094000.0,2307030300.0,2174918000.0,2208902000.0,2292236800.0,2222655500.0,2246798600.0,2279431400.0,2237212400.0,2165094000.0,2306191600.0,2286969300.0,2260751000.0
2025.0,2201422800.0,2244224500.0,2363119900.0,2171224300.0,2219428000.0,2262178000.0,2181257200.0,2219690000.0,2253345800.0,2223939000.0,2108181600.0,2238440700.0,2280471800.0,2214224100.0
2026.0,2160995600.0,2221113900.0,2285365500.0,2129594900.0,2166085600.0,2301440000.0,2159241200.0,2204220400.0,2213887000.0,2194312400.0,2064495200.0,2205036000.0,2225851100.0,2200941800.0
2027.0,2135316100.0,2208081400.0,2257820400.0,2114279700.0,2207481900.0,2255135700.0,2121078300.0,2176912600.0,2202489000.0,2260086800.0,2023542700.0,2164375000.0,2209982500.0,2154035500.0
2028.0,2082440200.0,2180364300.0,2220131600.0,2091027700.0,2122165000.0,2214938600.0,2140948200.0,2134470300.0,2233596400.0,2193879300.0,1971133000.0,2148747800.0,2183478300.0,2131489200.0
2029.0,2066589600.0,2149347300.0,2194680000.0,2115889500.0,2099838800.0,2206251500.0,2080675700.0,2105941100.0,2295336700.0,2135405600.0,1918361600.0,2153534200.0,2131111400.0,2128629000.0
