time,GISS-E2-R,CSIRO-MK3-6-0,CESM1-CAM5,GFDL-ESM2G,CANESM2,IPSL-CM5A-LR,MPI-ESM-LR,CNRM-CM5,NORESM1-M,GFDL-CM3,CCSM4
2000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0
2001.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0
2002.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0
2003.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0
2004.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0
2005.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0
2006.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0
2007.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0
2008.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0
2009.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0
2010.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0
2011.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0
2012.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0
2013.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0
2014.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0
2015.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0
2016.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0
2017.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0
2018.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0
2019.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0
2020.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0
2021.0,149073115094000.0,148909379283000.0,148696108886000.0,149239645999000.0,148839040707000.0,148821209685000.0,148985594797000.0,148738784316000.0,148808093839000.0,148742046766000.0,148986589935000.0
2022.0,148600569951000.0,148499841075000.0,148052360831000.0,148918349340000.0,148278424870000.0,148254482279000.0,148517891992000.0,148129621235000.0,148520045513000.0,148150015563000.0,148711020725000.0
2023.0,148230424498000.0,148015483683000.0,147483654689000.0,148740558267000.0,147743737695000.0,147467134920000.0,148061459237000.0,147761749528000.0,147942293265000.0,147548700043000.0,148340122634000.0
2024.0,147974428788000.0,147504407813000.0,146995007640000.0,148509602448000.0,147128767752000.0,146743792366000.0,147624093843000.0,147359068642000.0,147346732195000.0,146980654056000.0,147942517856000.0
2025.0,147456925845000.0,146785477380000.0,146339260608000.0,148095013805000.0,146765755678000.0,145780317948000.0,147266162460000.0,146978738018000.0,146809642675000.0,146325173823000.0,147462555514000.0
2026.0,147103824937000.0,146122574505000.0,145570223741000.0,147695482787000.0,146358636139000.0,145053914624000.0,146833719600000.0,146695849870000.0,146205869497000.0,145725450082000.0,146993964318000.0
2027.0,146914070129000.0,145622317882000.0,144811973552000.0,147356921456000.0,145935190441000.0,144453638278000.0,146343814482000.0,146119488922000.0,145740355621000.0,145175484809000.0,146550368230000.0
2028.0,146635984347000.0,145112973734000.0,144066143664000.0,147085296653000.0,145605054226000.0,143789674360000.0,145741292980000.0,145602693553000.0,145156466801000.0,144441674882000.0,145950851759000.0
2029.0,146246070244000.0,144622586755000.0,143421351302000.0,146816273037000.0,144906931794000.0,143165381371000.0,145031929537000.0,145062379606000.0,144378974507000.0,144031429186000.0,145436113487000.0
2030.0,145915418516000.0,144137738989000.0,142682211500000.0,146368325345000.0,144217948176000.0,142540012153000.0,144590012107000.0,144613710441000.0,143704096798000.0,143433213556000.0,144729492675000.0
2031.0,145757676378000.0,143668470496000.0,141963817499000.0,146033514047000.0,143558433802000.0,142146730161000.0,144157344555000.0,144168819718000.0,143023019411000.0,142632188406000.0,143953603076000.0
