time,CCSM4,GFDL-CM3,NORESM1-M,IPSL-CM5A-LR,GFDL-ESM2G,CESM1-CAM5,CSIRO-MK3-6-0,GISS-E2-R
2000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0
2001.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0
2002.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0
2003.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0
2004.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0
2005.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0
2006.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0
2007.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0
2008.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0
2009.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0
2010.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0
2011.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0
2012.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0
2013.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0
2014.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0
2015.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0
2016.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0
2017.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0
2018.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0
2019.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0
2020.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0
2021.0,149042246563000.0,148937369524000.0,148964569053000.0,148802911987000.0,149163439386000.0,148735109095000.0,149084069192000.0,149143157688000.0
2022.0,148706016268000.0,148458436401000.0,148622791589000.0,148477410413000.0,148808278916000.0,148196143666000.0,148760006420000.0,148771708164000.0
2023.0,148275821733000.0,147874944539000.0,148015122189000.0,147918560745000.0,148442417556000.0,147685916953000.0,148410656847000.0,148313951240000.0
2024.0,147879517000000.0,147472599912000.0,147521143831000.0,147366617157000.0,147936881802000.0,147065646618000.0,148189309656000.0,147910072945000.0
2025.0,147467207659000.0,146934840650000.0,147080765573000.0,146840074040000.0,147449212394000.0,146498383782000.0,147840745640000.0,147336234066000.0
2026.0,146930453490000.0,146378233864000.0,146427760443000.0,146239287144000.0,146999585385000.0,145920303567000.0,147425875600000.0,147000246572000.0
2027.0,146633897314000.0,145842728333000.0,145875576473000.0,145631478954000.0,146706442464000.0,145295734947000.0,147041563764000.0,146568256403000.0
2028.0,146284264201000.0,145371557006000.0,145364588975000.0,145214993647000.0,146422714835000.0,144582698101000.0,146545274977000.0,146279352886000.0
2029.0,145808457075000.0,144775465550000.0,144704258457000.0,144723757941000.0,146147199454000.0,143745247520000.0,146263289885000.0,145919271346000.0
2030.0,145216820400000.0,144144886300000.0,143972104449000.0,144187675269000.0,145835329162000.0,142973615509000.0,146040984987000.0,145601841686000.0
