time,CANESM2,GFDL-ESM2G,CESM1-CAM5,GISS-E2-R,CSIRO-MK3-6-0,GFDL-CM3,CCSM4,CNRM-CM5,NORESM1-M,MPI-ESM-LR,IPSL-CM5A-LR
2000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0,155613378009000.0
2001.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0,155506740622000.0
2002.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0,155317902320000.0
2003.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0,154984443701000.0
2004.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0,154673350343000.0
2005.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0,154424392856000.0
2006.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0,154218010759000.0
2007.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0,153925095810000.0
2008.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0,153523468888000.0
2009.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0,153257531431000.0
2010.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0,152748298804000.0
2011.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0,152386912140000.0
2012.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0,152032127402000.0
2013.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0,151715146415000.0
2014.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0,151377797768000.0
2015.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0,151208938526000.0
2016.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0,150920456920000.0
2017.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0,150501190467000.0
2018.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0,150086046656000.0
2019.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0,149831143845000.0
2020.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0,149388535793000.0
2021.0,148942206273000.0,148968792931000.0,148980761700000.0,148970052057000.0,148930364629000.0,148680105766000.0,149161942647000.0,149006337247000.0,148790652609000.0,148977856223000.0,148678423320000.0
2022.0,148426554318000.0,148447209800000.0,148553210230000.0,148718816341000.0,148400438725000.0,148046525208000.0,148566452589000.0,148552825796000.0,148378785100000.0,148505686458000.0,148286985604000.0
2023.0,147778308488000.0,148245897930000.0,147962247803000.0,148461120102000.0,147914807842000.0,147439728009000.0,148074371802000.0,148162817787000.0,147869124615000.0,147923252467000.0,147969564408000.0
2024.0,147028618970000.0,147765496205000.0,147221062345000.0,148195475340000.0,147425638322000.0,146919455315000.0,147877720638000.0,147800664175000.0,147296372031000.0,147484544027000.0,147587599228000.0
2025.0,146305426877000.0,147420738597000.0,146518762140000.0,147796837706000.0,147026811807000.0,146344838050000.0,147387671500000.0,147467358057000.0,146747745730000.0,147036111975000.0,147028460934000.0
2026.0,145764258844000.0,147069191686000.0,145814697799000.0,147357569123000.0,146485746366000.0,145660898502000.0,146930583482000.0,146919840490000.0,146285992341000.0,146473678480000.0,146432233135000.0
2027.0,145038954702000.0,146560642542000.0,145054284457000.0,147127195936000.0,145992089232000.0,145025896424000.0,146568878214000.0,146535870405000.0,145753190711000.0,145958616911000.0,145825505176000.0
2028.0,144376708102000.0,146121155478000.0,144430419455000.0,146649278616000.0,145468702427000.0,144350262930000.0,146196143471000.0,146144349014000.0,145394767763000.0,145440309887000.0,145141029656000.0
2029.0,143919922585000.0,145594700077000.0,143791553738000.0,146250172139000.0,144977140020000.0,143615252910000.0,145862166835000.0,145646028612000.0,144891097136000.0,144756066249000.0,144446680867000.0
2030.0,143520283565000.0,145072386474000.0,142892873136000.0,145574527380000.0,144714510367000.0,142951273729000.0,145410698217000.0,145036810127000.0,144215687612000.0,143965838710000.0,143681870040000.0
2031.0,142873415528000.0,144655335556000.0,142021530812000.0,145035960776000.0,144231590538000.0,142369695236000.0,144903635762000.0,144679792086000.0,143544433512000.0,143535397732000.0,143223949208000.0
