,cmip,gcm,scenario,rgi_reg,end_year,bias_correction,perc_area_missing,fpath,exp,historical_future_option,oggm_version
ISIMIP3b_CMIP6:2100:MRI-ESM2-0:ssp585:RGI11,ISIMIP3b_CMIP6,MRI-ESM2-0,ssp585,RGI11,2100,ISIMIP3b:1979-2014,0.0004951853264542,/home/www/oggm/oggm-standard-projections/oggm_v16/2023.3/ISIMIP3b_CMIP6/2100/RGI11/run_hydro_w5e5_gcm_merged_mri-esm2-0_r1i1p1f1_ssp585_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
ISIMIP3b_CMIP6:2100:UKESM1-0-LL:ssp585:RGI11,ISIMIP3b_CMIP6,UKESM1-0-LL,ssp585,RGI11,2100,ISIMIP3b:1979-2014,0.0004951853264542,/home/www/oggm/oggm-standard-projections/oggm_v16/2023.3/ISIMIP3b_CMIP6/2100/RGI11/run_hydro_w5e5_gcm_merged_ukesm1-0-ll_r1i1p1f2_ssp585_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
ISIMIP3b_CMIP6:2100:MRI-ESM2-0:ssp126:RGI11,ISIMIP3b_CMIP6,MRI-ESM2-0,ssp126,RGI11,2100,ISIMIP3b:1979-2014,0.0004951853264542,/home/www/oggm/oggm-standard-projections/oggm_v16/2023.3/ISIMIP3b_CMIP6/2100/RGI11/run_hydro_w5e5_gcm_merged_mri-esm2-0_r1i1p1f1_ssp126_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
ISIMIP3b_CMIP6:2100:UKESM1-0-LL:ssp370:RGI11,ISIMIP3b_CMIP6,UKESM1-0-LL,ssp370,RGI11,2100,ISIMIP3b:1979-2014,0.0004951853264542,/home/www/oggm/oggm-standard-projections/oggm_v16/2023.3/ISIMIP3b_CMIP6/2100/RGI11/run_hydro_w5e5_gcm_merged_ukesm1-0-ll_r1i1p1f2_ssp370_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
ISIMIP3b_CMIP6:2100:MRI-ESM2-0:ssp370:RGI11,ISIMIP3b_CMIP6,MRI-ESM2-0,ssp370,RGI11,2100,ISIMIP3b:1979-2014,0.0004951853264542,/home/www/oggm/oggm-standard-projections/oggm_v16/2023.3/ISIMIP3b_CMIP6/2100/RGI11/run_hydro_w5e5_gcm_merged_mri-esm2-0_r1i1p1f1_ssp370_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
ISIMIP3b_CMIP6:2100:UKESM1-0-LL:ssp126:RGI11,ISIMIP3b_CMIP6,UKESM1-0-LL,ssp126,RGI11,2100,ISIMIP3b:1979-2014,0.0004951853264542,/home/www/oggm/oggm-standard-projections/oggm_v16/2023.3/ISIMIP3b_CMIP6/2100/RGI11/run_hydro_w5e5_gcm_merged_ukesm1-0-ll_r1i1p1f2_ssp126_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
ISIMIP3b_CMIP6:2100:GFDL-ESM4:ssp370:RGI11,ISIMIP3b_CMIP6,GFDL-ESM4,ssp370,RGI11,2100,ISIMIP3b:1979-2014,0.0004951853264542,/home/www/oggm/oggm-standard-projections/oggm_v16/2023.3/ISIMIP3b_CMIP6/2100/RGI11/run_hydro_w5e5_gcm_merged_gfdl-esm4_r1i1p1f1_ssp370_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
ISIMIP3b_CMIP6:2100:MPI-ESM1-2-HR:ssp370:RGI11,ISIMIP3b_CMIP6,MPI-ESM1-2-HR,ssp370,RGI11,2100,ISIMIP3b:1979-2014,0.0004951853264542,/home/www/oggm/oggm-standard-projections/oggm_v16/2023.3/ISIMIP3b_CMIP6/2100/RGI11/run_hydro_w5e5_gcm_merged_mpi-esm1-2-hr_r1i1p1f1_ssp370_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
ISIMIP3b_CMIP6:2100:MPI-ESM1-2-HR:ssp126:RGI11,ISIMIP3b_CMIP6,MPI-ESM1-2-HR,ssp126,RGI11,2100,ISIMIP3b:1979-2014,0.0004951853264542,/home/www/oggm/oggm-standard-projections/oggm_v16/2023.3/ISIMIP3b_CMIP6/2100/RGI11/run_hydro_w5e5_gcm_merged_mpi-esm1-2-hr_r1i1p1f1_ssp126_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
ISIMIP3b_CMIP6:2100:IPSL-CM6A-LR:ssp585:RGI11,ISIMIP3b_CMIP6,IPSL-CM6A-LR,ssp585,RGI11,2100,ISIMIP3b:1979-2014,0.0004951853264542,/home/www/oggm/oggm-standard-projections/oggm_v16/2023.3/ISIMIP3b_CMIP6/2100/RGI11/run_hydro_w5e5_gcm_merged_ipsl-cm6a-lr_r1i1p1f1_ssp585_Batch_*,match_geod_pergla,w5e5_gcm_merged,oggm_v1.6.1_2023.3
