time,UKESM1-0-LL,MRI-ESM2-0,IPSL-CM6A-LR,MPI-ESM1-2-HR,GFDL-ESM4
2078.0,93861700000.0,100877330000.0,99955300000.0,101991820000.0,101534900000.0
2079.0,93498790000.0,100301410000.0,99836730000.0,101884445000.0,101430010000.0
2080.0,93143210000.0,100902560000.0,100085000000.0,101715960000.0,101303220000.0
2081.0,92743610000.0,100169060000.0,99567130000.0,101609790000.0,101198280000.0
2082.0,92343570000.0,100047495000.0,99678270000.0,101907270000.0,101055190000.0
2083.0,91884270000.0,100076920000.0,99259020000.0,101434925000.0,100901350000.0
2084.0,91619910000.0,99691070000.0,99011480000.0,101450310000.0,100775110000.0
2085.0,91347890000.0,99547960000.0,98853110000.0,101599510000.0,100699520000.0
2086.0,91146170000.0,99629646000.0,98624630000.0,101469640000.0,100511160000.0
2087.0,90483820000.0,99256730000.0,98467090000.0,101457870000.0,100470200000.0
2088.0,90042810000.0,99407570000.0,98303050000.0,101103760000.0,100269900000.0
2089.0,89774330000.0,99613970000.0,98183350000.0,100901560000.0,100252530000.0
2090.0,89267430000.0,99168190000.0,97900134000.0,101029990000.0,100050640000.0
2091.0,88955960000.0,99473510000.0,97588800000.0,100812010000.0,99852350000.0
2092.0,88596060000.0,98989890000.0,97554640000.0,100775550000.0,99831910000.0
2093.0,88341180000.0,98706720000.0,97337020000.0,100579060000.0,99817865000.0
2094.0,87840740000.0,99030120000.0,97748840000.0,100487004000.0,99758630000.0
2095.0,87443554000.0,99162240000.0,97164760000.0,100531090000.0,100438884000.0
2096.0,86950950000.0,99479355000.0,96837755000.0,100616490000.0,99648910000.0
2097.0,86551390000.0,98581094000.0,96700400000.0,100270330000.0,99554840000.0
2098.0,86184500000.0,98229740000.0,96417866000.0,100174225000.0,99263780000.0
2099.0,85683814000.0,98092786000.0,96591850000.0,100169700000.0,99047014000.0
2100.0,85220970000.0,98461280000.0,97013640000.0,100288030000.0,98894900000.0
