time,IPSL-CM6A-LR,CANESM5,CESM2-WACCM,MRI-ESM2-0
2000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0
2001.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0
2002.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0
2003.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0
2004.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0
2005.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0
2006.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0
2007.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0
2008.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0
2009.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0
2010.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0
2011.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0
2012.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0
2013.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0
2014.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0
2015.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0
2016.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0
2017.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0
2018.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0
2019.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0
2020.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0
2021.0,89776570000.0,87758420000.0,90194670000.0,88373305000.0
2022.0,84568400000.0,83257680000.0,88806466000.0,84483860000.0
2023.0,83723380000.0,81644770000.0,88636645000.0,82991910000.0
2024.0,79343895000.0,82170490000.0,85902760000.0,80124445000.0
2025.0,78547640000.0,79810490000.0,87461720000.0,76968210000.0
2026.0,76232560000.0,77190185000.0,85311030000.0,73289900000.0
2027.0,73340860000.0,75808465000.0,81962060000.0,70837480000.0
2028.0,72158940000.0,72381120000.0,75185226000.0,66859720000.0
2029.0,70946780000.0,71351800000.0,72819876000.0,63917126000.0
2030.0,68670430000.0,68694757000.0,71669150000.0,61580580000.0
2031.0,64940958000.0,68127930000.0,68833690000.0,55686947000.0
