time,ACCESS-ESM1-5,EC-EARTH3-VEG,EC-EARTH3,ACCESS-CM2,INM-CM5-0,INM-CM4-8,IPSL-CM6A-LR,NORESM2-MM,CESM2-WACCM,CAMS-CSM1-0,MPI-ESM1-2-HR,FGOALS-F3-L,BCC-CSM2-MR,CANESM5,MRI-ESM2-0,GFDL-ESM4,CESM2
2000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0,127712040000.0
2001.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0,127229550000.0
2002.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0,126590075000.0
2003.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0,127510190000.0
2004.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0,122543610000.0
2005.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0,121002230000.0
2006.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0,118358570000.0
2007.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0,115096220000.0
2008.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0,114260330000.0
2009.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0,114341460000.0
2010.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0,111756935000.0
2011.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0,111077155000.0
2012.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0,108152775000.0
2013.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0,106483260000.0
2014.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0,105402060000.0
2015.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0,104760025000.0
2016.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0,101179064000.0
2017.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0,99238280000.0
2018.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0,96341580000.0
2019.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0,92818550000.0
2020.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0,90441760000.0
2021.0,87451760000.0,88610095000.0,87803220000.0,89230980000.0,89577520000.0,88666180000.0,88737686000.0,84715570000.0,88206800000.0,90250084000.0,86073820000.0,88496900000.0,88946430000.0,89607440000.0,88475980000.0,89779040000.0,88513670000.0
2022.0,85210700000.0,84603930000.0,85845400000.0,87483064000.0,89435505000.0,86751350000.0,85450620000.0,81030440000.0,89292370000.0,87188180000.0,83392370000.0,84495745000.0,87646080000.0,86196404000.0,85371810000.0,87653065000.0,89453730000.0
2023.0,80106260000.0,84407370000.0,83174244000.0,84338870000.0,86696140000.0,85064925000.0,82108380000.0,74881380000.0,87892664000.0,85445630000.0,80803774000.0,84714750000.0,86127935000.0,85785370000.0,82040840000.0,85560934000.0,83818080000.0
2024.0,78422270000.0,82471030000.0,78812660000.0,81034360000.0,84776070000.0,81292665000.0,79843920000.0,72623180000.0,86127755000.0,83265585000.0,77680060000.0,81163450000.0,83075250000.0,81101340000.0,76901570000.0,81263845000.0,81303814000.0
2025.0,80213960000.0,82517490000.0,75174674000.0,75393050000.0,81944620000.0,80726630000.0,77715276000.0,70995450000.0,85928165000.0,81661180000.0,76474950000.0,77842580000.0,82361070000.0,79441584000.0,73652800000.0,75532220000.0,81024850000.0
2026.0,79108900000.0,77424690000.0,74388490000.0,71078530000.0,78090680000.0,81407255000.0,77523420000.0,68526445000.0,84444330000.0,78496645000.0,72729930000.0,73779800000.0,78451786000.0,75852130000.0,71629046000.0,72957630000.0,79509600000.0
2027.0,79217620000.0,75642190000.0,67684508000.0,68399820000.0,73910830000.0,81995980000.0,76218560000.0,67350196000.0,83002930000.0,78198800000.0,70281904000.0,71029645000.0,76671980000.0,73429820000.0,68175510000.0,71427980000.0,77252770000.0
2028.0,77704190000.0,71184960000.0,67227402000.0,66282226000.0,72060070000.0,78265790000.0,74413970000.0,66663180000.0,84051440000.0,77231505000.0,69545010000.0,69880670000.0,72730690000.0,70194190000.0,66360545000.0,68711174000.0,75826220000.0
2029.0,77273100000.0,69869780000.0,66281832000.0,63899574000.0,71879470000.0,76349000000.0,71048830000.0,65362043000.0,83340680000.0,78301840000.0,69424775000.0,67983553000.0,71279624000.0,67777393000.0,62033015000.0,66545316000.0,78522520000.0
2030.0,74293150000.0,68801675000.0,67174200000.0,59160596000.0,69275800000.0,75367910000.0,70336990000.0,64459050000.0,84293910000.0,83626500000.0,67529335000.0,63927990000.0,69458670000.0,65017377000.0,59444326000.0,63992898000.0,73374620000.0
