time,CESM2,CESM2-WACCM,CAMS-CSM1-0,MPI-ESM1-2-HR,CMCC-CM2-SR5,INM-CM5-0,INM-CM4-8,NORESM2-MM,EC-EARTH3,GFDL-ESM4,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,MRI-ESM2-0
2000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0
2001.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0
2002.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0
2003.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0
2004.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0
2005.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0
2006.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0
2007.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0
2008.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0
2009.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0
2010.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0
2011.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0
2012.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0
2013.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0
2014.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0
2015.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0
2016.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0
2017.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0
2018.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0
2019.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0
2020.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0
2021.0,3062817000000.0,3086669600000.0,3076516700000.0,3086248300000.0,3084062000000.0,3071759600000.0,3087586300000.0,3063050100000.0,3049877100000.0,3054187600000.0,3063802000000.0,3073632400000.0,3084480200000.0,3065898300000.0
2022.0,3023506500000.0,3070509200000.0,3045363300000.0,3092462000000.0,3079600600000.0,3036373800000.0,3063902600000.0,3035755400000.0,3024727000000.0,3029717200000.0,3048515000000.0,3062833000000.0,3070125000000.0,3030448900000.0
2023.0,2984304400000.0,3037408500000.0,3017531000000.0,3068854800000.0,3059462000000.0,3013477000000.0,3051940700000.0,3013490000000.0,2990475000000.0,3004499000000.0,3031290000000.0,3031934200000.0,3050523600000.0,3002384500000.0
2024.0,2940618100000.0,3010512300000.0,2996807400000.0,3039937700000.0,3037282400000.0,2986357600000.0,3034125400000.0,2974288200000.0,2957190000000.0,2987546000000.0,3015812000000.0,2986403700000.0,3029617600000.0,2974933800000.0
2025.0,2916172400000.0,2991128000000.0,3023586200000.0,3021192300000.0,3036651000000.0,2954627000000.0,2979703300000.0,2942423800000.0,2915506000000.0,2961410600000.0,3020301800000.0,2947345000000.0,2983329000000.0,2932524000000.0
2026.0,2881077400000.0,2971034500000.0,2999292800000.0,3001992000000.0,3026197200000.0,2925239200000.0,2945555000000.0,2914538500000.0,2879605700000.0,2932093200000.0,3013094400000.0,2913076200000.0,2950669800000.0,2897313800000.0
2027.0,2855985700000.0,2949085100000.0,2982443700000.0,2976124200000.0,2994976800000.0,2900174000000.0,2928781300000.0,2892735700000.0,2832389600000.0,2904611600000.0,3000727800000.0,2902104700000.0,2930033000000.0,2872430800000.0
2028.0,2829927600000.0,2914850000000.0,2940332400000.0,2926827500000.0,2970340000000.0,2865702400000.0,2905159800000.0,2864975000000.0,2791463000000.0,2890799800000.0,2994472200000.0,2878409300000.0,2893981000000.0,2834003100000.0
2029.0,2805308300000.0,2914137400000.0,2939929200000.0,2914051000000.0,2945729200000.0,2826700300000.0,2870482800000.0,2832469600000.0,2739557600000.0,2871316400000.0,2956101700000.0,2855412200000.0,2863852200000.0,2795708000000.0
2030.0,2763757000000.0,2893423800000.0,2928199000000.0,2910966800000.0,2915124400000.0,2782356000000.0,2829857300000.0,2811476600000.0,2699286300000.0,2846820000000.0,2947322200000.0,2828014700000.0,2826233700000.0,2773581600000.0
2031.0,2735275000000.0,2862995500000.0,2912909800000.0,2893976000000.0,2892327300000.0,2753841000000.0,2802509000000.0,2796414300000.0,2653356800000.0,2829415600000.0,2922035500000.0,2808810800000.0,2779298100000.0,2731631000000.0
