time,MRI-ESM2-0,ACCESS-ESM1-5,EC-EARTH3-VEG,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR,IPSL-CM6A-LR,CANESM5,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,CESM2,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,MPI-ESM1-2-HR
2018.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0
2019.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0
2020.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0
2021.0,3074571000000.0,3078325000000.0,3071096400000.0,3086233400000.0,3069847000000.0,3077742000000.0,3093534600000.0,3052771000000.0,3091389200000.0,3056091300000.0,3064001200000.0,3055588700000.0,3063460700000.0,3069949500000.0,3093496600000.0,3063437300000.0,3080093000000.0
2022.0,3045023800000.0,3060091800000.0,3053091800000.0,3061174200000.0,3027417700000.0,3062934500000.0,3085989300000.0,3019983800000.0,3070703000000.0,3026054800000.0,3045086700000.0,3026511500000.0,3040064000000.0,3047785200000.0,3060947700000.0,3050907400000.0,3057441800000.0
2023.0,3010004300000.0,3035451400000.0,3044603900000.0,3020533300000.0,3006406600000.0,3048533700000.0,3074283300000.0,2959985000000.0,3039894200000.0,3014511000000.0,3006853500000.0,2984541200000.0,3006853000000.0,3024107000000.0,3043799600000.0,3024789000000.0,3031082500000.0
2024.0,2968423500000.0,3009492800000.0,3020742000000.0,2993844000000.0,2969353000000.0,3007715000000.0,3048849300000.0,2920679700000.0,3005021000000.0,2970575400000.0,2977429700000.0,2946550500000.0,2966260000000.0,2995499600000.0,3032423300000.0,2981773000000.0,2995944000000.0
2025.0,2942491700000.0,2971878600000.0,3003372800000.0,2965821500000.0,2952112000000.0,2989911700000.0,3022763900000.0,2862628700000.0,2966084400000.0,2948523400000.0,2947961000000.0,2913387700000.0,2930787700000.0,2972757500000.0,3004409600000.0,2966065000000.0,2988471500000.0
2026.0,2918852300000.0,2917927000000.0,2985474400000.0,2936782700000.0,2921805600000.0,2982920800000.0,3016208000000.0,2811216800000.0,2944119300000.0,2919319500000.0,2905381500000.0,2878663600000.0,2913369300000.0,2923455600000.0,2972294800000.0,2933774400000.0,2954691000000.0
2027.0,2870372200000.0,2879242600000.0,2965114200000.0,2895916600000.0,2901219700000.0,2965627000000.0,2997711800000.0,2767884600000.0,2915969800000.0,2883529500000.0,2877688400000.0,2839936800000.0,2881495000000.0,2883574800000.0,2936497800000.0,2901073000000.0,2930884500000.0
2028.0,2838999000000.0,2839189400000.0,2941412000000.0,2868149000000.0,2885061700000.0,2945624600000.0,2981679900000.0,2728845000000.0,2888466700000.0,2849649700000.0,2839905000000.0,2792150300000.0,2854958700000.0,2826472800000.0,2922874000000.0,2870417800000.0,2905963800000.0
2029.0,2792696800000.0,2821539500000.0,2916605800000.0,2844964000000.0,2871613000000.0,2926004700000.0,2974401200000.0,2674575500000.0,2859099200000.0,2821131000000.0,2796455500000.0,2752559400000.0,2808743700000.0,2787588700000.0,2936784300000.0,2835974700000.0,2883898300000.0
2030.0,2764540500000.0,2782677400000.0,2879111300000.0,2806287200000.0,2854127100000.0,2903178000000.0,2957348000000.0,2631150600000.0,2821161000000.0,2804324500000.0,2751737400000.0,2695810800000.0,2776059300000.0,2748874000000.0,2947138000000.0,2811699700000.0,2861227800000.0
2031.0,2727390000000.0,2746406100000.0,2858019700000.0,2792781800000.0,2828633000000.0,2878409000000.0,2927658800000.0,2582575600000.0,2785585100000.0,2795402000000.0,2707104500000.0,2644266000000.0,2732578300000.0,2707128000000.0,2926068600000.0,2790946200000.0,2829911900000.0
2032.0,2682101700000.0,2699094400000.0,2824050800000.0,2771450900000.0,2792134300000.0,2855633000000.0,2897230700000.0,2547772300000.0,2777385500000.0,2768371400000.0,2668474400000.0,2599773800000.0,2712144400000.0,2660942000000.0,2903841000000.0,2731464500000.0,2809728000000.0
2033.0,2644999100000.0,2663185000000.0,2792000600000.0,2737911000000.0,2767173700000.0,2833719800000.0,2865370500000.0,2490061300000.0,2758021000000.0,2765841500000.0,2620619500000.0,2561646800000.0,2683312300000.0,2615497700000.0,2880613000000.0,2714477300000.0,2791917500000.0
2034.0,2612874700000.0,2624851000000.0,2761051300000.0,2722280800000.0,2751690200000.0,2810118400000.0,2835617700000.0,2438628000000.0,2725337000000.0,2744901200000.0,2604346000000.0,2525198000000.0,2656067600000.0,2567575000000.0,2848539000000.0,2673543000000.0,2782248300000.0
2035.0,2573877000000.0,2591728000000.0,2738595600000.0,2686328200000.0,2718616800000.0,2775857500000.0,2791931600000.0,2386795700000.0,2692678200000.0,2726225000000.0,2586590300000.0,2477426500000.0,2618113000000.0,2525635000000.0,2827056000000.0,2645495600000.0,2770356700000.0
2036.0,2531879800000.0,2554440700000.0,2715614200000.0,2664967200000.0,2679575400000.0,2759758200000.0,2742929600000.0,2335526400000.0,2667605000000.0,2695658700000.0,2552090300000.0,2427319200000.0,2577463000000.0,2479589700000.0,2810748300000.0,2611089000000.0,2788478700000.0
2037.0,2497998000000.0,2513615000000.0,2692346300000.0,2648331000000.0,2653929300000.0,2756630500000.0,2722605000000.0,2297801200000.0,2641470200000.0,2679654000000.0,2514986000000.0,2389680600000.0,2524407000000.0,2428361800000.0,2804345200000.0,2593904700000.0,2766063000000.0
2038.0,2454632000000.0,2473302700000.0,2674345400000.0,2637706600000.0,2627700300000.0,2731710600000.0,2694711300000.0,2251413800000.0,2633855400000.0,2656028600000.0,2484956000000.0,2348372000000.0,2495689000000.0,2393316000000.0,2784048400000.0,2568387800000.0,2749283700000.0
2039.0,2421960200000.0,2454490200000.0,2646512500000.0,2611625000000.0,2616280500000.0,2711089000000.0,2669756300000.0,2214969700000.0,2606079400000.0,2628365000000.0,2433247600000.0,2302103000000.0,2444407600000.0,2359254000000.0,2759796000000.0,2528855500000.0,2714780000000.0
2040.0,2379319000000.0,2414834600000.0,2608490600000.0,2582192000000.0,2586630700000.0,2675897000000.0,2627141400000.0,2166710600000.0,2568041500000.0,2611024000000.0,2399986800000.0,2257274500000.0,2388594300000.0,2315399700000.0,2758239600000.0,2488080500000.0,2703043300000.0
2041.0,2339022600000.0,2363260000000.0,2585670700000.0,2580690000000.0,2558837700000.0,2640439000000.0,2593125600000.0,2112078900000.0,2551873800000.0,2582874200000.0,2374124000000.0,2213112000000.0,2351375000000.0,2279962600000.0,2742342400000.0,2456465700000.0,2683762600000.0
2042.0,2303074000000.0,2333034200000.0,2582302000000.0,2571088200000.0,2518813800000.0,2622694000000.0,2571212200000.0,2063902600000.0,2522193300000.0,2565928000000.0,2335846400000.0,2171647800000.0,2309142000000.0,2243272600000.0,2722256700000.0,2430191800000.0,2665653000000.0
2043.0,2270114000000.0,2287812500000.0,2563454300000.0,2563798000000.0,2486916000000.0,2597507000000.0,2549850300000.0,2015152600000.0,2498645500000.0,2528029400000.0,2304084800000.0,2124220700000.0,2266032000000.0,2209431200000.0,2717991300000.0,2380853000000.0,2643225500000.0
2044.0,2241804000000.0,2240569700000.0,2545587000000.0,2544327700000.0,2450862600000.0,2569208900000.0,2531196000000.0,1972158000000.0,2471224000000.0,2509620400000.0,2258567200000.0,2091920700000.0,2230987800000.0,2164898300000.0,2684615400000.0,2367817300000.0,2610383300000.0
2045.0,2213721100000.0,2199614400000.0,2527879000000.0,2527789000000.0,2441820000000.0,2556399000000.0,2497911700000.0,1906866700000.0,2429144500000.0,2476502000000.0,2226237500000.0,2054807100000.0,2195878400000.0,2126686600000.0,2685677300000.0,2330267000000.0,2570975700000.0
2046.0,2178016200000.0,2170751400000.0,2515680600000.0,2509502200000.0,2421957000000.0,2525225500000.0,2465504200000.0,1856626500000.0,2390654700000.0,2449926800000.0,2202414000000.0,2012449600000.0,2172343400000.0,2095490800000.0,2648376600000.0,2296326000000.0,2545598600000.0
2047.0,2147400700000.0,2135923400000.0,2492194400000.0,2488923000000.0,2382703400000.0,2506122900000.0,2433367400000.0,1807483100000.0,2358077300000.0,2413671000000.0,2178502500000.0,1972993900000.0,2132093400000.0,2043140100000.0,2628200000000.0,2268632200000.0,2557046400000.0
2048.0,2113451300000.0,2101035100000.0,2474115900000.0,2473659000000.0,2364288300000.0,2470276800000.0,2406877500000.0,1763022200000.0,2342679200000.0,2387317600000.0,2153205300000.0,1935500800000.0,2079388100000.0,2016511300000.0,2618738000000.0,2244484300000.0,2524847800000.0
