time,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0,CESM2-WACCM
2000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0
2001.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0
2002.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0
2003.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0
2004.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0
2005.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0
2006.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0
2007.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0
2008.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0
2009.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0
2010.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0
2011.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0
2012.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0
2013.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0
2014.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0
2015.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0
2016.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0
2017.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0
2018.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0
2019.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0
2020.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0
2021.0,3059218400000.0,3090738800000.0,3068572200000.0,3075668700000.0
2022.0,3013922000000.0,3074711400000.0,3047921800000.0,3040668500000.0
2023.0,2954811000000.0,3068263700000.0,2997931500000.0,2998687500000.0
2024.0,2896621700000.0,3036044600000.0,2959185000000.0,2965095800000.0
2025.0,2840561000000.0,3018108400000.0,2918914000000.0,2932704500000.0
2026.0,2768187400000.0,2995639500000.0,2892526300000.0,2888149500000.0
2027.0,2714188000000.0,2965950400000.0,2846908000000.0,2867309800000.0
2028.0,2664154500000.0,2949566400000.0,2809876200000.0,2824773600000.0
2029.0,2597227600000.0,2922886000000.0,2762575700000.0,2796262800000.0
2030.0,2535413300000.0,2897438800000.0,2726743800000.0,2755227800000.0
2031.0,2466830000000.0,2879799700000.0,2696395600000.0,2734295400000.0
2032.0,2410745200000.0,2850601600000.0,2662962000000.0,2702553000000.0
2033.0,2350737800000.0,2805469800000.0,2615994700000.0,2661445800000.0
2034.0,2291430900000.0,2756104400000.0,2574107300000.0,2637507900000.0
2035.0,2221336400000.0,2713839200000.0,2530506700000.0,2608778000000.0
2036.0,2172838300000.0,2679157300000.0,2482910300000.0,2576274200000.0
2037.0,2099148000000.0,2653720200000.0,2438450600000.0,2546143900000.0
2038.0,2036411800000.0,2630649000000.0,2385887000000.0,2506334000000.0
2039.0,1962541200000.0,2584250000000.0,2317530000000.0,2457480700000.0
2040.0,1916874500000.0,2543101700000.0,2276820500000.0,2406227000000.0
2041.0,1850183300000.0,2481873700000.0,2226665300000.0,2358387400000.0
2042.0,1791623000000.0,2448791000000.0,2182804900000.0,2303968700000.0
2043.0,1719934500000.0,2409888700000.0,2121764400000.0,2256318800000.0
2044.0,1656382200000.0,2345292500000.0,2059186300000.0,2216826000000.0
2045.0,1595489000000.0,2277691000000.0,2014748900000.0,2156635600000.0
2046.0,1531588400000.0,2194940900000.0,1963933300000.0,2098721200000.0
2047.0,1476949300000.0,2128345700000.0,1922738300000.0,2076300800000.0
2048.0,1425224000000.0,2063396400000.0,1869416800000.0,2030510900000.0
2049.0,1364837700000.0,2015076300000.0,1825608200000.0,1994272800000.0
2050.0,1311985500000.0,1956307900000.0,1775042300000.0,1952653600000.0
2051.0,1273284800000.0,1892786600000.0,1733754000000.0,1908355900000.0
2052.0,1221796200000.0,1853968200000.0,1691591100000.0,1868220900000.0
2053.0,1176438700000.0,1798274000000.0,1651906200000.0,1834716100000.0
2054.0,1129679300000.0,1747880200000.0,1615521100000.0,1795177600000.0
2055.0,1090400160000.0,1700231000000.0,1577136800000.0,1769885800000.0
2056.0,1045643100000.0,1659017900000.0,1537310700000.0,1738571500000.0
2057.0,1003764200000.0,1614737300000.0,1503007900000.0,1698410800000.0
2058.0,970221750000.0,1575975500000.0,1472002900000.0,1674321600000.0
2059.0,928690100000.0,1534888900000.0,1443340200000.0,1636648700000.0
2060.0,897300000000.0,1482655700000.0,1410426100000.0,1600190700000.0
2061.0,871026900000.0,1446575900000.0,1381348700000.0,1572152400000.0
2062.0,842350700000.0,1405573400000.0,1356749000000.0,1548285600000.0
2063.0,811893850000.0,1369878300000.0,1339793500000.0,1524058000000.0
2064.0,783390500000.0,1340064700000.0,1318162000000.0,1498943700000.0
2065.0,756972900000.0,1303990500000.0,1296952000000.0,1470389700000.0
2066.0,735707500000.0,1274644500000.0,1277432600000.0,1435344700000.0
2067.0,711959400000.0,1247138200000.0,1265593900000.0,1407660200000.0
2068.0,685964660000.0,1225202100000.0,1246145700000.0,1383644000000.0
2069.0,658508150000.0,1202580100000.0,1225170200000.0,1359831100000.0
2070.0,636179840000.0,1182931200000.0,1211352900000.0,1341527700000.0
2071.0,622176000000.0,1157720200000.0,1193083500000.0,1324921700000.0
2072.0,604764800000.0,1136527700000.0,1177357800000.0,1304329200000.0
2073.0,588846500000.0,1117696800000.0,1161862200000.0,1294436500000.0
2074.0,575097100000.0,1100663100000.0,1150640200000.0,1278075300000.0
2075.0,558369200000.0,1083511800000.0,1137585800000.0,1278441300000.0
2076.0,545200930000.0,1069316050000.0,1122241100000.0,1255604600000.0
2077.0,536232530000.0,1053348130000.0,1117391000000.0,1243115200000.0
2078.0,529708940000.0,1033723840000.0,1110488800000.0,1231179200000.0
2079.0,517881560000.0,1017823200000.0,1105166500000.0,1217366000000.0
2080.0,505034440000.0,1002523460000.0,1097446200000.0,1209844400000.0
2081.0,494266600000.0,985616940000.0,1089290630000.0,1207936900000.0
2082.0,484163980000.0,967622600000.0,1082527500000.0,1212696200000.0
2083.0,479528750000.0,955610040000.0,1075524300000.0,1209869100000.0
2084.0,478037080000.0,942217600000.0,1067005500000.0,1206640600000.0
2085.0,472385600000.0,924313450000.0,1061839770000.0,1199249400000.0
2086.0,467753500000.0,914025700000.0,1054789140000.0,1189769400000.0
2087.0,465374840000.0,901257400000.0,1046740000000.0,1185682400000.0
2088.0,465437360000.0,890928000000.0,1049352540000.0,1182831500000.0
2089.0,464249260000.0,879700100000.0,1048103350000.0,1182282500000.0
2090.0,459687720000.0,872718600000.0,1044572340000.0,1179541200000.0
2091.0,454269240000.0,866254700000.0,1040370400000.0,1175492000000.0
2092.0,452171140000.0,858908700000.0,1039530700000.0,1172214300000.0
2093.0,448946540000.0,848466940000.0,1035858540000.0,1172414900000.0
2094.0,445222750000.0,843091000000.0,1033945200000.0,1170282400000.0
2095.0,443012800000.0,834894560000.0,1035686600000.0,1168690200000.0
2096.0,440617860000.0,829013030000.0,1036176100000.0,1163005700000.0
2097.0,438620300000.0,820308600000.0,1024264600000.0,1157375000000.0
2098.0,438473520000.0,817198500000.0,1022435600000.0,1144189000000.0
2099.0,439138580000.0,814530600000.0,1022537960000.0,1138372500000.0
2100.0,438745370000.0,812892600000.0,1027784840000.0,1136720000000.0
