time,GFDL-CM3,GISS-E2-R,CNRM-CM5,MPI-ESM-LR,CSIRO-MK3-6-0,CANESM2,CESM1-CAM5,GFDL-ESM2G,CCSM4,NORESM1-M,IPSL-CM5A-LR
2000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0
2001.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0
2002.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0
2003.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0
2004.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0
2005.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0
2006.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0
2007.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0
2008.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0
2009.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0
2010.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0
2011.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0
2012.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0
2013.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0
2014.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0
2015.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0
2016.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0
2017.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0
2018.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0
2019.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0
2020.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0
2021.0,104134340000.0,104217010000.0,104196740000.0,104216210000.0,104265900000.0,104168740000.0,104215510000.0,104196720000.0,104314940000.0,104159080000.0,104180015000.0
2022.0,104094300000.0,104176960000.0,104199510000.0,104159460000.0,104162330000.0,104152556000.0,104125350000.0,104139090000.0,104145840000.0,104115490000.0,104219310000.0
2023.0,104037390000.0,104312880000.0,104264490000.0,104106830000.0,104138260000.0,104118270000.0,104062310000.0,104141360000.0,104098670000.0,104097300000.0,104162340000.0
2024.0,104040380000.0,104161510000.0,104213996000.0,104294310000.0,104160100000.0,104049100000.0,103971370000.0,104111030000.0,104170850000.0,104011770000.0,104513730000.0
2025.0,103978430000.0,104116850000.0,104162845000.0,104199450000.0,104103230000.0,104001585000.0,103894730000.0,104082680000.0,104045550000.0,104016036000.0,104083870000.0
2026.0,103928740000.0,104026840000.0,104006820000.0,104072070000.0,104058540000.0,103997260000.0,103849590000.0,104031430000.0,104001240000.0,103952990000.0,104056390000.0
2027.0,103900930000.0,104021746000.0,103974810000.0,103990890000.0,103995425000.0,103879000000.0,103772955000.0,104001995000.0,104036850000.0,103884200000.0,103981375000.0
2028.0,103837670000.0,103931180000.0,104146215000.0,103984520000.0,103999670000.0,103829380000.0,103696230000.0,103994560000.0,104372420000.0,104148060000.0,103926960000.0
2029.0,103780830000.0,103898735000.0,103897460000.0,103971650000.0,103997350000.0,103918770000.0,103635280000.0,103946570000.0,104037390000.0,103924195000.0,103872630000.0
2030.0,103720560000.0,103804110000.0,103780720000.0,103847650000.0,104432590000.0,103802380000.0,103537120000.0,103908970000.0,103950990000.0,103803180000.0,103782710000.0
2031.0,103671840000.0,103818990000.0,103727555000.0,103833610000.0,103948700000.0,103742505000.0,103449760000.0,103866180000.0,103851640000.0,103736670000.0,103869860000.0
2032.0,103614370000.0,104327760000.0,103757870000.0,103757870000.0,103917810000.0,103672820000.0,103349830000.0,103790360000.0,103902050000.0,103815110000.0,103717240000.0
2033.0,103553550000.0,103807975000.0,103677600000.0,103684560000.0,103844380000.0,103716320000.0,103216150000.0,103748090000.0,103822210000.0,103684950000.0,103652065000.0
2034.0,103494340000.0,103695360000.0,103617920000.0,103617640000.0,103778720000.0,103605090000.0,103110115000.0,103679885000.0,103778330000.0,103860880000.0,103567340000.0
2035.0,103386380000.0,103737926000.0,103542010000.0,103629900000.0,103770370000.0,103535124000.0,102994930000.0,103764845000.0,103677540000.0,103625286000.0,103458824000.0
2036.0,103345725000.0,103609210000.0,103512530000.0,103578485000.0,103709850000.0,103484880000.0,102847420000.0,103611940000.0,103625010000.0,103650020000.0,103373050000.0
2037.0,103263510000.0,103583450000.0,103470030000.0,103595300000.0,103692580000.0,103379970000.0,102635560000.0,103551180000.0,103571770000.0,103562920000.0,103354080000.0
2038.0,103185210000.0,103528505000.0,103645600000.0,103470560000.0,103642006000.0,103307280000.0,102424260000.0,103512850000.0,103500360000.0,103492990000.0,103290090000.0
2039.0,103128015000.0,103559510000.0,103337910000.0,103420540000.0,103626640000.0,103245580000.0,102148980000.0,103484810000.0,103433170000.0,103449620000.0,103195420000.0
2040.0,103027640000.0,103420890000.0,103206890000.0,103337705000.0,103588225000.0,103161710000.0,101889980000.0,103472450000.0,103394980000.0,103379440000.0,103143530000.0
2041.0,102866720000.0,103375270000.0,103163440000.0,103259955000.0,103510240000.0,103079790000.0,101604800000.0,103387290000.0,103378395000.0,103302640000.0,103057780000.0
2042.0,102766030000.0,103301160000.0,103027620000.0,103199820000.0,103401530000.0,102971350000.0,101317070000.0,103288890000.0,103313646000.0,103224450000.0,102903000000.0
2043.0,102660560000.0,103762395000.0,103036895000.0,103154880000.0,103689420000.0,102924320000.0,101065640000.0,103232730000.0,103195920000.0,103156590000.0,102768260000.0
2044.0,102543245000.0,103192550000.0,102857744000.0,103363100000.0,103668480000.0,103259320000.0,100766450000.0,103329950000.0,103167100000.0,103069080000.0,102556500000.0
2045.0,102420190000.0,103184520000.0,102896845000.0,103077300000.0,103374316000.0,102828335000.0,100383736000.0,103123250000.0,103195620000.0,102993820000.0,102407880000.0
2046.0,102309760000.0,103062405000.0,102665760000.0,102972160000.0,103292850000.0,102737020000.0,100060710000.0,103017910000.0,103029610000.0,102888070000.0,102246970000.0
