time,MPI-ESM-LR,GISS-E2-R,CNRM-CM5,GFDL-CM3,CANESM2,CSIRO-MK3-6-0,CCSM4,IPSL-CM5A-LR,NORESM1-M,GFDL-ESM2G
2000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0
2001.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0
2002.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0
2003.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0
2004.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0
2005.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0
2006.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0
2007.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0
2008.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0
2009.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0
2010.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0
2011.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0
2012.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0
2013.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0
2014.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0
2015.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0
2016.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0
2017.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0
2018.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0
2019.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0
2020.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0
2021.0,104158070000.0,104210470000.0,104177520000.0,104174354000.0,104235810000.0,104171280000.0,104384350000.0,104162130000.0,104277350000.0,104169734000.0
2022.0,104402985000.0,104114270000.0,104089350000.0,104238100000.0,104126775000.0,104128420000.0,104231460000.0,104295910000.0,104167490000.0,104150650000.0
2023.0,104189400000.0,104091170000.0,104102950000.0,104161990000.0,104078746000.0,104335530000.0,104737540000.0,104315380000.0,104137350000.0,104102080000.0
2024.0,104175714000.0,103992000000.0,104068650000.0,104103840000.0,104112100000.0,104204940000.0,104373270000.0,104158610000.0,104109244000.0,104092940000.0
2025.0,104115010000.0,103987905000.0,104012600000.0,104038260000.0,104020230000.0,104143430000.0,104246370000.0,104261210000.0,104069090000.0,104014470000.0
2026.0,104294340000.0,103980130000.0,104124980000.0,103983464000.0,104227280000.0,104131920000.0,104251400000.0,104086450000.0,104030930000.0,103952425000.0
2027.0,104083950000.0,103894540000.0,103934886000.0,103933660000.0,104011770000.0,104062350000.0,104128160000.0,104012200000.0,103968555000.0,103899900000.0
2028.0,103999726000.0,104083380000.0,104459950000.0,103876540000.0,103937350000.0,103995570000.0,104052560000.0,103999790000.0,103937360000.0,103911210000.0
2029.0,103966210000.0,104228310000.0,103857520000.0,103797285000.0,103843380000.0,103947125000.0,104020530000.0,104042530000.0,103873800000.0,103819624000.0
2030.0,104032790000.0,103881450000.0,103778690000.0,103713050000.0,103775380000.0,103929135000.0,104131625000.0,104080260000.0,103771840000.0,103792430000.0
