time,MPI-ESM-LR,NORESM1-M,CANESM2,CNRM-CM5,CSIRO-MK3-6-0,IPSL-CM5A-LR,GFDL-CM3,CCSM4,GISS-E2-R,GFDL-ESM2G
2000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0,882016060000.0
2001.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0,881917700000.0
2002.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0,879667800000.0
2003.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0,877702700000.0
2004.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0,873681800000.0
2005.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0,870013300000.0
2006.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0,860405960000.0
2007.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0,848194960000.0
2008.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0,838017550000.0
2009.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0,835887100000.0
2010.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0,817928140000.0
2011.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0,805588800000.0
2012.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0,800196460000.0
2013.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0,787352200000.0
2014.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0,783158300000.0
2015.0,771620140000.0,771620140000.0,771620140000.0,771620140000.0,771620140000.0,771620140000.0,771620140000.0,771620140000.0,771620140000.0,771620140000.0
2016.0,766358060000.0,766358060000.0,766358060000.0,766358060000.0,766358060000.0,766358060000.0,766358060000.0,766358060000.0,766358060000.0,766358060000.0
2017.0,756771500000.0,756771500000.0,756771500000.0,756771500000.0,756771500000.0,756771500000.0,756771500000.0,756771500000.0,756771500000.0,756771500000.0
2018.0,748870300000.0,748870300000.0,748870300000.0,748870300000.0,748870300000.0,748870300000.0,748870300000.0,748870300000.0,748870300000.0,748870300000.0
2019.0,737321940000.0,737321940000.0,737321940000.0,737321940000.0,737321940000.0,737321940000.0,737321940000.0,737321940000.0,737321940000.0,737321940000.0
2020.0,729959370000.0,729959370000.0,729959370000.0,729959370000.0,729959370000.0,729959370000.0,729959370000.0,729959370000.0,729959370000.0,729959370000.0
2021.0,719766100000.0,725977860000.0,707752700000.0,717414330000.0,714912960000.0,713624200000.0,719013500000.0,717495400000.0,721029300000.0,720473200000.0
2022.0,705057000000.0,710035500000.0,698492900000.0,705201770000.0,707275850000.0,700911100000.0,708841640000.0,700221600000.0,699067300000.0,705010100000.0
2023.0,686011060000.0,694407140000.0,693792300000.0,695297970000.0,697001900000.0,689049630000.0,689688150000.0,682441800000.0,683125100000.0,693711340000.0
2024.0,666528650000.0,682598600000.0,677436850000.0,689924400000.0,692320670000.0,664429200000.0,661491940000.0,662340960000.0,686476900000.0,674553300000.0
2025.0,648866500000.0,666003640000.0,659401100000.0,686418360000.0,682174500000.0,659104460000.0,642491700000.0,647390900000.0,676624200000.0,664964300000.0
2026.0,632235700000.0,657913200000.0,648237300000.0,668003860000.0,667325200000.0,648833500000.0,615672400000.0,634130140000.0,671733900000.0,647966800000.0
2027.0,617010600000.0,640539200000.0,624401300000.0,652350700000.0,659714400000.0,639425250000.0,599823800000.0,626539600000.0,661731340000.0,638179600000.0
2028.0,602753660000.0,627427250000.0,617789300000.0,645472260000.0,658985800000.0,627151300000.0,584180800000.0,613375500000.0,637777600000.0,625833700000.0
2029.0,584934300000.0,610540850000.0,607262200000.0,631255470000.0,642854000000.0,607979500000.0,562384340000.0,597151060000.0,619755340000.0,620170840000.0
2030.0,578075560000.0,595202500000.0,609631200000.0,615282300000.0,629904700000.0,593824100000.0,535714200000.0,585185100000.0,608340200000.0,610788050000.0
2031.0,581509000000.0,581092100000.0,581715560000.0,599439840000.0,640627200000.0,588263500000.0,513949200000.0,570682800000.0,604396850000.0,595966900000.0
2032.0,581709660000.0,568772000000.0,569822300000.0,580639460000.0,624018000000.0,569265000000.0,490276450000.0,552673200000.0,591815640000.0,599842360000.0
2033.0,574851450000.0,551786100000.0,554257150000.0,567482450000.0,610019400000.0,561592660000.0,462241860000.0,540035780000.0,575836060000.0,583229900000.0
2034.0,557000160000.0,540471800000.0,535643800000.0,560425530000.0,600711040000.0,547034430000.0,435305870000.0,525263440000.0,562784960000.0,572258840000.0
2035.0,544866800000.0,528145320000.0,516826170000.0,549325640000.0,580982870000.0,521417720000.0,411814560000.0,515115200000.0,543660470000.0,549718950000.0
2036.0,529209800000.0,515187570000.0,508399680000.0,540764140000.0,580888760000.0,503580900000.0,388380200000.0,503817730000.0,527436480000.0,539684300000.0
2037.0,518765480000.0,501898250000.0,506986630000.0,532395360000.0,573163500000.0,474995360000.0,372212530000.0,484413640000.0,511385800000.0,527295050000.0
2038.0,509109440000.0,492794100000.0,491464850000.0,518930920000.0,564944630000.0,459103040000.0,355961860000.0,467328830000.0,491888280000.0,515269920000.0
2039.0,495208140000.0,477042900000.0,471170100000.0,506599180000.0,543819460000.0,438089900000.0,335554050000.0,452264070000.0,473730300000.0,497615180000.0
2040.0,473453560000.0,461931870000.0,462964720000.0,486273900000.0,535644050000.0,414718800000.0,320789970000.0,441904100000.0,464420240000.0,493095880000.0
2041.0,458194300000.0,450753530000.0,457032430000.0,474539030000.0,519666100000.0,394233220000.0,302267430000.0,429353300000.0,456084320000.0,476207940000.0
2042.0,441725400000.0,431165440000.0,443633730000.0,459698200000.0,502530240000.0,377304200000.0,286832070000.0,417807900000.0,439000660000.0,464185430000.0
2043.0,428972050000.0,418063780000.0,434280600000.0,442700600000.0,479013860000.0,363076940000.0,271949530000.0,408505500000.0,418688370000.0,448114100000.0
2044.0,415891950000.0,402782550000.0,418803420000.0,424071920000.0,467923100000.0,353139850000.0,252737950000.0,391603260000.0,406032680000.0,435069980000.0
2045.0,406608050000.0,390184960000.0,402064340000.0,402899760000.0,467496170000.0,329679000000.0,235149770000.0,379765030000.0,391671350000.0,422201260000.0
2046.0,392073600000.0,375955850000.0,394797150000.0,394408130000.0,451798630000.0,315657320000.0,217511020000.0,367207400000.0,375591570000.0,413011440000.0
