time,MRI-ESM2-0,ACCESS-CM2,ACCESS-ESM1-5,CANESM5,IPSL-CM6A-LR,CESM2-WACCM
2000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0
2001.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0
2002.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0
2003.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0
2004.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0
2005.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0
2006.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0
2007.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0
2008.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0
2009.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0
2010.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0
2011.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0
2012.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0
2013.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0
2014.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0
2015.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0
2016.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0
2017.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0
2018.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0
2019.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0
2020.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0
2021.0,134190990000.0,134230210000.0,134227000000.0,134330150000.0,134571430000.0,134617790000.0
2022.0,134184340000.0,134119694000.0,133972800000.0,134417120000.0,134439035000.0,134297130000.0
2023.0,133921220000.0,134298320000.0,133967210000.0,134230120000.0,134164955000.0,134614230000.0
2024.0,133720640000.0,134297020000.0,134414260000.0,133983180000.0,134145410000.0,134251270000.0
2025.0,133597050000.0,133693190000.0,134190285000.0,133976160000.0,133933105000.0,133859980000.0
2026.0,133929570000.0,133983240000.0,133981110000.0,133867430000.0,133683690000.0,133656370000.0
2027.0,133338910000.0,133813830000.0,134029460000.0,134081350000.0,133817510000.0,133385100000.0
2028.0,133487600000.0,133349120000.0,133584626000.0,133630165000.0,133550820000.0,133459100000.0
2029.0,133164610000.0,133213910000.0,133464600000.0,133334290000.0,134122430000.0,133271040000.0
2030.0,132987250000.0,133120130000.0,133824094000.0,133324650000.0,133811905000.0,133397180000.0
2031.0,132812870000.0,132877650000.0,133387920000.0,134101630000.0,133193480000.0,133156450000.0
2032.0,132655555000.0,132767334000.0,133416080000.0,133625135000.0,133047820000.0,132880740000.0
2033.0,132388860000.0,132853735000.0,133120730000.0,133123220000.0,132949600000.0,132590840000.0
2034.0,132366975000.0,132668590000.0,133238730000.0,132658230000.0,132765330000.0,132511646000.0
2035.0,132137330000.0,132493100000.0,132929905000.0,132487550000.0,132897096000.0,132398470000.0
2036.0,132029440000.0,132469070000.0,132797690000.0,132434990000.0,132613830000.0,132179910000.0
2037.0,132269556000.0,132409200000.0,132677450000.0,132239970000.0,132680360000.0,131969430000.0
2038.0,131643430000.0,132421580000.0,132639695000.0,132470820000.0,132492870000.0,131851270000.0
2039.0,131745960000.0,132104540000.0,132876440000.0,131889865000.0,132445780000.0,131617860000.0
2040.0,131627720000.0,131835330000.0,132578750000.0,132114860000.0,132082770000.0,131661290000.0
