time,UKESM1-0-LL,MRI-ESM2-0,CNRM-ESM2-1,CANESM5,IPSL-CM6A-LR
2000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0
2001.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0
2002.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0
2003.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0
2004.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0
2005.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0
2006.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0
2007.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0
2008.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0
2009.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0
2010.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0
2011.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0
2012.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0
2013.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0
2014.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0
2015.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0
2016.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0
2017.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0
2018.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0
2019.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0
2020.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0
2021.0,8131015300000.0,8112794000000.0,8125781000000.0,8104381000000.0,8133452000000.0
2022.0,8094158000000.0,8101348000000.0,8034436000000.0,8052655000000.0,8068502400000.0
2023.0,8065887000000.0,8024485300000.0,7995069600000.0,7985831000000.0,8006843500000.0
2024.0,8014789600000.0,7977695000000.0,7947647000000.0,7908306000000.0,7985770300000.0
2025.0,7957906500000.0,7929093700000.0,7917212300000.0,7773928600000.0,7946973500000.0
2026.0,7886966000000.0,7878427000000.0,7863378400000.0,7747305700000.0,7878353000000.0
2027.0,7842286000000.0,7831209000000.0,7783660400000.0,7688897000000.0,7846377000000.0
2028.0,7781790000000.0,7781247600000.0,7770905500000.0,7590234300000.0,7799044600000.0
2029.0,7719283000000.0,7738716300000.0,7741752500000.0,7496297000000.0,7735825400000.0
2030.0,7669794500000.0,7707560000000.0,7718019000000.0,7458278000000.0,7691296600000.0
2031.0,7572633000000.0,7711528300000.0,7664366000000.0,7410406700000.0,7660152300000.0
2032.0,7546051000000.0,7669922000000.0,7609481000000.0,7370882700000.0,7585641000000.0
2033.0,7427964500000.0,7630003000000.0,7544878700000.0,7253291700000.0,7567709300000.0
2034.0,7370206300000.0,7570867600000.0,7504646400000.0,7179117000000.0,7512199300000.0
2035.0,7284687600000.0,7525685000000.0,7444336500000.0,7128470000000.0,7474333600000.0
2036.0,7212554500000.0,7507017700000.0,7380456700000.0,7034801000000.0,7436353700000.0
2037.0,7123018700000.0,7454546000000.0,7318583000000.0,6967028000000.0,7410454000000.0
2038.0,7047646000000.0,7395845600000.0,7268939600000.0,6868497300000.0,7353266600000.0
2039.0,7002815700000.0,7348526500000.0,7196376000000.0,6784812000000.0,7342665500000.0
2040.0,6888174000000.0,7332077500000.0,7162732500000.0,6721037000000.0,7311581500000.0
2041.0,6813904000000.0,7276622500000.0,7060606000000.0,6649139000000.0,7261007600000.0
2042.0,6715221700000.0,7228817400000.0,7034895300000.0,6510720600000.0,7230634000000.0
2043.0,6651357700000.0,7122590000000.0,6946577000000.0,6379052000000.0,7129040000000.0
2044.0,6522022700000.0,7061938600000.0,6881406000000.0,6268837000000.0,7036787500000.0
2045.0,6405114000000.0,6997443300000.0,6813818300000.0,6188171300000.0,6996583000000.0
2046.0,6314178600000.0,6896504300000.0,6762020700000.0,6104598700000.0,6933911000000.0
2047.0,6212982000000.0,6839930500000.0,6687417700000.0,6011865300000.0,6857754700000.0
2048.0,6098797000000.0,6768036000000.0,6619068400000.0,5887099400000.0,6768674000000.0
2049.0,5994715300000.0,6708648000000.0,6550760500000.0,5790981000000.0,6676438600000.0
2050.0,5910781500000.0,6628853000000.0,6516751000000.0,5682944000000.0,6614927000000.0
2051.0,5788150500000.0,6567665600000.0,6455968000000.0,5601954400000.0,6572806000000.0
2052.0,5666091000000.0,6496723000000.0,6394869000000.0,5494365000000.0,6494985000000.0
2053.0,5585629000000.0,6393459400000.0,6341708500000.0,5392052000000.0,6443248400000.0
2054.0,5482708700000.0,6284192000000.0,6318555000000.0,5262566000000.0,6349029600000.0
2055.0,5364772000000.0,6203920000000.0,6275713700000.0,5165189000000.0,6247689500000.0
2056.0,5247449700000.0,6138373300000.0,6198727300000.0,5044272000000.0,6163067000000.0
2057.0,5140939000000.0,6069441000000.0,6155373000000.0,4958400000000.0,6107585600000.0
2058.0,5021752600000.0,5983455700000.0,6113709000000.0,4876874500000.0,6030545600000.0
2059.0,4894287700000.0,5892273000000.0,6077930000000.0,4798071000000.0,5926238600000.0
2060.0,4783486300000.0,5848280000000.0,6003804300000.0,4709057000000.0,5846003000000.0
2061.0,4681833600000.0,5746670400000.0,5949017300000.0,4575487000000.0,5756415000000.0
2062.0,4542147600000.0,5691258400000.0,5930347000000.0,4444635000000.0,5673250700000.0
2063.0,4425953000000.0,5613702000000.0,5870788000000.0,4325894800000.0,5562493000000.0
2064.0,4311324300000.0,5516058000000.0,5760787000000.0,4231815000000.0,5472980600000.0
2065.0,4190896700000.0,5430089000000.0,5650019000000.0,4173550600000.0,5402962000000.0
2066.0,4073190900000.0,5339870000000.0,5643475400000.0,4047897000000.0,5303098000000.0
2067.0,3951554700000.0,5282687000000.0,5598608400000.0,3985230800000.0,5197987300000.0
2068.0,3821560700000.0,5250812500000.0,5533616000000.0,3908175100000.0,5090681000000.0
2069.0,3737406700000.0,5222034300000.0,5500170700000.0,3787974500000.0,4995766000000.0
2070.0,3658322500000.0,5149971400000.0,5448403000000.0,3694043300000.0,4897675000000.0
2071.0,3549635300000.0,5090176000000.0,5361763400000.0,3612833500000.0,4774440000000.0
2072.0,3477328000000.0,4980287000000.0,5307916400000.0,3535129300000.0,4712728400000.0
2073.0,3339736800000.0,4929615300000.0,5236442300000.0,3419767600000.0,4618536000000.0
2074.0,3241194800000.0,4843341600000.0,5145946000000.0,3366593000000.0,4567207500000.0
2075.0,3152428100000.0,4753683600000.0,5109643000000.0,3290590300000.0,4487481700000.0
2076.0,3041817300000.0,4718865700000.0,5038594300000.0,3202921300000.0,4339718200000.0
2077.0,2931906300000.0,4651872700000.0,4992375700000.0,3095797200000.0,4273234200000.0
2078.0,2846400000000.0,4613261500000.0,4941737400000.0,3037387800000.0,4175463200000.0
2079.0,2748098000000.0,4570992000000.0,4880565000000.0,2975507400000.0,4065542300000.0
2080.0,2679565200000.0,4526512000000.0,4842699400000.0,2894258200000.0,3956409000000.0
2081.0,2614201000000.0,4442423300000.0,4762987000000.0,2811293600000.0,3900565400000.0
2082.0,2517304600000.0,4380822000000.0,4706422000000.0,2740932000000.0,3835981500000.0
2083.0,2443667000000.0,4337521400000.0,4671748400000.0,2659222600000.0,3747462300000.0
2084.0,2355447200000.0,4298770500000.0,4608881600000.0,2581066700000.0,3665256800000.0
2085.0,2267212000000.0,4236369500000.0,4576463300000.0,2498607700000.0,3534261600000.0
2086.0,2193617300000.0,4185531000000.0,4534276000000.0,2448547400000.0,3443567400000.0
2087.0,2128972200000.0,4161577000000.0,4476292300000.0,2385466600000.0,3365145100000.0
2088.0,2054073000000.0,4129588500000.0,4400600000000.0,2341814100000.0,3289621200000.0
2089.0,1991110000000.0,4085612800000.0,4363636400000.0,2284448400000.0,3209256500000.0
2090.0,1921913000000.0,4049110600000.0,4290263400000.0,2221875000000.0,3120484600000.0
2091.0,1855588300000.0,3993772800000.0,4230594700000.0,2171931600000.0,3059933500000.0
2092.0,1802709800000.0,3929137200000.0,4195874800000.0,2134718500000.0,2978045800000.0
2093.0,1746766100000.0,3902290000000.0,4113750800000.0,2084132000000.0,2911592000000.0
2094.0,1703965900000.0,3842279000000.0,4076524300000.0,2028704400000.0,2807701700000.0
2095.0,1643466900000.0,3791795800000.0,4050179600000.0,1974756300000.0,2760764800000.0
2096.0,1577385200000.0,3771402600000.0,3993981700000.0,1916900200000.0,2721994200000.0
2097.0,1532002700000.0,3784354000000.0,3922386500000.0,1864374600000.0,2661564300000.0
2098.0,1481191200000.0,3751423200000.0,3869032000000.0,1829529200000.0,2589438800000.0
2099.0,1428591900000.0,3702418300000.0,3832414500000.0,1777758600000.0,2526128000000.0
2100.0,1377335200000.0,3680718300000.0,3788985900000.0,1737498000000.0,2464258700000.0
