time,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4
2028.0,7628831300000.0,7799500700000.0,7706049000000.0,7997587000000.0
2029.0,7600395500000.0,7763444400000.0,7637465300000.0,7993876000000.0
2030.0,7541114000000.0,7756698000000.0,7559559000000.0,7958210500000.0
2031.0,7471276500000.0,7715318400000.0,7465880000000.0,7924341500000.0
2032.0,7406310400000.0,7675383400000.0,7412855000000.0,7898767300000.0
2033.0,7292164000000.0,7607810500000.0,7331249000000.0,7871235400000.0
2034.0,7207619400000.0,7541515400000.0,7254783000000.0,7808725500000.0
2035.0,7103303000000.0,7496421300000.0,7154525300000.0,7741272000000.0
2036.0,7042897500000.0,7424212700000.0,7045436700000.0,7670452500000.0
2037.0,6971145600000.0,7392217500000.0,6948916000000.0,7664947400000.0
2038.0,6897169600000.0,7338043400000.0,6849424000000.0,7626321000000.0
2039.0,6814523000000.0,7271449000000.0,6772686000000.0,7589981000000.0
2040.0,6767769000000.0,7249462300000.0,6673403500000.0,7526804000000.0
2041.0,6685723700000.0,7175555500000.0,6566315600000.0,7474309000000.0
2042.0,6606888000000.0,7068418300000.0,6516176300000.0,7421549300000.0
2043.0,6502646500000.0,6972948600000.0,6481725400000.0,7384288000000.0
2044.0,6407264000000.0,6893587000000.0,6441079000000.0,7353441000000.0
2045.0,6319996700000.0,6847554700000.0,6379247000000.0,7345283300000.0
2046.0,6219080700000.0,6819425600000.0,6308868000000.0,7304796000000.0
2047.0,6142965600000.0,6756470000000.0,6243245000000.0,7242194600000.0
2048.0,6050393600000.0,6705968000000.0,6218994700000.0,7196785500000.0
2049.0,5974258000000.0,6665165300000.0,6133004000000.0,7157764300000.0
2050.0,5858806700000.0,6582007000000.0,6071299000000.0,7134936000000.0
2051.0,5759666500000.0,6498383600000.0,6015548000000.0,7105477000000.0
2052.0,5664266500000.0,6450878300000.0,5942982000000.0,7090818500000.0
2053.0,5609888400000.0,6408652700000.0,5859204700000.0,7076569000000.0
2054.0,5539227000000.0,6326860000000.0,5809652000000.0,7025695000000.0
2055.0,5479731300000.0,6276095000000.0,5757817000000.0,6962488500000.0
2056.0,5403966400000.0,6229216000000.0,5666560300000.0,6902053000000.0
2057.0,5315160000000.0,6171352000000.0,5599238000000.0,6867653000000.0
2058.0,5231514000000.0,6121510000000.0,5546728500000.0,6843533400000.0
2059.0,5157283700000.0,6002728500000.0,5523135500000.0,6823820000000.0
2060.0,5101019000000.0,5968471500000.0,5483199000000.0,6772358000000.0
2061.0,5041235000000.0,5900905000000.0,5435683000000.0,6736913000000.0
2062.0,4980700000000.0,5834534000000.0,5425065000000.0,6685057000000.0
2063.0,4896014700000.0,5786669400000.0,5348272000000.0,6653812400000.0
2064.0,4821984000000.0,5717922000000.0,5270691000000.0,6646711500000.0
2065.0,4730216000000.0,5676978000000.0,5242344000000.0,6629634000000.0
2066.0,4652072400000.0,5578396000000.0,5221240000000.0,6570303300000.0
2067.0,4569229000000.0,5517637000000.0,5183676000000.0,6527685500000.0
2068.0,4494613500000.0,5445676700000.0,5118561400000.0,6478481000000.0
2069.0,4381649000000.0,5367067600000.0,5095179000000.0,6446802000000.0
2070.0,4337223900000.0,5296583000000.0,5048776500000.0,6357003000000.0
2071.0,4275327700000.0,5240713000000.0,5046877600000.0,6347304000000.0
2072.0,4202253500000.0,5203464000000.0,5014630000000.0,6323121000000.0
2073.0,4129693000000.0,5151387000000.0,4985014700000.0,6286225700000.0
2074.0,4050338700000.0,5067257000000.0,4944243000000.0,6262107400000.0
2075.0,3995993600000.0,5007586000000.0,4925380600000.0,6235405400000.0
2076.0,3923981000000.0,4953943000000.0,4892080000000.0,6223731600000.0
2077.0,3850606700000.0,4915211500000.0,4823901500000.0,6185608500000.0
2078.0,3789982000000.0,4858237700000.0,4782356000000.0,6170260000000.0
2079.0,3713198500000.0,4793555000000.0,4733429400000.0,6132645000000.0
