time,UKESM1-0-LL,IPSL-CM6A-LR,IITM-ESM,GFDL-ESM4,MPI-ESM1-2-HR,MRI-ESM2-0,KACE-1-0-G,TAIESM1,CESM2-WACCM
2000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0
2001.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0
2002.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0
2003.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0
2004.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0
2005.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0
2006.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0
2007.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0
2008.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0
2009.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0
2010.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0
2011.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0
2012.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0
2013.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0
2014.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0
2015.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0
2016.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0
2017.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0
2018.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0
2019.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0,8175378000000.0
2020.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0,8138347000000.0
2021.0,8084588000000.0,8114971000000.0,8065547000000.0,8083714000000.0,8080899700000.0,8107457500000.0,8090432300000.0,8115059000000.0,8121035000000.0
2022.0,8020802000000.0,8082268000000.0,8005860000000.0,8047053000000.0,8024619500000.0,8060712500000.0,8063200300000.0,8089232700000.0,8106495400000.0
2023.0,7983297700000.0,8001629000000.0,7977144000000.0,8019891500000.0,7988942000000.0,8047480500000.0,7998850000000.0,8009516300000.0,8060889000000.0
2024.0,7967348400000.0,7961536600000.0,7921382000000.0,8004102500000.0,7985200000000.0,8021083000000.0,7903552500000.0,7942718400000.0,8005602000000.0
2025.0,7907308000000.0,7900123600000.0,7856533000000.0,7991722500000.0,7970759400000.0,7944306400000.0,7856989000000.0,7922646000000.0,7992372000000.0
2026.0,7877776000000.0,7867026000000.0,7810250700000.0,7941071600000.0,7929734400000.0,7896545400000.0,7768274000000.0,7849360500000.0,7939526500000.0
2027.0,7860565000000.0,7811631700000.0,7764773000000.0,7882902000000.0,7915772600000.0,7847133000000.0,7695949000000.0,7749843300000.0,7862682600000.0
2028.0,7782413600000.0,7782752300000.0,7710391000000.0,7837789000000.0,7869202700000.0,7792481500000.0,7602313000000.0,7679444500000.0,7828635000000.0
