time,MRI-ESM2-0,KACE-1-0-G,MPI-ESM1-2-HR,GFDL-ESM4,CANESM5,EC-EARTH3,CESM2-WACCM,TAIESM1,MIROC6,UKESM1-0-LL,CNRM-ESM2-1,IPSL-CM6A-LR,CNRM-CM6-1
2000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0,8730158600000.0
2001.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0,8700870000000.0
2002.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0,8673776000000.0
2003.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0,8654186600000.0
2004.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0,8623512600000.0
2005.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0,8606304400000.0
2006.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0,8604380300000.0
2007.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0,8577069000000.0
2008.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0,8536403000000.0
2009.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0,8500183300000.0
2010.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0,8461535400000.0
2011.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0,8418490300000.0
2012.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0,8385485000000.0
2013.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0,8359613300000.0
2014.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0,8337136000000.0
2015.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0,8297251000000.0
2016.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0,8259731000000.0
2017.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0,8220335700000.0
2018.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0,8201715600000.0
