time,NORESM1-M,MPI-ESM-LR,CSIRO-MK3-6-0,CESM1-CAM5
2000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0
2001.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0
2002.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0
2003.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0
2004.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0
2005.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0
2006.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0
2007.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0
2008.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0
2009.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0
2010.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0
2011.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0
2012.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0
2013.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0
2014.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0
2015.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0
2016.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0
2017.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0
2018.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0
2019.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0
2020.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0
2021.0,134493045000.0,134558370000.0,134649315000.0,134842660000.0
2022.0,134432530000.0,134470690000.0,134967080000.0,134991320000.0
2023.0,134248450000.0,134464010000.0,134445556000.0,134491120000.0
2024.0,134726450000.0,134014616000.0,134431920000.0,134653936000.0
2025.0,134346160000.0,134361510000.0,134201850000.0,134471434000.0
2026.0,134486590000.0,133950420000.0,134181430000.0,134232550000.0
2027.0,134145540000.0,133575510000.0,134035450000.0,133769480000.0
2028.0,134029476000.0,133409464000.0,133856750000.0,133842330000.0
2029.0,135023740000.0,133724820000.0,133932020000.0,133553820000.0
2030.0,133819970000.0,133165150000.0,133824290000.0,133595660000.0
2031.0,133550970000.0,133168530000.0,133199180000.0,133464080000.0
2032.0,133316210000.0,132981910000.0,133173840000.0,133143670000.0
2033.0,133281055000.0,132828430000.0,133061400000.0,132949930000.0
2034.0,133050810000.0,132942820000.0,132907980000.0,132865745000.0
2035.0,132876990000.0,132665420000.0,132580480000.0,132709120000.0
2036.0,132809515000.0,133275630000.0,132490680000.0,132558905000.0
2037.0,133086580000.0,132600080000.0,132337920000.0,132895380000.0
2038.0,132734160000.0,132310704000.0,132084480000.0,132235390000.0
2039.0,132552290000.0,132159760000.0,131975954000.0,132106740000.0
2040.0,132488380000.0,132719510000.0,131692520000.0,131836020000.0
2041.0,132662280000.0,132170875000.0,131614695000.0,131714560000.0
2042.0,132126670000.0,131947400000.0,131505720000.0,131529690000.0
2043.0,131990086000.0,131930450000.0,131293030000.0,131336135000.0
2044.0,131892850000.0,131683350000.0,131160280000.0,131091250000.0
2045.0,131769510000.0,131395174000.0,130844870000.0,130857210000.0
2046.0,131589260000.0,131450765000.0,130750280000.0,130603024000.0
2047.0,131468550000.0,131517420000.0,130393555000.0,130392860000.0
2048.0,131254400000.0,131232570000.0,130380890000.0,129983920000.0
2049.0,131153560000.0,130952870000.0,129982530000.0,129553970000.0
2050.0,130879005000.0,131128870000.0,129768720000.0,129328865000.0
2051.0,130765790000.0,130775920000.0,129432035000.0,128935820000.0
2052.0,130528740000.0,130779730000.0,129238560000.0,128640810000.0
2053.0,130260750000.0,130489340000.0,129041160000.0,128159610000.0
2054.0,130006790000.0,130213130000.0,128930540000.0,127842296000.0
2055.0,129883750000.0,130075960000.0,128737920000.0,127774220000.0
2056.0,129614760000.0,129869640000.0,128217600000.0,127237530000.0
2057.0,129326290000.0,129844740000.0,128213220000.0,126693910000.0
2058.0,129251180000.0,129812310000.0,128019320000.0,126446860000.0
2059.0,129475300000.0,129608020000.0,127736650000.0,125845280000.0
2060.0,128708270000.0,129419936000.0,127275190000.0,125620460000.0
2061.0,128803900000.0,129311030000.0,126796325000.0,125294550000.0
2062.0,128405316000.0,129074780000.0,126489320000.0,124597944000.0
2063.0,128034750000.0,129287960000.0,126137310000.0,124231440000.0
2064.0,127710450000.0,128983140000.0,125921380000.0,123994600000.0
2065.0,127490834000.0,128790580000.0,125755920000.0,123509965000.0
2066.0,127351110000.0,128576490000.0,125460730000.0,123246625000.0
2067.0,127017350000.0,128398860000.0,124945070000.0,123004264000.0
2068.0,126797360000.0,128271830000.0,124614560000.0,122541120000.0
2069.0,126486030000.0,128998880000.0,124194470000.0,122092870000.0
2070.0,126351280000.0,128402890000.0,124007416000.0,121491644000.0
2071.0,126139090000.0,127968310000.0,123524874000.0,120542940000.0
2072.0,125698350000.0,127716190000.0,122991140000.0,119988660000.0
2073.0,125346490000.0,127517820000.0,122720985000.0,119571290000.0
2074.0,125005900000.0,127253720000.0,122332760000.0,119349764000.0
2075.0,125052710000.0,127129534000.0,121983640000.0,118447230000.0
2076.0,124624080000.0,127051010000.0,121521100000.0,117716380000.0
2077.0,124180685000.0,126391230000.0,121232280000.0,117432540000.0
2078.0,123886190000.0,126113130000.0,120727360000.0,117429260000.0
2079.0,123688140000.0,126188950000.0,120337560000.0,116552740000.0
2080.0,123316360000.0,126052810000.0,119849930000.0,116022610000.0
2081.0,122951000000.0,125885060000.0,119526700000.0,115344770000.0
2082.0,122496570000.0,126185366000.0,118981240000.0,114980030000.0
2083.0,122261780000.0,126191980000.0,118603630000.0,114017430000.0
2084.0,121912680000.0,125986460000.0,117963686000.0,113393480000.0
2085.0,121574150000.0,125212390000.0,117532490000.0,112640520000.0
2086.0,121192530000.0,124897650000.0,117206745000.0,112094495000.0
2087.0,120951790000.0,124587930000.0,116808250000.0,111350400000.0
2088.0,120654365000.0,124314804000.0,115939050000.0,110883800000.0
2089.0,120597780000.0,124117580000.0,115396540000.0,110365950000.0
2090.0,120280950000.0,124144615000.0,114896980000.0,109728326000.0
2091.0,119851730000.0,124079850000.0,114437760000.0,108861770000.0
2092.0,119482606000.0,123733730000.0,113948450000.0,107978330000.0
2093.0,118958950000.0,123395400000.0,113294720000.0,107526070000.0
2094.0,118530550000.0,123344660000.0,112792020000.0,106990730000.0
2095.0,118347980000.0,122923030000.0,112004220000.0,106337830000.0
2096.0,118421080000.0,122636450000.0,111719500000.0,105992180000.0
2097.0,117906760000.0,122901510000.0,111224226000.0,105489900000.0
2098.0,117654905000.0,122241016000.0,110475180000.0,104634770000.0
2099.0,117769680000.0,122062725000.0,109969850000.0,103886560000.0
2100.0,117006300000.0,121725760000.0,109280950000.0,102882310000.0
2101.0,117534060000.0,121568210000.0,108867510000.0,102400010000.0
2102.0,116396294000.0,121537090000.0,108413280000.0,101714680000.0
2103.0,116115980000.0,121184690000.0,107922590000.0,101089950000.0
2104.0,115606225000.0,120999390000.0,107682970000.0,100439420000.0
