time,MPI-ESM-LR,CCSM4,CSIRO-MK3-6-0
2000.0,135756220000.0,135756220000.0,135756220000.0
2001.0,136164390000.0,136164390000.0,136164390000.0
2002.0,136301126000.0,136301126000.0,136301126000.0
2003.0,135762300000.0,135762300000.0,135762300000.0
2004.0,135809900000.0,135809900000.0,135809900000.0
2005.0,135577870000.0,135577870000.0,135577870000.0
2006.0,135391230000.0,135391230000.0,135391230000.0
2007.0,135219610000.0,135219610000.0,135219610000.0
2008.0,135262460000.0,135262460000.0,135262460000.0
2009.0,135167790000.0,135167790000.0,135167790000.0
2010.0,135027606000.0,135027606000.0,135027606000.0
2011.0,134893310000.0,134893310000.0,134893310000.0
2012.0,135043740000.0,135043740000.0,135043740000.0
2013.0,135577510000.0,135577510000.0,135577510000.0
2014.0,134959600000.0,134959600000.0,134959600000.0
2015.0,135629545000.0,135629545000.0,135629545000.0
2016.0,134959030000.0,134959030000.0,134959030000.0
2017.0,134652490000.0,134652490000.0,134652490000.0
2018.0,134775750000.0,134775750000.0,134775750000.0
2019.0,134728410000.0,134728410000.0,134728410000.0
2020.0,134715810000.0,134715810000.0,134715810000.0
2021.0,134465634000.0,134556850000.0,134640165000.0
2022.0,134608000000.0,134539720000.0,134816970000.0
2023.0,134489070000.0,134468550000.0,134419770000.0
2024.0,135031880000.0,134219460000.0,133964644000.0
2025.0,134282850000.0,134881690000.0,133873910000.0
2026.0,134273370000.0,133778380000.0,134091480000.0
2027.0,134076270000.0,133669370000.0,133474600000.0
2028.0,134736040000.0,133662286000.0,133588000000.0
2029.0,134167300000.0,133651140000.0,133893825000.0
2030.0,133780365000.0,133474030000.0,133465825000.0
2031.0,133705245000.0,133144950000.0,133708790000.0
2032.0,133381910000.0,133136440000.0,133341090000.0
2033.0,133408290000.0,132972170000.0,133003310000.0
2034.0,133214940000.0,132864040000.0,132938010000.0
2035.0,132987000000.0,132885905000.0,132566024000.0
2036.0,132996120000.0,132548870000.0,132412040000.0
2037.0,132944445000.0,132604950000.0,132623850000.0
2038.0,132733630000.0,132365860000.0,132081500000.0
2039.0,132743050000.0,132214910000.0,131769730000.0
2040.0,132619790000.0,132107180000.0,131718780000.0
2041.0,132330420000.0,131912470000.0,131487370000.0
2042.0,132190265000.0,131616430000.0,131250274000.0
2043.0,132126474000.0,131513350000.0,131287600000.0
2044.0,132010930000.0,131252584000.0,130931160000.0
2045.0,131864160000.0,131122600000.0,130864955000.0
2046.0,131717350000.0,130901890000.0,130408560000.0
2047.0,131566756000.0,130783990000.0,130534334000.0
2048.0,131339035000.0,130542970000.0,130411586000.0
2049.0,131296535000.0,130096680000.0,129777150000.0
2050.0,130944640000.0,130087750000.0,129499520000.0
2051.0,130813920000.0,129857170000.0,129167830000.0
2052.0,130573720000.0,129509720000.0,128791390000.0
2053.0,130531020000.0,129171276000.0,128581190000.0
2054.0,130395990000.0,128972350000.0,128318070000.0
2055.0,130473510000.0,128808990000.0,128053870000.0
2056.0,130462370000.0,128519830000.0,127546950000.0
2057.0,130007120000.0,128320300000.0,127187390000.0
2058.0,129787100000.0,127822590000.0,126980640000.0
2059.0,129804890000.0,127619090000.0,126763920000.0
2060.0,129699390000.0,127173304000.0,126458530000.0
2061.0,129317240000.0,126970620000.0,126204080000.0
2062.0,129132860000.0,126311200000.0,125528605000.0
2063.0,128868550000.0,126077215000.0,125289130000.0
2064.0,128694040000.0,125705620000.0,124927220000.0
2065.0,128497566000.0,125122790000.0,124451725000.0
2066.0,128414370000.0,124377050000.0,123601870000.0
2067.0,128075284000.0,123910260000.0,123021010000.0
2068.0,127817350000.0,123547280000.0,122595230000.0
2069.0,127609510000.0,123301530000.0,121834550000.0
2070.0,127241720000.0,122901700000.0,121282890000.0
2071.0,127040810000.0,122038400000.0,120540635000.0
2072.0,126768940000.0,121624310000.0,120033710000.0
2073.0,126548100000.0,121233230000.0,119459190000.0
2074.0,126090620000.0,120556085000.0,118809900000.0
2075.0,125905350000.0,120113100000.0,117929520000.0
2076.0,125967240000.0,119273350000.0,117247800000.0
2077.0,125359610000.0,118347964000.0,116374440000.0
2078.0,125199925000.0,117652636000.0,115794510000.0
2079.0,124904620000.0,117061700000.0,115257880000.0
2080.0,124343090000.0,116212570000.0,114203450000.0
2081.0,124004980000.0,115133400000.0,113581924000.0
2082.0,123831345000.0,114174770000.0,112643660000.0
2083.0,123283950000.0,113257350000.0,111779100000.0
