time,IPSL-CM6A-LR,UKESM1-0-LL,MRI-ESM2-0,CNRM-ESM2-1,CANESM5
2000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0,869247400000.0
2001.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0,869160700000.0
2002.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0,866940940000.0
2003.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0,865062400000.0
2004.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0,861031500000.0
2005.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0,857439400000.0
2006.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0,847826500000.0
2007.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0,835716800000.0
2008.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0,825610300000.0
2009.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0,823401600000.0
2010.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0,805672450000.0
2011.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0,793252100000.0
2012.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0,787780530000.0
2013.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0,775046500000.0
2014.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0,770802200000.0
2015.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0,759412000000.0
2016.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0,754134940000.0
2017.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0,744729800000.0
2018.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0,736840500000.0
2019.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0,725345300000.0
2020.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0,718000500000.0
2021.0,699980640000.0,710725340000.0,701922400000.0,709653950000.0,687771160000.0
2022.0,697406650000.0,692265750000.0,685925700000.0,703943500000.0,669575100000.0
2023.0,692643400000.0,668889300000.0,673565840000.0,685234600000.0,633082350000.0
2024.0,672753800000.0,647780240000.0,659695340000.0,672499760000.0,594499800000.0
2025.0,656008540000.0,627972800000.0,649364240000.0,667462660000.0,573784260000.0
2026.0,638273000000.0,610144500000.0,629666350000.0,655732640000.0,545977140000.0
2027.0,616284160000.0,597575100000.0,616888800000.0,644899730000.0,518815380000.0
2028.0,597141950000.0,576827560000.0,598402000000.0,629329200000.0,490918200000.0
2029.0,574271300000.0,554417260000.0,584702600000.0,615798540000.0,467208630000.0
2030.0,569586000000.0,542608300000.0,562432300000.0,606128300000.0,447752600000.0
2031.0,554970050000.0,540736060000.0,542534860000.0,588282800000.0,423809900000.0
2032.0,537999250000.0,530263000000.0,531254640000.0,577185640000.0,401024400000.0
2033.0,527546800000.0,513087900000.0,518339100000.0,572710900000.0,378346670000.0
2034.0,509374760000.0,493847120000.0,498076100000.0,557720500000.0,362963000000.0
2035.0,509099470000.0,472126520000.0,479783780000.0,549708400000.0,339853540000.0
2036.0,502985560000.0,452793800000.0,461099570000.0,543721620000.0,326225500000.0
2037.0,493475400000.0,437237220000.0,452924900000.0,529200220000.0,311900000000.0
2038.0,485051400000.0,424306500000.0,443681570000.0,521986500000.0,291900420000.0
2039.0,475771240000.0,412330820000.0,426762760000.0,507032700000.0,276904150000.0
2040.0,468175680000.0,407030530000.0,412091100000.0,496781520000.0,269118050000.0
2041.0,452791370000.0,396392960000.0,388242240000.0,479314120000.0,262538220000.0
2042.0,432617550000.0,379428570000.0,377150240000.0,469338950000.0,245946020000.0
2043.0,410284460000.0,366429440000.0,362685830000.0,465143270000.0,231551430000.0
2044.0,394133100000.0,353942300000.0,349504700000.0,458705700000.0,219213090000.0
2045.0,384835300000.0,329748700000.0,333180000000.0,440401040000.0,206949760000.0
2046.0,368233250000.0,311790960000.0,315125960000.0,419832900000.0,196875060000.0
2047.0,360820440000.0,292553060000.0,300333630000.0,419126250000.0,187615310000.0
2048.0,342468850000.0,284016500000.0,280654840000.0,399002200000.0,184041010000.0
2049.0,331621430000.0,273485640000.0,268487900000.0,390406640000.0,170694100000.0
2050.0,320482600000.0,255185580000.0,251697400000.0,375199560000.0,165354910000.0
2051.0,310817060000.0,248180110000.0,243061280000.0,367446230000.0,160123400000.0
2052.0,308111500000.0,235424710000.0,228710370000.0,360549300000.0,148267970000.0
2053.0,296675340000.0,225167280000.0,216563800000.0,342650520000.0,142033620000.0
2054.0,287456300000.0,215534930000.0,215911320000.0,326981030000.0,140853920000.0
2055.0,280807670000.0,200949300000.0,208990010000.0,310769550000.0,139563730000.0
2056.0,272982670000.0,190473800000.0,208311840000.0,303476150000.0,131748860000.0
2057.0,258108440000.0,180533070000.0,204156930000.0,298477360000.0,124974030000.0
2058.0,244857780000.0,171984100000.0,198804770000.0,290002960000.0,121517040000.0
2059.0,234061320000.0,168225870000.0,190414000000.0,283991100000.0,115511110000.0
2060.0,220267330000.0,160537920000.0,186486440000.0,275209220000.0,113464780000.0
2061.0,208242920000.0,154688080000.0,184407570000.0,270142460000.0,110087170000.0
2062.0,200152040000.0,148868640000.0,181124370000.0,266786210000.0,107633940000.0
2063.0,193092340000.0,144348680000.0,180843360000.0,258730260000.0,104128406000.0
2064.0,191337350000.0,139272340000.0,181100200000.0,248087870000.0,98920970000.0
2065.0,183437030000.0,134502760000.0,180155890000.0,241150790000.0,98431030000.0
2066.0,175908540000.0,126693790000.0,176938400000.0,233243160000.0,98400420000.0
2067.0,166941560000.0,121612800000.0,179371750000.0,225495060000.0,94240180000.0
2068.0,160768950000.0,120401210000.0,178678480000.0,219564410000.0,91752110000.0
2069.0,160002560000.0,118137620000.0,181006990000.0,215607080000.0,89201340000.0
2070.0,152206100000.0,115048464000.0,176035770000.0,211594080000.0,88580820000.0
2071.0,149227040000.0,113688960000.0,176219750000.0,211082670000.0,83929285000.0
2072.0,146082050000.0,111300580000.0,174635520000.0,210102060000.0,80574130000.0
2073.0,143239920000.0,110514160000.0,175746450000.0,206081840000.0,78266370000.0
2074.0,142078750000.0,106221970000.0,173463720000.0,197201970000.0,77645360000.0
2075.0,141447480000.0,103610500000.0,175168240000.0,192057520000.0,74815700000.0
2076.0,140243960000.0,103316160000.0,174392380000.0,191005030000.0,72313500000.0
2077.0,140638600000.0,104896510000.0,176563140000.0,187363930000.0,69870084000.0
2078.0,139136660000.0,105014990000.0,173285460000.0,184022900000.0,72432800000.0
2079.0,140373110000.0,103719890000.0,173054180000.0,187350900000.0,73026360000.0
2080.0,144659630000.0,102526320000.0,172524620000.0,183953720000.0,74251970000.0
2081.0,143884630000.0,101781070000.0,174124140000.0,180775040000.0,73522750000.0
2082.0,143978090000.0,101815730000.0,174124550000.0,183717270000.0,74717890000.0
2083.0,141067120000.0,102419100000.0,172785470000.0,184011880000.0,75784225000.0
2084.0,142147520000.0,101606250000.0,173367540000.0,178526040000.0,75692440000.0
2085.0,138024030000.0,101054734000.0,175888070000.0,175826710000.0,76677940000.0
2086.0,140880170000.0,102375630000.0,177322500000.0,175883220000.0,75862120000.0
2087.0,142179400000.0,102708265000.0,180703940000.0,173964790000.0,77855990000.0
2088.0,142297580000.0,103587240000.0,180519170000.0,174364050000.0,78313280000.0
2089.0,145719690000.0,103618210000.0,181127700000.0,172811160000.0,77734550000.0
2090.0,144554970000.0,102179490000.0,181283290000.0,173926840000.0,79251960000.0
2091.0,145223300000.0,101596540000.0,183469080000.0,170929010000.0,80893990000.0
2092.0,146017880000.0,99956335000.0,184582820000.0,166523060000.0,79296660000.0
2093.0,148404960000.0,98337956000.0,185000100000.0,164819350000.0,81155210000.0
2094.0,147236010000.0,99296215000.0,187564200000.0,162686930000.0,79731510000.0
2095.0,147538200000.0,97689640000.0,186545270000.0,162318430000.0,79281850000.0
2096.0,148127780000.0,97748025000.0,188247920000.0,162084540000.0,78209290000.0
2097.0,148758840000.0,99901465000.0,192124810000.0,161145670000.0,78396080000.0
2098.0,146665080000.0,99983180000.0,193432260000.0,160023660000.0,79300720000.0
2099.0,145968300000.0,100473160000.0,195661250000.0,161496680000.0,79668320000.0
2100.0,143676800000.0,100778240000.0,197763600000.0,161145800000.0,79164790000.0
