time,UKESM1-0-LL,MRI-ESM2-0,IPSL-CM6A-LR,CNRM-ESM2-1,CANESM5
2000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0,10770005000.0
2001.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0,10762975000.0
2002.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0,10760369000.0
2003.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0,10758381000.0
2004.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0,10752734000.0
2005.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0,10748500000.0
2006.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0,10745679000.0
2007.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0,10743646000.0
2008.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0,10745764000.0
2009.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0,10733721000.0
2010.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0,10738600000.0
2011.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0,10722811000.0
2012.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0,10763525000.0
2013.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0,10748648000.0
2014.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0,10741843000.0
2015.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0,10722254000.0
2016.0,10728979000.0,10728979000.0,10728979000.0,10728979000.0,10728979000.0
2017.0,10707930000.0,10707930000.0,10707930000.0,10707930000.0,10707930000.0
2018.0,10700131000.0,10700131000.0,10700131000.0,10700131000.0,10700131000.0
2019.0,10710534000.0,10710534000.0,10710534000.0,10710534000.0,10710534000.0
2020.0,10692423000.0,10692423000.0,10692423000.0,10692423000.0,10692423000.0
2021.0,10680738000.0,10682335000.0,10682237000.0,10683795000.0,10670975000.0
2022.0,10670321000.0,10671450000.0,10701922000.0,10678352000.0,10651677000.0
2023.0,10686610000.0,10659301000.0,10666485000.0,10666706000.0,10628152000.0
2024.0,10650265000.0,10643653000.0,10682852000.0,10660206000.0,10604124000.0
2025.0,10640742000.0,10629866000.0,10665563000.0,10651017000.0,10576357000.0
2026.0,10629228000.0,10615481000.0,10653226000.0,10645408000.0,10540847000.0
2027.0,10612030000.0,10594025000.0,10645741000.0,10641796000.0,10492257000.0
2028.0,10582801000.0,10588591000.0,10633185000.0,10630865000.0,10430821000.0
