time,GFDL-ESM4,MRI-ESM2-0,IPSL-CM6A-LR,MPI-ESM1-2-HR,UKESM1-0-LL
2000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0
2001.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0
2002.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0
2003.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0
2004.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0
2005.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0
2006.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0
2007.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0
2008.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0
2009.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0
2010.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0
2011.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0
2012.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0
2013.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0
2014.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0
2015.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0
2016.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0
2017.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0
2018.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0
2019.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0
2020.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0
2021.0,13684231000000.0,13754143000000.0,13725109000000.0,13725342000000.0,13711050000000.0
2022.0,13675012000000.0,13739255000000.0,13632619000000.0,13705190000000.0,13662608000000.0
2023.0,13687067000000.0,13703391000000.0,13605545000000.0,13696999000000.0,13590847000000.0
2024.0,13666155000000.0,13687011000000.0,13512382000000.0,13682979000000.0,13560445000000.0
2025.0,13643336000000.0,13657406000000.0,13503647000000.0,13692091000000.0,13480562000000.0
2026.0,13642453000000.0,13623249000000.0,13462535000000.0,13668097000000.0,13427848000000.0
2027.0,13631243000000.0,13601388000000.0,13438600000000.0,13657038000000.0,13324970000000.0
2028.0,13591621000000.0,13548535000000.0,13407884000000.0,13620302000000.0,13288763000000.0
2029.0,13549505000000.0,13500804000000.0,13382961000000.0,13616735000000.0,13194345000000.0
2030.0,13522273000000.0,13450497000000.0,13331674000000.0,13605503000000.0,13112329000000.0
2031.0,13528694000000.0,13416942000000.0,13301023000000.0,13611735000000.0,13005336000000.0
2032.0,13495587000000.0,13353716000000.0,13262228000000.0,13599073000000.0,12948644000000.0
2033.0,13465689000000.0,13297382000000.0,13231907000000.0,13589304000000.0,12864599000000.0
2034.0,13423422000000.0,13231149000000.0,13182753000000.0,13589965000000.0,12721463000000.0
2035.0,13417758000000.0,13162280000000.0,13151764000000.0,13584745000000.0,12637870000000.0
2036.0,13381994000000.0,13101974000000.0,13084555000000.0,13590943000000.0,12599510000000.0
2037.0,13393047000000.0,13053336000000.0,13038355000000.0,13591864000000.0,12531195000000.0
2038.0,13372468000000.0,13012138000000.0,12952130000000.0,13597556000000.0,12480631000000.0
2039.0,13354934000000.0,12930508000000.0,12907306000000.0,13577214000000.0,12397889000000.0
2040.0,13340161000000.0,12833270000000.0,12848530000000.0,13570895000000.0,12321225000000.0
2041.0,13312507000000.0,12737031000000.0,12756144000000.0,13561377000000.0,12228813000000.0
2042.0,13305722000000.0,12687945000000.0,12622607000000.0,13523144000000.0,12116994000000.0
2043.0,13277286000000.0,12604433000000.0,12486052000000.0,13463222000000.0,11968907000000.0
2044.0,13256111000000.0,12488152000000.0,12382646000000.0,13404481000000.0,11836221000000.0
2045.0,13233650000000.0,12425964000000.0,12319238000000.0,13392746000000.0,11651446000000.0
2046.0,13229793000000.0,12369403000000.0,12255132000000.0,13378008000000.0,11512142000000.0
2047.0,13187281000000.0,12260586000000.0,12198845000000.0,13350984000000.0,11394516000000.0
2048.0,13189420000000.0,12186913000000.0,12134678000000.0,13368722000000.0,11292986000000.0
2049.0,13176062000000.0,12113080000000.0,12037399000000.0,13330109000000.0,11206899000000.0
2050.0,13183489000000.0,12051565000000.0,11942747000000.0,13324945000000.0,11134534000000.0
2051.0,13177491000000.0,11969560000000.0,11859986000000.0,13333066000000.0,11022323000000.0
2052.0,13145800000000.0,11920822000000.0,11757368000000.0,13330358000000.0,10939197000000.0
2053.0,13119214000000.0,11842673000000.0,11687974000000.0,13329305000000.0,10827282000000.0
2054.0,13111612000000.0,11794726000000.0,11585786000000.0,13331667000000.0,10653079000000.0
2055.0,13122290000000.0,11704646000000.0,11523452000000.0,13309477000000.0,10476924000000.0
2056.0,13076730000000.0,11566682000000.0,11446546000000.0,13300499000000.0,10317234000000.0
2057.0,13059434000000.0,11490269000000.0,11348922000000.0,13297936000000.0,10164730000000.0
2058.0,13044615000000.0,11388263000000.0,11193638000000.0,13257098000000.0,10046368000000.0
2059.0,13042706000000.0,11303919000000.0,11085474000000.0,13204813000000.0,9923377000000.0
2060.0,13014269000000.0,11213577000000.0,11023674000000.0,13171138000000.0,9780710000000.0
2061.0,12992427000000.0,11106724000000.0,10975344000000.0,13138272000000.0,9640102000000.0
2062.0,12942891000000.0,11020532000000.0,10896130000000.0,13104982000000.0,9479497000000.0
2063.0,12920219000000.0,10924471000000.0,10782975000000.0,13093004000000.0,9344727000000.0
2064.0,12874517000000.0,10821430000000.0,10711088000000.0,13069297000000.0,9221856000000.0
2065.0,12819423000000.0,10739385000000.0,10579167000000.0,13055635000000.0,9129064000000.0
2066.0,12757330000000.0,10603997000000.0,10522873000000.0,13066120000000.0,9063543000000.0
2067.0,12747394000000.0,10502354000000.0,10472556000000.0,13058341000000.0,8929968000000.0
2068.0,12718536000000.0,10394541000000.0,10419513000000.0,13028816000000.0,8788471400000.0
2069.0,12711740000000.0,10284399000000.0,10393849000000.0,12987692000000.0,8691727000000.0
2070.0,12681401000000.0,10129812000000.0,10343818000000.0,12967590000000.0,8601072000000.0
2071.0,12663004000000.0,10021533000000.0,10276857000000.0,12947115000000.0,8505684000000.0
2072.0,12624345000000.0,9933777000000.0,10186871000000.0,12911630000000.0,8433479700000.0
2073.0,12626745000000.0,9824391000000.0,10108776000000.0,12908399000000.0,8308357000000.0
2074.0,12612413000000.0,9798443000000.0,10015203000000.0,12895155000000.0,8202353600000.0
2075.0,12576979000000.0,9789877000000.0,9894376000000.0,12865788000000.0,8064719000000.0
2076.0,12552674000000.0,9702219000000.0,9795658000000.0,12865927000000.0,7910025000000.0
2077.0,12533124000000.0,9606577000000.0,9659894000000.0,12829425000000.0,7741042000000.0
2078.0,12492445000000.0,9535230000000.0,9585179000000.0,12803369000000.0,7611549000000.0
2079.0,12469190000000.0,9428487000000.0,9446756000000.0,12785784000000.0,7501259500000.0
2080.0,12480328000000.0,9392686000000.0,9356895000000.0,12789810000000.0,7402282300000.0
2081.0,12441563000000.0,9309551000000.0,9263154000000.0,12763464000000.0,7298271000000.0
2082.0,12405954000000.0,9262966000000.0,9158373000000.0,12752937000000.0,7204574000000.0
2083.0,12395116000000.0,9206345000000.0,9084033000000.0,12758552000000.0,7125724000000.0
2084.0,12397083000000.0,9138503000000.0,8976483000000.0,12742083000000.0,7016203000000.0
2085.0,12357591000000.0,9061985000000.0,8891735000000.0,12717622000000.0,6879699000000.0
2086.0,12305901000000.0,9020134000000.0,8808346000000.0,12691381000000.0,6781282000000.0
2087.0,12267630000000.0,8933831000000.0,8746660500000.0,12663550000000.0,6703946400000.0
2088.0,12234207000000.0,8880684000000.0,8653183600000.0,12626108000000.0,6657501000000.0
2089.0,12158275000000.0,8823552000000.0,8599943000000.0,12577523000000.0,6592768000000.0
2090.0,12136870000000.0,8791949600000.0,8529572000000.0,12544728000000.0,6495782600000.0
2091.0,12134371000000.0,8736815000000.0,8452052000000.0,12528335000000.0,6391983500000.0
2092.0,12134608000000.0,8683402000000.0,8364013000000.0,12540512000000.0,6282812600000.0
2093.0,12128290000000.0,8632036000000.0,8304433000000.0,12529286000000.0,6174052000000.0
2094.0,12095096000000.0,8569056000000.0,8207481700000.0,12508740000000.0,6085965000000.0
2095.0,12055448000000.0,8531693000000.0,8139042000000.0,12518152000000.0,5975813000000.0
2096.0,12042380000000.0,8475762500000.0,8093486000000.0,12507028000000.0,5912072300000.0
2097.0,12052983000000.0,8347308000000.0,8017823000000.0,12515831000000.0,5817356500000.0
2098.0,12014751000000.0,8294809000000.0,7937568000000.0,12490378000000.0,5716434000000.0
2099.0,11977128000000.0,8283142000000.0,7885715700000.0,12479677000000.0,5634565600000.0
2100.0,11932863000000.0,8250470000000.0,7784869400000.0,12467239000000.0,5517479500000.0
