time,MRI-ESM2-0,GFDL-ESM4,MPI-ESM1-2-HR,IPSL-CM6A-LR,UKESM1-0-LL
2000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0,13995779000000.0
2001.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0,13973409000000.0
2002.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0,13955128000000.0
2003.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0,13944563000000.0
2004.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0,13943696000000.0
2005.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0,13940447000000.0
2006.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0,13929106000000.0
2007.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0,13914716000000.0
2008.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0,13911430000000.0
2009.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0,13905837000000.0
2010.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0,13893607000000.0
2011.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0,13887902000000.0
2012.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0,13884520000000.0
2013.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0,13862775000000.0
2014.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0,13833353000000.0
2015.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0,13841068000000.0
2016.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0,13828586000000.0
2017.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0,13797239000000.0
2018.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0,13790639000000.0
2019.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0,13770760000000.0
2020.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0,13757439000000.0
2021.0,13752098000000.0,13730042000000.0,13744295000000.0,13690950000000.0,13710503000000.0
2022.0,13737427000000.0,13730022000000.0,13729453000000.0,13660671000000.0,13670366000000.0
2023.0,13728657000000.0,13724388000000.0,13706842000000.0,13641422000000.0,13632076000000.0
2024.0,13714915000000.0,13712014000000.0,13707416000000.0,13646126000000.0,13550312000000.0
2025.0,13679073000000.0,13720666000000.0,13707788000000.0,13650881000000.0,13521564000000.0
2026.0,13655396000000.0,13717606000000.0,13694557000000.0,13637299000000.0,13441665000000.0
2027.0,13634743000000.0,13696571000000.0,13679871000000.0,13631419000000.0,13371588000000.0
2028.0,13580395000000.0,13647456000000.0,13666238000000.0,13626239000000.0,13256004000000.0
2029.0,13530025000000.0,13633360000000.0,13668907000000.0,13563478000000.0,13171940000000.0
2030.0,13450932000000.0,13622355000000.0,13656112000000.0,13531500000000.0,12974939000000.0
2031.0,13419958000000.0,13634233000000.0,13644658000000.0,13450003000000.0,12855756000000.0
2032.0,13383815000000.0,13637910000000.0,13648804000000.0,13452941000000.0,12703867000000.0
2033.0,13360367000000.0,13623343000000.0,13645175000000.0,13449921000000.0,12607566000000.0
2034.0,13305649000000.0,13607006000000.0,13599582000000.0,13369570000000.0,12505802000000.0
2035.0,13269176000000.0,13588156000000.0,13585723000000.0,13297907000000.0,12396729000000.0
2036.0,13246301000000.0,13559024000000.0,13594779000000.0,13158093000000.0,12253241000000.0
2037.0,13204038000000.0,13525606000000.0,13585340000000.0,13039046000000.0,12076075000000.0
2038.0,13131880000000.0,13511353000000.0,13562625000000.0,12919164000000.0,11939639000000.0
2039.0,13097561000000.0,13468443000000.0,13550137000000.0,12827393000000.0,11840701000000.0
2040.0,12961830000000.0,13434692000000.0,13552427000000.0,12721103000000.0,11741475000000.0
2041.0,12858365000000.0,13393761000000.0,13500972000000.0,12626015000000.0,11691897000000.0
2042.0,12794051000000.0,13378158000000.0,13486737000000.0,12560153000000.0,11617200000000.0
2043.0,12774915000000.0,13351844000000.0,13460931000000.0,12530615000000.0,11569548000000.0
2044.0,12704158000000.0,13340984000000.0,13462575000000.0,12430012000000.0,11471585000000.0
2045.0,12620044000000.0,13309897000000.0,13450472000000.0,12316475000000.0,11433307000000.0
2046.0,12560518000000.0,13283919000000.0,13427459000000.0,12254209000000.0,11366825000000.0
2047.0,12498207000000.0,13246077000000.0,13396567000000.0,12100797000000.0,11264627000000.0
2048.0,12421882000000.0,13225554000000.0,13388302000000.0,11956387000000.0,11166605000000.0
2049.0,12351264000000.0,13220299000000.0,13363432000000.0,11852977000000.0,11057706000000.0
2050.0,12281206000000.0,13195464000000.0,13347566000000.0,11785641000000.0,10944033000000.0
2051.0,12230400000000.0,13183660000000.0,13309900000000.0,11680309000000.0,10830777000000.0
2052.0,12118651000000.0,13111260000000.0,13289575000000.0,11590620000000.0,10713240000000.0
2053.0,11966537000000.0,13031440000000.0,13246281000000.0,11454983000000.0,10584911000000.0
2054.0,11868588000000.0,12982250000000.0,13170910000000.0,11298115000000.0,10493473000000.0
2055.0,11815966000000.0,12964395000000.0,13098247000000.0,11205766000000.0,10350504000000.0
2056.0,11711482000000.0,12951393000000.0,13043631000000.0,11040513000000.0,10126342000000.0
2057.0,11612731000000.0,12964881000000.0,12994520000000.0,10950802000000.0,9904305000000.0
2058.0,11470039000000.0,12901037000000.0,12942220000000.0,10850108000000.0,9685638000000.0
2059.0,11333661000000.0,12836017000000.0,12914470000000.0,10756092000000.0,9500122000000.0
2060.0,11247334000000.0,12815522000000.0,12861603000000.0,10625507000000.0,9315725000000.0
2061.0,11140123000000.0,12741192000000.0,12809322000000.0,10509717000000.0,9133091000000.0
2062.0,11077628000000.0,12664936000000.0,12784246000000.0,10413251000000.0,8954707000000.0
2063.0,10987119000000.0,12619547000000.0,12739248000000.0,10284789000000.0,8788689600000.0
2064.0,10904282000000.0,12602814000000.0,12687148000000.0,10073202000000.0,8682255000000.0
2065.0,10781377000000.0,12584441000000.0,12670468000000.0,9973748000000.0,8589053000000.0
2066.0,10681891000000.0,12538656000000.0,12632699000000.0,9848695000000.0,8475885700000.0
2067.0,10582623000000.0,12531597000000.0,12610937000000.0,9708381000000.0,8371469000000.0
2068.0,10456383000000.0,12522124000000.0,12557394000000.0,9567415000000.0,8209657000000.0
2069.0,10352189000000.0,12493423000000.0,12494658000000.0,9430026000000.0,8010752600000.0
2070.0,10214108000000.0,12429273000000.0,12453429000000.0,9290450000000.0,7816327000000.0
2071.0,10074882000000.0,12365757000000.0,12399718000000.0,9206694000000.0,7654136000000.0
2072.0,10015380000000.0,12303497000000.0,12353840000000.0,9055568000000.0,7473592000000.0
2073.0,9936782000000.0,12215724000000.0,12312296000000.0,8928218000000.0,7323468000000.0
2074.0,9825817000000.0,12137371000000.0,12260233000000.0,8796796000000.0,7145231000000.0
2075.0,9744651000000.0,12063877000000.0,12231632000000.0,8678619000000.0,6939901700000.0
2076.0,9570371000000.0,11950654000000.0,12175818000000.0,8582187700000.0,6772209000000.0
2077.0,9437852000000.0,11889817000000.0,12143071000000.0,8471654700000.0,6561835500000.0
2078.0,9337331000000.0,11823607000000.0,12123570000000.0,8332217000000.0,6392962000000.0
2079.0,9271614000000.0,11769318000000.0,12079801000000.0,8244791600000.0,6223004000000.0
2080.0,9181603000000.0,11700985000000.0,12043721000000.0,8132184500000.0,6039039600000.0
2081.0,9051595000000.0,11652719000000.0,12035604000000.0,8011372300000.0,5865559000000.0
2082.0,8947778000000.0,11569764000000.0,12009265000000.0,7887595000000.0,5691727000000.0
2083.0,8842234000000.0,11464250000000.0,11986776000000.0,7779340000000.0,5532457000000.0
2084.0,8764781000000.0,11404827000000.0,11966927000000.0,7650011500000.0,5385111500000.0
2085.0,8674767000000.0,11352241000000.0,11947272000000.0,7506347000000.0,5208479000000.0
2086.0,8532995000000.0,11304996000000.0,11907067000000.0,7333622000000.0,5021588000000.0
2087.0,8429234000000.0,11198254000000.0,11845296000000.0,7204616000000.0,4826050000000.0
2088.0,8337782500000.0,11095665000000.0,11787253000000.0,7058117000000.0,4658009000000.0
2089.0,8226531000000.0,11051168000000.0,11707087000000.0,6947389000000.0,4495668400000.0
2090.0,8091182000000.0,10995092000000.0,11643939000000.0,6828390000000.0,4330309300000.0
2091.0,7987698000000.0,10920734000000.0,11585413000000.0,6672207600000.0,4156859400000.0
2092.0,7887610400000.0,10849333000000.0,11535152000000.0,6509511000000.0,4000824000000.0
2093.0,7761786600000.0,10784452000000.0,11504370000000.0,6368000000000.0,3842008200000.0
2094.0,7669102000000.0,10691460000000.0,11437778000000.0,6224612400000.0,3686091500000.0
2095.0,7580484000000.0,10622227000000.0,11389510000000.0,6076596500000.0,3493529600000.0
2096.0,7490945700000.0,10512150000000.0,11346958000000.0,5965047400000.0,3327309600000.0
2097.0,7380548500000.0,10450510000000.0,11303788000000.0,5853531300000.0,3159861500000.0
2098.0,7298686600000.0,10390422000000.0,11253539000000.0,5680141400000.0,3002299800000.0
2099.0,7182385000000.0,10315191000000.0,11209681000000.0,5561740000000.0,2854387200000.0
2100.0,7100851000000.0,10220252000000.0,11144537000000.0,5445299000000.0,2698306400000.0
