time,IITM-ESM,CESM2-WACCM,TAIESM1,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4,UKESM1-0-LL,KACE-1-0-G,MPI-ESM1-2-HR
2000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0,3284600000000.0
2001.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0,3278894000000.0
2002.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0,3266868400000.0
2003.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0,3262148800000.0
2004.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0,3273126300000.0
2005.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0,3276279400000.0
2006.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0,3269771400000.0
2007.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0,3248333000000.0
2008.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0,3228356600000.0
2009.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0,3205327200000.0
2010.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0,3190852400000.0
2011.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0,3188905000000.0
2012.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0,3169102900000.0
2013.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0,3145221500000.0
2014.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0,3133198000000.0
2015.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0,3123046000000.0
2016.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0,3111347300000.0
2017.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0,3102432000000.0
2018.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0,3095914600000.0
2019.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0,3082908900000.0
2020.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0,3070688000000.0
2021.0,3045897800000.0,3057945400000.0,3019571700000.0,3065768300000.0,3034714000000.0,3013865000000.0,3016547000000.0,3035666300000.0,3056970800000.0
2022.0,3045364900000.0,3039937000000.0,3001023200000.0,3046433600000.0,2989995000000.0,2981425800000.0,2965762700000.0,2981587000000.0,3054288800000.0
2023.0,3038748300000.0,3002959700000.0,2937662000000.0,2995675000000.0,2959151200000.0,2947070000000.0,2943803000000.0,2927937500000.0,3024944000000.0
2024.0,3046557600000.0,2971935000000.0,2924973000000.0,2967675000000.0,2926019300000.0,2925839500000.0,2872689300000.0,2875584700000.0,2990809300000.0
2025.0,3042729500000.0,2943599200000.0,2887350700000.0,2932808000000.0,2874346300000.0,2893078000000.0,2788957400000.0,2836392600000.0,2971822200000.0
2026.0,3029353600000.0,2921903200000.0,2847338100000.0,2906169800000.0,2837541300000.0,2855564200000.0,2711023500000.0,2781314000000.0,2951624300000.0
2027.0,3001449400000.0,2893015000000.0,2816440800000.0,2882117600000.0,2813335700000.0,2821171000000.0,2638713200000.0,2704829300000.0,2917383800000.0
2028.0,2994507000000.0,2856599200000.0,2782801700000.0,2843976700000.0,2771869200000.0,2805775500000.0,2596322400000.0,2655476000000.0,2859697700000.0
2029.0,2977357400000.0,2852363700000.0,2740761100000.0,2810536800000.0,2730771000000.0,2779735400000.0,2548665400000.0,2615775000000.0,2843174500000.0
2030.0,2959789300000.0,2825406600000.0,2719712000000.0,2771199200000.0,2714159000000.0,2750074000000.0,2512086600000.0,2568078800000.0,2838648600000.0
2031.0,2935224000000.0,2787087700000.0,2718625200000.0,2723816100000.0,2669457200000.0,2734123000000.0,2473051800000.0,2521237800000.0,2813960000000.0
