time,CSIRO-MK3-6-0,NORESM1-M,MPI-ESM-LR,CESM1-CAM5
2000.0,15288590000.0,15288590000.0,15288590000.0,15288590000.0
2001.0,14852137000.0,14852137000.0,14852137000.0,14852137000.0
2002.0,14815541000.0,14815541000.0,14815541000.0,14815541000.0
2003.0,14721456000.0,14721456000.0,14721456000.0,14721456000.0
2004.0,14667106000.0,14667106000.0,14667106000.0,14667106000.0
2005.0,14655058000.0,14655058000.0,14655058000.0,14655058000.0
2006.0,14733586000.0,14733586000.0,14733586000.0,14733586000.0
2007.0,14602313000.0,14602313000.0,14602313000.0,14602313000.0
2008.0,14936216000.0,14936216000.0,14936216000.0,14936216000.0
2009.0,14711724000.0,14711724000.0,14711724000.0,14711724000.0
2010.0,14575500000.0,14575500000.0,14575500000.0,14575500000.0
2011.0,14596283000.0,14596283000.0,14596283000.0,14596283000.0
2012.0,14631240000.0,14631240000.0,14631240000.0,14631240000.0
2013.0,14518057000.0,14518057000.0,14518057000.0,14518057000.0
2014.0,14325532000.0,14325532000.0,14325532000.0,14325532000.0
2015.0,14255470000.0,14255470000.0,14255470000.0,14255470000.0
2016.0,14158819000.0,14158819000.0,14158819000.0,14158819000.0
2017.0,14112299000.0,14112299000.0,14112299000.0,14112299000.0
2018.0,14035831000.0,14035831000.0,14035831000.0,14035831000.0
2019.0,13963822000.0,13963822000.0,13963822000.0,13963822000.0
2020.0,13873392000.0,13873392000.0,13873392000.0,13873392000.0
2021.0,13760700000.0,14098394000.0,13802535000.0,13770401000.0
2022.0,13702630000.0,13730924000.0,13683091000.0,13719563000.0
2023.0,13546408000.0,13631923000.0,13592876000.0,13628638000.0
2024.0,13635140000.0,13501598000.0,13505584000.0,13619338000.0
2025.0,13437058000.0,13380136000.0,13389966000.0,13584715000.0
2026.0,13369823000.0,13305737000.0,13311378000.0,13420893000.0
2027.0,13689767000.0,13497090000.0,13187332000.0,13348314000.0
2028.0,13346870000.0,13110804000.0,12993665000.0,13294734000.0
2029.0,13165986000.0,12947220000.0,13015808000.0,13060349000.0
2030.0,12956399000.0,12828893000.0,12803024000.0,12896860000.0
2031.0,12908878000.0,12586381000.0,12665169000.0,12704536000.0
2032.0,12840534000.0,12489219000.0,12524812000.0,12538648000.0
2033.0,12711161000.0,12265830000.0,12307797000.0,12493075000.0
2034.0,12526703000.0,12049147000.0,12144100000.0,12184820000.0
2035.0,12362548000.0,11838789000.0,11891908000.0,11957765000.0
