time,CSIRO-MK3-6-0,MPI-ESM-LR,CCSM4
2000.0,15288590000.0,15288590000.0,15288590000.0
2001.0,14852137000.0,14852137000.0,14852137000.0
2002.0,14815541000.0,14815541000.0,14815541000.0
2003.0,14721456000.0,14721456000.0,14721456000.0
2004.0,14667106000.0,14667106000.0,14667106000.0
2005.0,14655058000.0,14655058000.0,14655058000.0
2006.0,14733586000.0,14733586000.0,14733586000.0
2007.0,14602313000.0,14602313000.0,14602313000.0
2008.0,14936216000.0,14936216000.0,14936216000.0
2009.0,14711724000.0,14711724000.0,14711724000.0
2010.0,14575500000.0,14575500000.0,14575500000.0
2011.0,14596283000.0,14596283000.0,14596283000.0
2012.0,14631240000.0,14631240000.0,14631240000.0
2013.0,14518057000.0,14518057000.0,14518057000.0
2014.0,14325532000.0,14325532000.0,14325532000.0
2015.0,14255470000.0,14255470000.0,14255470000.0
2016.0,14158819000.0,14158819000.0,14158819000.0
2017.0,14112299000.0,14112299000.0,14112299000.0
2018.0,14035831000.0,14035831000.0,14035831000.0
2019.0,13963822000.0,13963822000.0,13963822000.0
2020.0,13873392000.0,13873392000.0,13873392000.0
2021.0,13809288000.0,13766209000.0,13795324000.0
2022.0,13833718000.0,13634580000.0,13735007000.0
2023.0,14121470000.0,13525506000.0,13561978000.0
2024.0,13848754000.0,13454414000.0,13237323000.0
2025.0,13649914000.0,13385813000.0,13114664000.0
2026.0,13463005000.0,13282941000.0,12880714000.0
2027.0,13505679000.0,13121704000.0,12544853000.0
2028.0,13329698000.0,13018566000.0,12408602000.0
2029.0,13121288000.0,13077199000.0,12055626000.0
2030.0,13008873000.0,13221429000.0,11684207000.0
2031.0,12856399000.0,12983974000.0,11555678000.0
2032.0,12678041000.0,13180361000.0,11227505000.0
2033.0,12601820000.0,12716330000.0,10814546000.0
2034.0,12486235000.0,12638874000.0,10378426000.0
2035.0,12353127000.0,12297504000.0,10032104000.0
2036.0,12329920000.0,12204642000.0,9497550000.0
2037.0,12102327000.0,12011706000.0,9226636000.0
2038.0,11852453000.0,11769244000.0,8828369000.0
2039.0,11746004000.0,11679334000.0,8353438700.0
2040.0,11478951000.0,11505304000.0,8086247400.0
2041.0,11213719000.0,11318029000.0,7758569500.0
2042.0,10918366000.0,11104408000.0,7488797700.0
2043.0,10699806000.0,10876713000.0,7216151000.0
2044.0,10459543000.0,10608264000.0,6871809000.0
2045.0,10330644000.0,10413166000.0,6530861000.0
2046.0,9933395000.0,10335710000.0,6155209000.0
2047.0,9544818000.0,9989318000.0,6094895600.0
2048.0,9226309000.0,9787991000.0,5817961500.0
