time,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,MPI-ESM1-2-HR,EC-EARTH3,CESM2,INM-CM4-8,INM-CM5-0,NORESM2-MM,CANESM5,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR,ACCESS-CM2,IPSL-CM6A-LR,EC-EARTH3-VEG,ACCESS-ESM1-5
2000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0
2001.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0
2002.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0
2003.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0
2004.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0
2005.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0
2006.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0
2007.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0
2008.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0
2009.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0
2010.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0
2011.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0
2012.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0
2013.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0
2014.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0
2015.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0
2016.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0
2017.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0
2018.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0
2019.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0
2020.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0
2021.0,89037050000.0,88925520000.0,88819196000.0,89007450000.0,89048826000.0,88984330000.0,89327436000.0,89095710000.0,88969080000.0,88989360000.0,91092574000.0,89037150000.0,89155920000.0,89036980000.0,89258460000.0,89433220000.0,89155590000.0
