time,EC-EARTH3-VEG,GFDL-ESM4,MRI-ESM2-0,CAMS-CSM1-0
2000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0
2001.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0
2002.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0
2003.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0
2004.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0
2005.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0
2006.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0
2007.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0
2008.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0
2009.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0
2010.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0
2011.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0
2012.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0
2013.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0
2014.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0
2015.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0
2016.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0
2017.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0
2018.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0
2019.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0
2020.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0
2021.0,88855970000.0,89088800000.0,89113350000.0,89097840000.0
2022.0,88942190000.0,89187690000.0,89061155000.0,89074426000.0
2023.0,88913650000.0,88704690000.0,88587256000.0,89275060000.0
2024.0,88444790000.0,88826870000.0,88377205000.0,88936145000.0
2025.0,88277840000.0,88722880000.0,88194080000.0,88648020000.0
2026.0,88030080000.0,88549106000.0,89233120000.0,88643174000.0
2027.0,88067180000.0,88655570000.0,88159290000.0,88720070000.0
2028.0,87807680000.0,88119820000.0,87858410000.0,88368220000.0
2029.0,87664970000.0,87904305000.0,87638480000.0,88223080000.0
2030.0,87418870000.0,87722690000.0,87453565000.0,88459420000.0
2031.0,87243010000.0,87611160000.0,87177310000.0,88095110000.0
2032.0,87352885000.0,87766230000.0,86997190000.0,87912750000.0
2033.0,86895346000.0,87710340000.0,86769320000.0,88422860000.0
2034.0,86594760000.0,86978530000.0,86575964000.0,88601120000.0
2035.0,86274335000.0,86793495000.0,86358690000.0,88497210000.0
2036.0,86250830000.0,86555090000.0,85934465000.0,87780480000.0
2037.0,85999124000.0,86679050000.0,86239805000.0,87726380000.0
2038.0,85656480000.0,86108815000.0,85380560000.0,87310690000.0
2039.0,85815760000.0,86455180000.0,85017354000.0,87160420000.0
2040.0,85249330000.0,85732295000.0,84585200000.0,87341154000.0
2041.0,84876394000.0,85568870000.0,84282155000.0,87081060000.0
2042.0,84474085000.0,85252270000.0,84338120000.0,86590260000.0
2043.0,84790490000.0,84952920000.0,83576850000.0,86725485000.0
2044.0,85022810000.0,84737155000.0,83262560000.0,86388834000.0
2045.0,84242650000.0,84779090000.0,83319670000.0,87529790000.0
2046.0,84277040000.0,84273100000.0,82813680000.0,86225720000.0
2047.0,83728480000.0,84312154000.0,82451970000.0,86061120000.0
2048.0,83608680000.0,83724345000.0,81991310000.0,86003970000.0
2049.0,83245590000.0,83415650000.0,82388340000.0,85836310000.0
2050.0,83353400000.0,84573540000.0,81586970000.0,85394090000.0
2051.0,83671340000.0,83657564000.0,81628684000.0,85247840000.0
2052.0,82917970000.0,83382150000.0,80886880000.0,85170050000.0
2053.0,82812120000.0,83046530000.0,80319480000.0,85052195000.0
2054.0,82306270000.0,82669400000.0,79967380000.0,84781240000.0
2055.0,82213280000.0,82154406000.0,79639044000.0,84791770000.0
2056.0,81518850000.0,82357640000.0,79233660000.0,84562305000.0
2057.0,81498120000.0,82144800000.0,78939280000.0,84617126000.0
2058.0,80795615000.0,81658070000.0,78430750000.0,84247350000.0
2059.0,80351230000.0,81332580000.0,78771446000.0,84215270000.0
2060.0,79928074000.0,81262400000.0,77895170000.0,83772050000.0
2061.0,79989000000.0,81291300000.0,80691920000.0,83991220000.0
2062.0,80374480000.0,80458110000.0,79222096000.0,83694770000.0
2063.0,79221740000.0,80082730000.0,77203500000.0,83275810000.0
2064.0,79176870000.0,80118910000.0,79465160000.0,83348920000.0
2065.0,78641120000.0,79764860000.0,77431020000.0,83751510000.0
2066.0,78343060000.0,79296290000.0,77678480000.0,83016030000.0
2067.0,78457040000.0,79605100000.0,77281750000.0,83891540000.0
2068.0,78122930000.0,79326330000.0,76940410000.0,82760620000.0
2069.0,77447520000.0,78942490000.0,77940350000.0,82819240000.0
2070.0,77253580000.0,79395490000.0,76062590000.0,82611300000.0
2071.0,76685060000.0,78936730000.0,77506020000.0,82339830000.0
2072.0,77925020000.0,78737910000.0,75734030000.0,82022195000.0
2073.0,76368626000.0,77944880000.0,75300270000.0,81800000000.0
2074.0,75958350000.0,77626565000.0,75004750000.0,81665080000.0
2075.0,75679220000.0,78762590000.0,75183825000.0,81762050000.0
2076.0,75349710000.0,77459880000.0,74679600000.0,81081750000.0
2077.0,74951920000.0,77074770000.0,74608600000.0,81338110000.0
2078.0,74624390000.0,76786960000.0,74515500000.0,81045050000.0
2079.0,74219270000.0,76697846000.0,75967710000.0,81220560000.0
2080.0,73945784000.0,76606290000.0,74364550000.0,80844640000.0
2081.0,73505740000.0,76585886000.0,73468510000.0,81689210000.0
2082.0,73362194000.0,77137320000.0,73153765000.0,81549476000.0
2083.0,73198910000.0,77725336000.0,73356560000.0,81020030000.0
2084.0,72726070000.0,76116080000.0,72999985000.0,80439200000.0
2085.0,72924380000.0,77275620000.0,72488620000.0,79992050000.0
2086.0,72305476000.0,75720460000.0,72295880000.0,79920650000.0
2087.0,71695670000.0,80048840000.0,73062460000.0,79779370000.0
