time,MPI-ESM1-2-HR,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4
2000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0
2001.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0
2002.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0
2003.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0
2004.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0
2005.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0
2006.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0
2007.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0
2008.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0
2009.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0
2010.0,10079232000.0,10079232000.0,10079232000.0,10079232000.0,10079232000.0
2011.0,10073507000.0,10073507000.0,10073507000.0,10073507000.0,10073507000.0
2012.0,10074919000.0,10074919000.0,10074919000.0,10074919000.0,10074919000.0
2013.0,10072101000.0,10072101000.0,10072101000.0,10072101000.0,10072101000.0
2014.0,10068347000.0,10068347000.0,10068347000.0,10068347000.0,10068347000.0
2015.0,10063784000.0,10063784000.0,10063784000.0,10063784000.0,10063784000.0
2016.0,10063523000.0,10063523000.0,10063523000.0,10063523000.0,10063523000.0
2017.0,10058212000.0,10058212000.0,10058212000.0,10058212000.0,10058212000.0
2018.0,10052543000.0,10052543000.0,10052543000.0,10052543000.0,10052543000.0
2019.0,10050993000.0,10050993000.0,10050993000.0,10050993000.0,10050993000.0
2020.0,10044886000.0,10044886000.0,10044886000.0,10044886000.0,10044886000.0
2021.0,10050607000.0,10037033000.0,10041589000.0,10035753000.0,10040933000.0
2022.0,10042097000.0,10028884000.0,10035267000.0,10023551000.0,10035462000.0
2023.0,10035856000.0,10023098000.0,10030522000.0,10013176000.0,10031507000.0
2024.0,10038462000.0,10008827000.0,10026171000.0,10003409000.0,10027054000.0
2025.0,10026223000.0,9998797000.0,10020113000.0,10002765000.0,10021935000.0
2026.0,10022335000.0,9989832000.0,10016354000.0,9987451000.0,10017892000.0
2027.0,10022019000.0,9972583000.0,10015488000.0,9971539000.0,10016732000.0
2028.0,10009339000.0,9957963000.0,10005112000.0,9946182000.0,10006526000.0
2029.0,9998651000.0,9932790000.0,9990424000.0,9920549000.0,9996899000.0
2030.0,9986677000.0,9909892000.0,9972657000.0,9899600000.0,9982412000.0
2031.0,9973052000.0,9892548000.0,9963206000.0,9878071000.0,9971663000.0
2032.0,9960446000.0,9849339000.0,9952078000.0,9860000000.0,9957485000.0
2033.0,9957772000.0,9811941000.0,9946786000.0,9838011000.0,9956897000.0
2034.0,9953572000.0,9779459000.0,9924183000.0,9795185000.0,9950342000.0
2035.0,9928120000.0,9730129000.0,9914292000.0,9758877000.0,9942660000.0
2036.0,9921024000.0,9700065000.0,9903975000.0,9710435000.0,9920297000.0
2037.0,9912710000.0,9655770000.0,9889290000.0,9658911000.0,9915550000.0
2038.0,9897226000.0,9589738000.0,9871670000.0,9616022000.0,9904185000.0
2039.0,9880908000.0,9518937000.0,9859215000.0,9580302000.0,9894342000.0
2040.0,9863520000.0,9460216000.0,9836273000.0,9511054000.0,9876170000.0
2041.0,9836811000.0,9414444000.0,9803725000.0,9455325000.0,9860209000.0
2042.0,9813462000.0,9342170000.0,9789800000.0,9387702000.0,9846155000.0
2043.0,9798175000.0,9219255000.0,9760993000.0,9316205000.0,9821815000.0
2044.0,9786408000.0,9098556000.0,9744563000.0,9241003000.0,9807972000.0
2045.0,9757474000.0,8965168000.0,9704769000.0,9179829000.0,9780502000.0
2046.0,9747518000.0,8864306000.0,9671841000.0,9107102000.0,9765680000.0
2047.0,9731308000.0,8744007000.0,9634340000.0,9013249000.0,9735142000.0
2048.0,9709921000.0,8581738000.0,9581756000.0,8889906000.0,9717417000.0
2049.0,9696765000.0,8414532600.0,9522723000.0,8830069000.0,9704229000.0
2050.0,9673785000.0,8303671000.0,9489053000.0,8765983000.0,9675972000.0
2051.0,9642965000.0,8197880300.0,9451194000.0,8669749000.0,9647574000.0
2052.0,9617554000.0,8069368300.0,9397924000.0,8596372000.0,9630655000.0
2053.0,9562691000.0,7882706400.0,9330361000.0,8507907600.0,9594328000.0
2054.0,9533985000.0,7779964000.0,9275680000.0,8448919000.0,9559933000.0
2055.0,9503372000.0,7659993000.0,9199023000.0,8375328000.0,9520258000.0
2056.0,9469428000.0,7551145500.0,9163369000.0,8326356000.0,9467339000.0
2057.0,9426978000.0,7390967300.0,9096084000.0,8234737000.0,9434737000.0
2058.0,9380209000.0,7302882000.0,9003481000.0,8185675300.0,9390499000.0
2059.0,9353588000.0,7204017700.0,8946686000.0,8113838600.0,9315551000.0
2060.0,9289952000.0,7092863000.0,8899729000.0,8065532000.0,9261243000.0
2061.0,9242534000.0,6938332700.0,8818116000.0,7953533000.0,9218206000.0
2062.0,9192428000.0,6831345700.0,8765071000.0,7854937600.0,9157143000.0
2063.0,9140760000.0,6694356000.0,8696551000.0,7795942400.0,9047536000.0
2064.0,9083251000.0,6557894000.0,8637580000.0,7721249000.0,8976754000.0
2065.0,9051718000.0,6427180500.0,8551405600.0,7654205000.0,8932297000.0
2066.0,8999943000.0,6274454000.0,8531360000.0,7600296000.0,8854541000.0
2067.0,8932909000.0,6111920600.0,8498998000.0,7558021000.0,8794340000.0
2068.0,8892261000.0,5992994000.0,8394583600.0,7465737700.0,8753934000.0
2069.0,8824386000.0,5877352000.0,8337869300.0,7377515000.0,8673399000.0
2070.0,8782393000.0,5722028000.0,8275675600.0,7308375600.0,8614989000.0
2071.0,8723321000.0,5602128000.0,8208838000.0,7218860500.0,8565205500.0
2072.0,8679291000.0,5493269500.0,8144735000.0,7149716500.0,8491341300.0
2073.0,8649303000.0,5352556500.0,8054210600.0,7084292600.0,8444850700.0
2074.0,8600779000.0,5265118000.0,7989058600.0,7011706000.0,8373288000.0
2075.0,8558073300.0,5138500600.0,7913699300.0,6992646700.0,8302659000.0
2076.0,8543459300.0,5027813000.0,7827665000.0,6921603600.0,8229913000.0
2077.0,8479506400.0,4928850400.0,7748806700.0,6870432000.0,8183947000.0
2078.0,8442438000.0,4819607000.0,7657716000.0,6823662000.0,8118546000.0
2079.0,8410381000.0,4759422000.0,7573530000.0,6797120000.0,8073979000.0
2080.0,8359732000.0,4633750500.0,7519897600.0,6732308000.0,8018045400.0
2081.0,8336731000.0,4522018300.0,7463051300.0,6701964300.0,7941482000.0
2082.0,8307676700.0,4399361500.0,7377296400.0,6644321300.0,7874459000.0
2083.0,8271578600.0,4263094300.0,7279056400.0,6604065000.0,7813360000.0
2084.0,8208697300.0,4145036300.0,7214724000.0,6551012400.0,7759363000.0
2085.0,8177554400.0,4055543000.0,7140603000.0,6510459400.0,7720646000.0
2086.0,8131653000.0,3947195100.0,7062447000.0,6478588400.0,7638098400.0
2087.0,8073303000.0,3838884600.0,6966793000.0,6426913300.0,7569658400.0
2088.0,8002653700.0,3712114000.0,6859458000.0,6380629000.0,7484028000.0
2089.0,7970730000.0,3617047300.0,6712529400.0,6330832000.0,7401393700.0
2090.0,7908572000.0,3463500800.0,6590751000.0,6273954000.0,7356652500.0
2091.0,7864097000.0,3389228000.0,6482267600.0,6222493700.0,7273491500.0
2092.0,7825215500.0,3289045000.0,6372016600.0,6182346000.0,7216788000.0
2093.0,7717347300.0,3074342400.0,6324429300.0,6119314400.0,7146587600.0
2094.0,7683600400.0,2972179700.0,6228297700.0,6081214500.0,7099663400.0
2095.0,7640680400.0,2750540300.0,6142592500.0,6034766000.0,7032041500.0
2096.0,7587590000.0,2608299800.0,6064607000.0,5982938000.0,6987820500.0
2097.0,7534821000.0,2503438600.0,5964508700.0,5941921300.0,6933833000.0
2098.0,7486510600.0,2342497000.0,5909564400.0,5899000000.0,6856548000.0
2099.0,7422339600.0,2224811500.0,5803310600.0,5835564500.0,6799560700.0
2100.0,7392263000.0,2095709700.0,5690897000.0,5780140000.0,6734360000.0
