time,IPSL-CM6A-LR,UKESM1-0-LL,MPI-ESM1-2-HR,MRI-ESM2-0,GFDL-ESM4
2000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0
2001.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0
2002.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0
2003.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0
2004.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0
2005.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0
2006.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0
2007.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0
2008.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0
2009.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0
2010.0,10079232000.0,10079232000.0,10079232000.0,10079232000.0,10079232000.0
2011.0,10073507000.0,10073507000.0,10073507000.0,10073507000.0,10073507000.0
2012.0,10074919000.0,10074919000.0,10074919000.0,10074919000.0,10074919000.0
2013.0,10072101000.0,10072101000.0,10072101000.0,10072101000.0,10072101000.0
2014.0,10068347000.0,10068347000.0,10068347000.0,10068347000.0,10068347000.0
2015.0,10063784000.0,10063784000.0,10063784000.0,10063784000.0,10063784000.0
2016.0,10063523000.0,10063523000.0,10063523000.0,10063523000.0,10063523000.0
2017.0,10058212000.0,10058212000.0,10058212000.0,10058212000.0,10058212000.0
2018.0,10052543000.0,10052543000.0,10052543000.0,10052543000.0,10052543000.0
2019.0,10050993000.0,10050993000.0,10050993000.0,10050993000.0,10050993000.0
2020.0,10044886000.0,10044886000.0,10044886000.0,10044886000.0,10044886000.0
2021.0,10041417000.0,10038019000.0,10040946000.0,10036972000.0,10040119000.0
2022.0,10037876000.0,10029964000.0,10033260000.0,10026375000.0,10033458000.0
2023.0,10034633000.0,10021584000.0,10030321000.0,10016700000.0,10028947000.0
2024.0,10036699000.0,10009910000.0,10026443000.0,10012936000.0,10025779000.0
2025.0,10024728000.0,9994845000.0,10021537000.0,10000208000.0,10023273000.0
2026.0,10020684000.0,9981097000.0,10014756000.0,9988052000.0,10019141000.0
2027.0,10018064000.0,9954562000.0,10005091000.0,9969665000.0,10013140000.0
2028.0,10007574000.0,9947132000.0,9989475000.0,9945870000.0,9997348000.0
2029.0,10007510000.0,9915556000.0,9975747000.0,9931270000.0,9988739000.0
2030.0,9993675000.0,9894211000.0,9961409000.0,9915226000.0,9968977000.0
2031.0,9978714000.0,9878246000.0,9949639000.0,9887492000.0,9967735000.0
2032.0,9960524000.0,9834290000.0,9941549000.0,9870159000.0,9951006000.0
2033.0,9949453000.0,9810656000.0,9925718000.0,9847939000.0,9945596000.0
2034.0,9930180000.0,9795976000.0,9915131000.0,9807632000.0,9926309000.0
2035.0,9917297000.0,9763849000.0,9902670000.0,9773811000.0,9910969000.0
2036.0,9904338000.0,9723588000.0,9890537000.0,9742962000.0,9907732000.0
2037.0,9891679000.0,9694151000.0,9874569000.0,9696043000.0,9897661000.0
2038.0,9867595000.0,9656029000.0,9853764000.0,9661620000.0,9872366000.0
2039.0,9856394000.0,9598124000.0,9834172000.0,9615793000.0,9860937000.0
2040.0,9825594000.0,9540471000.0,9809427000.0,9571787000.0,9844707000.0
2041.0,9819770000.0,9491040000.0,9780579000.0,9509241000.0,9816212000.0
2042.0,9795073000.0,9440683000.0,9766447000.0,9453587000.0,9798717000.0
2043.0,9784601000.0,9373986000.0,9747529000.0,9401504000.0,9775934000.0
2044.0,9778364000.0,9294175000.0,9727798000.0,9353539000.0,9760509000.0
2045.0,9754968000.0,9222114000.0,9712302000.0,9318417000.0,9749069000.0
2046.0,9725012000.0,9147163000.0,9688200000.0,9227168000.0,9729840000.0
2047.0,9715260000.0,9021819000.0,9666486000.0,9157094000.0,9707177000.0
2048.0,9682987000.0,8899181000.0,9654684000.0,9078831000.0,9700230000.0
2049.0,9659055000.0,8797193000.0,9629472000.0,8997773000.0,9692446000.0
2050.0,9636249000.0,8686254000.0,9591389000.0,8899229000.0,9672253000.0
2051.0,9612135000.0,8528273400.0,9533591000.0,8868598000.0,9656954000.0
2052.0,9566173000.0,8427408400.0,9511526000.0,8799789000.0,9622528000.0
2053.0,9519309000.0,8352531500.0,9488378000.0,8712785000.0,9606810000.0
2054.0,9493638000.0,8245715000.0,9463241000.0,8654708000.0,9584227000.0
2055.0,9471645000.0,8180064000.0,9414009000.0,8587002400.0,9569538000.0
2056.0,9422099000.0,8099379000.0,9363628000.0,8524273000.0,9535873000.0
2057.0,9362527000.0,7971197000.0,9343556000.0,8490252300.0,9504814000.0
2058.0,9342500000.0,7898300400.0,9322712000.0,8429402600.0,9483980000.0
2059.0,9299438000.0,7796020700.0,9272962000.0,8369204700.0,9475375000.0
2060.0,9232116000.0,7732747000.0,9239819000.0,8330420000.0,9452196000.0
2061.0,9198473000.0,7635358700.0,9194829000.0,8279186000.0,9394189000.0
2062.0,9144724000.0,7550459000.0,9121885000.0,8236715000.0,9365700000.0
2063.0,9088331000.0,7471729700.0,9101601000.0,8183970000.0,9331086000.0
2064.0,9002500000.0,7321401300.0,9068367000.0,8141021000.0,9295897000.0
2065.0,8971352000.0,7244924400.0,9027490000.0,8107641300.0,9265693000.0
2066.0,8914333000.0,7168600600.0,8990941000.0,8045311000.0,9228579000.0
2067.0,8838989000.0,7094140000.0,8969880000.0,7984864000.0,9183466000.0
2068.0,8790546000.0,7009336300.0,8912600000.0,7947895300.0,9153397000.0
2069.0,8755209000.0,6930743000.0,8860051000.0,7891019300.0,9091813000.0
2070.0,8703082000.0,6797175000.0,8825193000.0,7847777000.0,9049698000.0
2071.0,8661540000.0,6727974000.0,8804221000.0,7804205600.0,9029622000.0
2072.0,8619372000.0,6593094000.0,8768080000.0,7760430000.0,8982321000.0
2073.0,8588026400.0,6481350700.0,8737957000.0,7718897000.0,8956092000.0
2074.0,8557916000.0,6379577000.0,8709865000.0,7664614000.0,8919970000.0
2075.0,8506904600.0,6283219500.0,8692088000.0,7639704000.0,8905473000.0
2076.0,8454638600.0,6183759400.0,8675301000.0,7605996000.0,8846674000.0
2077.0,8432374300.0,6056955000.0,8651823000.0,7570256400.0,8826812000.0
2078.0,8384743000.0,5978245600.0,8607596000.0,7551021600.0,8803452000.0
2079.0,8347327000.0,5828823000.0,8571429400.0,7486764000.0,8786514000.0
2080.0,8320848400.0,5685960000.0,8539561000.0,7473380000.0,8772448000.0
2081.0,8267906600.0,5566650400.0,8508555300.0,7448409000.0,8739681000.0
2082.0,8232234000.0,5495605000.0,8495412700.0,7459768000.0,8698115000.0
2083.0,8192124000.0,5384119300.0,8474019000.0,7418894300.0,8675336000.0
2084.0,8150973400.0,5304116000.0,8463002000.0,7419046400.0,8676761000.0
2085.0,8085985000.0,5200818000.0,8417421000.0,7400252400.0,8647197000.0
2086.0,8031709700.0,5108743700.0,8404608000.0,7411869700.0,8617406000.0
2087.0,7999415000.0,5052338000.0,8375857700.0,7382867500.0,8603562000.0
2088.0,7975362600.0,4981889500.0,8351745000.0,7321380000.0,8587768000.0
2089.0,7925436000.0,4942806500.0,8350640000.0,7292319000.0,8550247000.0
2090.0,7860573000.0,4857231000.0,8292259300.0,7266185700.0,8524209000.0
2091.0,7771659300.0,4793479000.0,8268948000.0,7254287400.0,8508759000.0
2092.0,7716763000.0,4699207700.0,8246441500.0,7261920000.0,8476072400.0
2093.0,7687895600.0,4591498000.0,8192916500.0,7238378500.0,8454023700.0
2094.0,7654798300.0,4537794600.0,8186070500.0,7218714600.0,8438914600.0
2095.0,7627965000.0,4417629000.0,8163575000.0,7203831300.0,8407782000.0
2096.0,7576020500.0,4366905000.0,8103225000.0,7243017000.0,8391527400.0
2097.0,7527993300.0,4298979000.0,8085386000.0,7221328400.0,8370541000.0
2098.0,7519504000.0,4236641500.0,8075275300.0,7257729000.0,8360557600.0
2099.0,7489556000.0,4147558100.0,8033215500.0,7204539400.0,8344781000.0
2100.0,7458550300.0,4097561900.0,7989684000.0,7162412000.0,8313847000.0
