time,MRI-ESM2-0,IPSL-CM6A-LR,MPI-ESM1-2-HR,UKESM1-0-LL,GFDL-ESM4
2000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0
2001.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0
2002.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0
2003.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0
2004.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0
2005.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0
2006.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0
2007.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0
2008.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0
2009.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0
2010.0,10079232000.0,10079232000.0,10079232000.0,10079232000.0,10079232000.0
2011.0,10073507000.0,10073507000.0,10073507000.0,10073507000.0,10073507000.0
2012.0,10074919000.0,10074919000.0,10074919000.0,10074919000.0,10074919000.0
2013.0,10072101000.0,10072101000.0,10072101000.0,10072101000.0,10072101000.0
2014.0,10068347000.0,10068347000.0,10068347000.0,10068347000.0,10068347000.0
2015.0,10063784000.0,10063784000.0,10063784000.0,10063784000.0,10063784000.0
2016.0,10063523000.0,10063523000.0,10063523000.0,10063523000.0,10063523000.0
2017.0,10058212000.0,10058212000.0,10058212000.0,10058212000.0,10058212000.0
2018.0,10052543000.0,10052543000.0,10052543000.0,10052543000.0,10052543000.0
2019.0,10050993000.0,10050993000.0,10050993000.0,10050993000.0,10050993000.0
2020.0,10044886000.0,10044886000.0,10044886000.0,10044886000.0,10044886000.0
2021.0,10039939000.0,10040046000.0,10036665000.0,10039533000.0,10041622000.0
2022.0,10033144000.0,10036160000.0,10029296000.0,10032509000.0,10036848000.0
2023.0,10025729000.0,10028999000.0,10025607000.0,10030136000.0,10033668000.0
2024.0,10014436000.0,10026025000.0,10022782000.0,10018769000.0,10028008000.0
2025.0,10005173000.0,10021643000.0,10018008000.0,10012065000.0,10023926000.0
2026.0,9991579000.0,10016243000.0,10016994000.0,10001974000.0,10022924000.0
2027.0,9975081000.0,10010284000.0,10012905000.0,9988194000.0,10016726000.0
2028.0,9959233000.0,10003248000.0,10009052000.0,9967411000.0,10011598000.0
2029.0,9941029000.0,9991452000.0,10001773000.0,9945918000.0,10001032000.0
2030.0,9911263000.0,9977824000.0,9994828000.0,9930539000.0,9994745000.0
2031.0,9889665000.0,9963152000.0,9980319000.0,9908394000.0,9985815000.0
2032.0,9870080000.0,9943780000.0,9966121000.0,9887246000.0,9971756000.0
2033.0,9841230000.0,9933456000.0,9949925000.0,9851369000.0,9957202000.0
2034.0,9801124000.0,9926035000.0,9941933000.0,9821907000.0,9954908000.0
2035.0,9752539000.0,9890191000.0,9932348000.0,9797477000.0,9946742000.0
2036.0,9710940000.0,9881767000.0,9912596000.0,9757868000.0,9928401000.0
2037.0,9670327000.0,9872820000.0,9898487000.0,9733911000.0,9911582000.0
2038.0,9620391000.0,9843155000.0,9883406000.0,9696311000.0,9894857000.0
2039.0,9571624000.0,9832160000.0,9861640000.0,9631557000.0,9873571000.0
2040.0,9512022000.0,9817322000.0,9839802000.0,9581765000.0,9851679000.0
2041.0,9461865000.0,9786923000.0,9817995000.0,9533922000.0,9828419000.0
2042.0,9376340000.0,9770749000.0,9792178000.0,9479565000.0,9800322000.0
2043.0,9319569000.0,9739389000.0,9759428000.0,9442425000.0,9778148000.0
2044.0,9254829000.0,9723784000.0,9730556000.0,9383792000.0,9748498000.0
2045.0,9164678000.0,9680676000.0,9707116000.0,9299591000.0,9737004000.0
2046.0,9087591000.0,9644857000.0,9676537000.0,9197120000.0,9722457000.0
2047.0,8961046000.0,9620160000.0,9657950000.0,9097676000.0,9702323000.0
2048.0,8848895000.0,9575774000.0,9637634000.0,8959370000.0,9682913000.0
2049.0,8787178000.0,9512467000.0,9623604000.0,8812030000.0,9659284000.0
2050.0,8663057000.0,9482855000.0,9579189000.0,8684862000.0,9628752000.0
2051.0,8570872300.0,9424667000.0,9549974000.0,8566881300.0,9605202000.0
2052.0,8465691000.0,9359107000.0,9503730000.0,8422210000.0,9579624000.0
2053.0,8388090400.0,9294036000.0,9463316000.0,8314640000.0,9545310000.0
2054.0,8292515300.0,9182582000.0,9418200000.0,8196482600.0,9521667000.0
2055.0,8249675000.0,9089155000.0,9354518000.0,8114879500.0,9453408000.0
2056.0,8162080300.0,9007248000.0,9314116000.0,7921975300.0,9426565000.0
2057.0,8105409000.0,8898149000.0,9282484000.0,7818055700.0,9369441000.0
2058.0,8017773600.0,8816201000.0,9238082000.0,7694459000.0,9329461000.0
2059.0,7945702000.0,8712241000.0,9210073000.0,7573762000.0,9279796000.0
2060.0,7863677000.0,8650204000.0,9133434000.0,7436336000.0,9233271000.0
2061.0,7749809000.0,8542968000.0,9102995000.0,7305578500.0,9195337000.0
2062.0,7679041500.0,8462370300.0,9051117000.0,7207891000.0,9133645000.0
2063.0,7604383000.0,8360588300.0,8990505000.0,7091500500.0,9067001000.0
2064.0,7548332000.0,8253403600.0,8961665000.0,6926378500.0,9011041000.0
2065.0,7483411500.0,8180645400.0,8900298000.0,6781435400.0,8945869000.0
2066.0,7412825600.0,8089508400.0,8833413000.0,6630483500.0,8901970000.0
2067.0,7302321000.0,8022324000.0,8774783000.0,6421927400.0,8837455000.0
2068.0,7248183000.0,7964165000.0,8710734000.0,6248214000.0,8770947000.0
2069.0,7142041600.0,7876230700.0,8666907000.0,6110814700.0,8710679000.0
2070.0,7044637000.0,7802774000.0,8608572000.0,5883085000.0,8654302000.0
2071.0,6966230500.0,7711682600.0,8578393600.0,5722572300.0,8606248000.0
2072.0,6907972000.0,7618299000.0,8508793300.0,5583227000.0,8551408600.0
2073.0,6853914600.0,7545843000.0,8475485000.0,5455688700.0,8491350500.0
2074.0,6810421000.0,7440534500.0,8400156700.0,5268903000.0,8447076000.0
2075.0,6766005000.0,7343619600.0,8366241300.0,5133676000.0,8411682000.0
2076.0,6706578400.0,7211570000.0,8333824000.0,5018678300.0,8360796000.0
2077.0,6667005400.0,7085528600.0,8282186000.0,4894078500.0,8313909000.0
2078.0,6605137000.0,7000218000.0,8224734700.0,4808585700.0,8270779400.0
2079.0,6554879000.0,6894351400.0,8177945600.0,4701539000.0,8220340000.0
2080.0,6501546500.0,6782117000.0,8137826000.0,4558055400.0,8180213000.0
2081.0,6478148000.0,6644516000.0,8085726700.0,4442763300.0,8111080000.0
2082.0,6398768000.0,6503133000.0,8036380700.0,4260214300.0,8072818000.0
2083.0,6351115000.0,6366894000.0,7946786300.0,4097180200.0,8026780700.0
2084.0,6301350400.0,6251618000.0,7892311000.0,4013373700.0,7980644400.0
2085.0,6288877000.0,6125460000.0,7853581300.0,3905273900.0,7906335000.0
2086.0,6206521000.0,6063268400.0,7809461000.0,3740019500.0,7841280000.0
2087.0,6169791000.0,5930935000.0,7752743000.0,3497578500.0,7790187000.0
2088.0,6092002000.0,5856883000.0,7680226000.0,3375039000.0,7757203000.0
2089.0,6020495000.0,5751533000.0,7620945000.0,3255880700.0,7701949000.0
2090.0,5956219400.0,5643816400.0,7579323400.0,3045756000.0,7673693000.0
2091.0,5925079000.0,5537903000.0,7512753000.0,2896506400.0,7589949000.0
2092.0,5841606000.0,5421103000.0,7452355600.0,2718043600.0,7537708000.0
2093.0,5788142000.0,5297987600.0,7395161600.0,2469476000.0,7476366300.0
2094.0,5759302000.0,5197909000.0,7351252000.0,2307948300.0,7404541000.0
2095.0,5690021000.0,5094400000.0,7309561000.0,2112000100.0,7372962300.0
2096.0,5637189600.0,4996596700.0,7256963600.0,1996757800.0,7322420000.0
2097.0,5593508000.0,4905592300.0,7213464600.0,1854501800.0,7257664000.0
2098.0,5516603000.0,4810060000.0,7163122000.0,1682510500.0,7184709600.0
2099.0,5495505400.0,4723804700.0,7120601600.0,1590728200.0,7086675500.0
2100.0,5433715000.0,4610542000.0,7029209600.0,1497248400.0,7021242400.0
