time,CCSM4,MPI-ESM-LR,CSIRO-MK3-6-0
2000.0,3646099600000.0,3646099600000.0,3646099600000.0
2001.0,3630449600000.0,3630449600000.0,3630449600000.0
2002.0,3619795200000.0,3619795200000.0,3619795200000.0
2003.0,3617222000000.0,3617222000000.0,3617222000000.0
2004.0,3606108000000.0,3606108000000.0,3606108000000.0
2005.0,3592676700000.0,3592676700000.0,3592676700000.0
2006.0,3585865000000.0,3585865000000.0,3585865000000.0
2007.0,3578603800000.0,3578603800000.0,3578603800000.0
2008.0,3577170600000.0,3577170600000.0,3577170600000.0
2009.0,3558707000000.0,3558707000000.0,3558707000000.0
2010.0,3553073000000.0,3553073000000.0,3553073000000.0
2011.0,3528993800000.0,3528993800000.0,3528993800000.0
2012.0,3530225400000.0,3530225400000.0,3530225400000.0
2013.0,3529745000000.0,3529745000000.0,3529745000000.0
2014.0,3528008000000.0,3528008000000.0,3528008000000.0
2015.0,3516553500000.0,3516553500000.0,3516553500000.0
2016.0,3514765000000.0,3514765000000.0,3514765000000.0
2017.0,3497463400000.0,3497463400000.0,3497463400000.0
2018.0,3480095800000.0,3480095800000.0,3480095800000.0
2019.0,3475432300000.0,3475432300000.0,3475432300000.0
2020.0,3452667200000.0,3452667200000.0,3452667200000.0
2021.0,3438747300000.0,3444371600000.0,3443742000000.0
2022.0,3424909000000.0,3438484400000.0,3445237700000.0
2023.0,3408178200000.0,3426466000000.0,3446919700000.0
2024.0,3374197200000.0,3412393500000.0,3448728000000.0
2025.0,3361159200000.0,3403600600000.0,3433926000000.0
2026.0,3342434300000.0,3386080000000.0,3431726600000.0
2027.0,3329672600000.0,3370906800000.0,3423930400000.0
2028.0,3326311700000.0,3348575800000.0,3422140500000.0
2029.0,3323391400000.0,3341020600000.0,3420580700000.0
2030.0,3303893600000.0,3327942700000.0,3421080600000.0
2031.0,3288747700000.0,3309795300000.0,3415387100000.0
2032.0,3272131200000.0,3294007100000.0,3410068000000.0
2033.0,3261390000000.0,3286864500000.0,3391499300000.0
2034.0,3243837800000.0,3267909000000.0,3384317600000.0
2035.0,3213833500000.0,3253755700000.0,3380213700000.0
2036.0,3186805200000.0,3240169600000.0,3367651200000.0
2037.0,3158253500000.0,3235867000000.0,3357132200000.0
2038.0,3128038800000.0,3222089800000.0,3350031000000.0
2039.0,3117164000000.0,3208242300000.0,3340869300000.0
2040.0,3097013300000.0,3188248800000.0,3313527400000.0
2041.0,3078037700000.0,3179681000000.0,3309178700000.0
2042.0,3057177600000.0,3162112000000.0,3298847400000.0
2043.0,3037773200000.0,3147282300000.0,3297594600000.0
2044.0,3008436000000.0,3129491800000.0,3299744400000.0
2045.0,2992828000000.0,3116399000000.0,3279395500000.0
2046.0,2961467800000.0,3098979900000.0,3263190800000.0
2047.0,2933315600000.0,3082878700000.0,3254354000000.0
2048.0,2898136400000.0,3057296600000.0,3238274800000.0
2049.0,2867679500000.0,3052527200000.0,3245085300000.0
2050.0,2833076700000.0,3040673000000.0,3250365000000.0
2051.0,2805160500000.0,3023007400000.0,3239702400000.0
2052.0,2766650200000.0,3009205200000.0,3229133000000.0
2053.0,2733209300000.0,2995658200000.0,3220434600000.0
2054.0,2701461300000.0,2987161000000.0,3198066600000.0
2055.0,2676286800000.0,2971151000000.0,3198808200000.0
2056.0,2638418500000.0,2957431500000.0,3186515800000.0
2057.0,2609371200000.0,2938153700000.0,3188231000000.0
2058.0,2581434700000.0,2930767000000.0,3174631700000.0
2059.0,2555666800000.0,2919158500000.0,3174147600000.0
2060.0,2523132300000.0,2909867300000.0,3177841400000.0
2061.0,2494195000000.0,2896045500000.0,3176743300000.0
2062.0,2462694800000.0,2868338200000.0,3174475800000.0
2063.0,2438229700000.0,2849351400000.0,3170919500000.0
2064.0,2404551000000.0,2827492000000.0,3165978600000.0
2065.0,2371764400000.0,2810044200000.0,3164086000000.0
2066.0,2337064000000.0,2802292600000.0,3161979400000.0
2067.0,2305478000000.0,2790498500000.0,3148413000000.0
2068.0,2267925200000.0,2775307500000.0,3148224000000.0
2069.0,2232382000000.0,2761182700000.0,3140063900000.0
2070.0,2198780000000.0,2746581800000.0,3125648800000.0
2071.0,2151433800000.0,2730559800000.0,3105228000000.0
2072.0,2117811300000.0,2716888500000.0,3093811400000.0
2073.0,2087720000000.0,2701585500000.0,3071221000000.0
2074.0,2058912000000.0,2680423700000.0,3050551600000.0
2075.0,2032335500000.0,2663517000000.0,3039970700000.0
2076.0,2002667600000.0,2645589500000.0,3033314400000.0
2077.0,1974179500000.0,2633516400000.0,3026618400000.0
2078.0,1944011100000.0,2618451300000.0,3024041800000.0
2079.0,1915118300000.0,2607183300000.0,2997684000000.0
2080.0,1880590300000.0,2601221000000.0,2973408200000.0
2081.0,1848402600000.0,2587029100000.0,2964520700000.0
2082.0,1815049900000.0,2579743000000.0,2948201700000.0
2083.0,1780921100000.0,2572241600000.0,2920424700000.0
2084.0,1754202400000.0,2556776000000.0,2902714500000.0
2085.0,1723220200000.0,2541482000000.0,2884959200000.0
2086.0,1695747100000.0,2533223000000.0,2884039900000.0
2087.0,1661234200000.0,2520314300000.0,2868935000000.0
2088.0,1633685000000.0,2507452700000.0,2853498300000.0
2089.0,1601894100000.0,2495277700000.0,2838696800000.0
2090.0,1565809300000.0,2477816800000.0,2807184000000.0
2091.0,1531022100000.0,2467047000000.0,2771695700000.0
2092.0,1495249700000.0,2454215200000.0,2735296000000.0
2093.0,1468841000000.0,2445321000000.0,2702703000000.0
2094.0,1439806300000.0,2428009000000.0,2678031400000.0
2095.0,1403485000000.0,2418268400000.0,2654047000000.0
2096.0,1376341300000.0,2401954200000.0,2624293400000.0
2097.0,1350563800000.0,2393637700000.0,2581941200000.0
2098.0,1330537000000.0,2382159200000.0,2555372000000.0
2099.0,1299660400000.0,2375253500000.0,2541767400000.0
2100.0,1271372800000.0,2365710000000.0,2514929800000.0
2101.0,1251042800000.0,2361779000000.0,2485627000000.0
2102.0,1227563600000.0,2352594000000.0,2462055400000.0
2103.0,1205036400000.0,2350926300000.0,2430939200000.0
