time,MPI-ESM1-2-HR,MRI-ESM2-0,EC-EARTH3,INM-CM4-8,FGOALS-F3-L,BCC-CSM2-MR,EC-EARTH3-VEG,CAMS-CSM1-0,GFDL-ESM4,NORESM2-MM,CESM2-WACCM,INM-CM5-0,CESM2
2000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0,2126858000.0
2001.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0,2142676200.0
2002.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0,2132961800.0
2003.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0,2196249900.0
2004.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0,2106638300.0
2005.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0,2100748900.0
2006.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0,2087348900.0
2007.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0,2073936100.0
2008.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0,2076352800.0
2009.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0,2107354100.0
2010.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0,2068434800.0
2011.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0,2084663800.0
