time,IPSL-CM6A-LR,ACCESS-ESM1-5,ACCESS-CM2,CANESM5,MRI-ESM2-0,CESM2-WACCM
2000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0,51748380000.0
2001.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0,51783750000.0
2002.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0,51773190000.0
2003.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0,51771730000.0
2004.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0,51763884000.0
2005.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0,51827556000.0
2006.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0,51748500000.0
2007.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0,51748370000.0
2008.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0,51774497000.0
2009.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0,52287906000.0
2010.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0,51741120000.0
2011.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0,51705917000.0
2012.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0,51734516000.0
2013.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0,51683353000.0
2014.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0,51647316000.0
2015.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0,51662205000.0
2016.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0,51652297000.0
2017.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0,51619873000.0
2018.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0,51619610000.0
2019.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0,51596472000.0
2020.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0,51579904000.0
2021.0,51562103000.0,51568955000.0,51561206000.0,51614487000.0,51566750000.0,51572793000.0
2022.0,51514855000.0,51543855000.0,51537682000.0,51523092000.0,51560047000.0,51560854000.0
2023.0,51496636000.0,51579680000.0,51514140000.0,51685130000.0,51523965000.0,51559760000.0
2024.0,51460207000.0,51540263000.0,51493175000.0,51475620000.0,51507810000.0,51535090000.0
2025.0,51452510000.0,51498136000.0,51488215000.0,51435360000.0,51474022000.0,51538166000.0
2026.0,51423230000.0,51475767000.0,51471016000.0,51369566000.0,51451500000.0,51517874000.0
2027.0,51407524000.0,51436450000.0,51430270000.0,51319180000.0,51436225000.0,51506990000.0
2028.0,51391435000.0,51430404000.0,51414970000.0,51241746000.0,51399430000.0,51609550000.0
2029.0,51365863000.0,51407438000.0,51412873000.0,51167826000.0,51379573000.0,51489290000.0
2030.0,51345293000.0,51386593000.0,51404472000.0,51086467000.0,51358080000.0,51508510000.0
2031.0,51318485000.0,51398066000.0,51411853000.0,50985394000.0,51341816000.0,51484094000.0
2032.0,51296702000.0,51440470000.0,51380900000.0,50962200000.0,51304670000.0,51469304000.0
2033.0,51256205000.0,51358736000.0,51377414000.0,50807505000.0,51274904000.0,51438710000.0
2034.0,51229143000.0,51353494000.0,51374140000.0,50658525000.0,51226657000.0,51541033000.0
2035.0,51195884000.0,51328410000.0,51336995000.0,50471023000.0,51183330000.0,51412130000.0
2036.0,51150377000.0,51310070000.0,51306820000.0,50304020000.0,51131245000.0,51395076000.0
2037.0,51085660000.0,51282567000.0,51272503000.0,50124632000.0,51076800000.0,51382743000.0
2038.0,51015960000.0,51243140000.0,51226997000.0,49897780000.0,51040813000.0,51352175000.0
2039.0,50926617000.0,51226034000.0,51183060000.0,49660002000.0,50962465000.0,51337834000.0
2040.0,50843980000.0,51356586000.0,51148165000.0,49457430000.0,50866557000.0,51272266000.0
2041.0,50769076000.0,51187000000.0,51179676000.0,49206014000.0,50786060000.0,51247874000.0
2042.0,50672878000.0,51153310000.0,51031368000.0,48920970000.0,50744010000.0,51287120000.0
2043.0,50545220000.0,51134270000.0,50995917000.0,48709820000.0,50652553000.0,51199767000.0
2044.0,50432553000.0,51109655000.0,50944220000.0,48469426000.0,50580630000.0,51168880000.0
2045.0,50313093000.0,51100190000.0,50871247000.0,48152674000.0,50503370000.0,51135460000.0
2046.0,50221203000.0,51040383000.0,50821075000.0,47902577000.0,50401206000.0,51123687000.0
2047.0,50111943000.0,51028406000.0,50768183000.0,47641326000.0,50283450000.0,51097820000.0
2048.0,50019440000.0,50990797000.0,50619376000.0,47332143000.0,50160810000.0,51065890000.0
2049.0,49858327000.0,50968457000.0,50495017000.0,46962500000.0,50052727000.0,51059610000.0
2050.0,49687773000.0,50952590000.0,50366517000.0,46579913000.0,49958842000.0,51185230000.0
2051.0,49523573000.0,50925340000.0,50296406000.0,46268793000.0,49867650000.0,51009350000.0
2052.0,49385530000.0,50892550000.0,50170778000.0,45992104000.0,49748435000.0,50970120000.0
2053.0,49199600000.0,50857920000.0,50093707000.0,45681960000.0,49584570000.0,50924020000.0
2054.0,49040060000.0,50784590000.0,50027233000.0,45453492000.0,49488590000.0,50871345000.0
2055.0,48871980000.0,50704510000.0,50015064000.0,45227794000.0,49283355000.0,50846355000.0
2056.0,48725488000.0,50645942000.0,49946567000.0,44999160000.0,49109836000.0,50825570000.0
2057.0,48528140000.0,50596876000.0,49881710000.0,44761540000.0,48974107000.0,50797167000.0
2058.0,48296624000.0,50542550000.0,49833943000.0,44499670000.0,48806162000.0,50739085000.0
2059.0,48116654000.0,50481955000.0,49781190000.0,44169910000.0,48608297000.0,50670910000.0
2060.0,47974695000.0,50429465000.0,49684760000.0,43925197000.0,48443960000.0,50643990000.0
2061.0,47802480000.0,50385666000.0,49604088000.0,43686520000.0,48285856000.0,50569413000.0
2062.0,47608770000.0,50375782000.0,49508336000.0,43421120000.0,48133607000.0,50526003000.0
2063.0,47407985000.0,50384085000.0,49394057000.0,43153640000.0,47951192000.0,50503434000.0
2064.0,47237500000.0,50269990000.0,49342220000.0,42935710000.0,47691383000.0,50422907000.0
2065.0,47051973000.0,50233246000.0,49242747000.0,42680350000.0,47519030000.0,50369487000.0
2066.0,46906120000.0,50215610000.0,49108316000.0,42425324000.0,47243174000.0,50310164000.0
2067.0,46756733000.0,50090918000.0,49024418000.0,42119766000.0,47010840000.0,50270850000.0
2068.0,46552252000.0,49990030000.0,48931660000.0,41904490000.0,46814280000.0,50202477000.0
2069.0,46440180000.0,49850800000.0,48811053000.0,41707565000.0,46584780000.0,50128270000.0
