time,GFDL-ESM4,MPI-ESM1-2-HR,NORESM2-MM,CANESM5,BCC-CSM2-MR,IPSL-CM6A-LR,FGOALS-F3-L,ACCESS-CM2,CESM2,EC-EARTH3-VEG,MRI-ESM2-0,ACCESS-ESM1-5,EC-EARTH3,CESM2-WACCM,CAMS-CSM1-0,INM-CM5-0,INM-CM4-8
2000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0
2001.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0
2002.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0
2003.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0
2004.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0
2005.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0
2006.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0
2007.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0
2008.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0
2009.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0
2010.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0
2011.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0
2012.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0
2013.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0
2014.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0
2015.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0
2016.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0
2017.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0
2018.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0
2019.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0
2020.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0
2021.0,10983969000.0,10985618000.0,11072857000.0,10976531000.0,10982262000.0,10986630000.0,10985382000.0,10980328000.0,10980112000.0,10986555000.0,10979171000.0,11073926000.0,10980505000.0,10985836000.0,10980765000.0,10986640000.0,10981379000.0
2022.0,10973945000.0,10971771000.0,10996404000.0,10959629000.0,10983778000.0,10984058000.0,10982992000.0,10966836000.0,10970325000.0,10977720000.0,10963580000.0,11003081000.0,10968662000.0,10977038000.0,10984404000.0,10980266000.0,10974344000.0
2023.0,10967933000.0,10966584000.0,10992527000.0,10942233000.0,10972129000.0,10978291000.0,10966234000.0,10958476000.0,10998455000.0,10966019000.0,10948427000.0,10988662000.0,10954118000.0,10968240000.0,10956758000.0,10972624000.0,10991240000.0
2024.0,10970362000.0,10958346000.0,10979752000.0,10926099000.0,10965976000.0,10984251000.0,10959795000.0,10948062000.0,10956398000.0,10956676000.0,10950094000.0,10970385000.0,10935286000.0,10955401000.0,10943798000.0,10956663000.0,10985940000.0
2025.0,10964833000.0,10947857000.0,10968807000.0,10906847000.0,10958087000.0,10962869000.0,10952803000.0,10940598000.0,10947580000.0,10943111000.0,10924865000.0,10964890000.0,10921802000.0,10944532000.0,10925027000.0,10938318000.0,10969802000.0
2026.0,10951669000.0,10935381000.0,10959668000.0,10891946000.0,10948028000.0,10959379000.0,10942340000.0,10965223000.0,10942653000.0,10937010000.0,10907045000.0,10952208000.0,10901598000.0,10931704000.0,10897753000.0,10925412000.0,10959052000.0
2027.0,10942254000.0,10918795000.0,10956882000.0,10865823000.0,10936844000.0,10957211000.0,10942593000.0,10939229000.0,10928289000.0,10921011000.0,10882228000.0,10952904000.0,10877625000.0,10918376000.0,10860630000.0,10899430000.0,10953385000.0
2028.0,10918525000.0,10894758000.0,10947071000.0,10832051000.0,10925317000.0,10936344000.0,10911048000.0,10914819000.0,10996824000.0,10898189000.0,10860300000.0,10988896000.0,10852741000.0,10901409000.0,10838234000.0,10876706000.0,10930931000.0
2029.0,10906081000.0,10880397000.0,10929641000.0,10796670000.0,10908201000.0,10943585000.0,10895558000.0,10903471000.0,10918550000.0,10884182000.0,10827004000.0,10957101000.0,10807700000.0,10892902000.0,10786271000.0,10841905000.0,10933788000.0
2030.0,10884333000.0,10850513000.0,10910779000.0,10764458000.0,10883938000.0,10915064000.0,10874556000.0,10875120000.0,10892951000.0,10858533000.0,10803854000.0,10952610000.0,10769841000.0,10865960000.0,10750226000.0,10805413000.0,10907777000.0
2031.0,10885311000.0,10829048000.0,10890925000.0,10711961000.0,10861537000.0,10902778000.0,10851238000.0,10848121000.0,10871953000.0,10838467000.0,10778753000.0,10918086000.0,10736395000.0,10846260000.0,10716132000.0,10781220000.0,10985744000.0
2032.0,10860198000.0,10819835000.0,10874786000.0,10660296000.0,10838716000.0,10878510000.0,10844982000.0,10826323000.0,10856319000.0,10818941000.0,10736327000.0,10928780000.0,10685254000.0,10824999000.0,10667036000.0,10730874000.0,10914516000.0
2033.0,10844704000.0,10791231000.0,10874948000.0,10602071000.0,10825790000.0,10858717000.0,10812833000.0,10810611000.0,10845137000.0,10797793000.0,10696576000.0,10898140000.0,10635623000.0,10800984000.0,10634736000.0,10693887000.0,10912772000.0
2034.0,10827851000.0,10768317000.0,10856577000.0,10546643000.0,10790938000.0,10838666000.0,10794968000.0,10784599000.0,10813671000.0,10765374000.0,10669418000.0,10893516000.0,10565991000.0,10799064000.0,10584218000.0,10648449000.0,10886146000.0
2035.0,10802684000.0,10739782000.0,10833519000.0,10490116000.0,10771087000.0,10818401000.0,10782728000.0,10768429000.0,10798432000.0,10746355000.0,10615054000.0,10891957000.0,10524424000.0,10768118000.0,10550036000.0,10613494000.0,10868329000.0
2036.0,10808370000.0,10709422000.0,10829711000.0,10425529000.0,10750441000.0,10794912000.0,10753261000.0,10748946000.0,10784904000.0,10712102000.0,10576987000.0,10888810000.0,10469441000.0,10748676000.0,10505572000.0,10560301000.0,10850372000.0
2037.0,10781346000.0,10686042000.0,10816968000.0,10341322000.0,10726568000.0,10767437000.0,10733569000.0,10724524000.0,10758987000.0,10672931000.0,10528335000.0,10884807000.0,10401309000.0,10714834000.0,10464402000.0,10520365000.0,10828607000.0
