time,CESM2-WACCM,CAMS-CSM1-0,INM-CM5-0,INM-CM4-8,EC-EARTH3,EC-EARTH3-VEG,MRI-ESM2-0,CESM2,BCC-CSM2-MR,FGOALS-F3-L,GFDL-ESM4,MPI-ESM1-2-HR,NORESM2-MM
2000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0
2001.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0
2002.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0
2003.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0
2004.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0
2005.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0
2006.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0
2007.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0
2008.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0
2009.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0
2010.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0
2011.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0
2012.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0
2013.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0
2014.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0
2015.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0
2016.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0
2017.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0
2018.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0
2019.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0
2020.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0
2021.0,10989591000.0,10985229000.0,10983412000.0,10985250000.0,10981848000.0,10989471000.0,10978957000.0,10986869000.0,10987715000.0,11011240000.0,10984607000.0,11000081000.0,10992840000.0
2022.0,10987280000.0,10977417000.0,10973664000.0,10978289000.0,10968615000.0,10977741000.0,10962556000.0,10973340000.0,10980836000.0,10985386000.0,10975404000.0,10984621000.0,10985385000.0
2023.0,10996755000.0,10966581000.0,10962628000.0,10968769000.0,10954503000.0,10974251000.0,10948567000.0,10965078000.0,10976242000.0,10983789000.0,10969378000.0,10974283000.0,10977645000.0
2024.0,10980200000.0,10955849000.0,10950458000.0,10958008000.0,10939526000.0,10970712000.0,10935495000.0,10962870000.0,10993631000.0,10974479000.0,10964832000.0,11003412000.0,10976116000.0
2025.0,10969466000.0,10944568000.0,10934783000.0,10960295000.0,10921979000.0,10962131000.0,10953258000.0,10949386000.0,10965011000.0,10965734000.0,10953092000.0,10955397000.0,10996425000.0
2026.0,10973149000.0,10922802000.0,10934794000.0,10958736000.0,10897818000.0,10952139000.0,10917254000.0,10957566000.0,10953357000.0,10960177000.0,10946063000.0,10946417000.0,10981798000.0
2027.0,11003912000.0,10894645000.0,10909972000.0,10957696000.0,10873554000.0,10938477000.0,10891448000.0,10935960000.0,10940385000.0,10951523000.0,10979572000.0,10945861000.0,10978435000.0
2028.0,10971937000.0,10868455000.0,10886513000.0,10950155000.0,10855209000.0,10923666000.0,10873450000.0,10916487000.0,10912828000.0,10947796000.0,10924179000.0,10918840000.0,10960815000.0
2029.0,10952246000.0,10829025000.0,10852681000.0,10941087000.0,10826528000.0,10929364000.0,10832798000.0,10905127000.0,10906691000.0,10931415000.0,10920058000.0,10903969000.0,10944979000.0
2030.0,10957693000.0,10795506000.0,10830188000.0,10927830000.0,10797863000.0,10901589000.0,10803286000.0,10878177000.0,10879034000.0,10947246000.0,10896592000.0,10880693000.0,10938502000.0
2031.0,10922258000.0,10756773000.0,10797857000.0,10902791000.0,10769076000.0,10881526000.0,10772899000.0,10855547000.0,10858291000.0,10941644000.0,10886073000.0,10868513000.0,10938093000.0
2032.0,10915234000.0,10713330000.0,10771798000.0,10891562000.0,10744060000.0,10857551000.0,10746943000.0,10840943000.0,10847649000.0,10911119000.0,10868202000.0,10846812000.0,10917032000.0
2033.0,10995753000.0,10679875000.0,10713125000.0,10879001000.0,10706612000.0,10843437000.0,10713164000.0,10824563000.0,10822257000.0,10888232000.0,10869601000.0,10834541000.0,10924996000.0
2034.0,10906341000.0,10642204000.0,10664061000.0,10872048000.0,10663257000.0,10830527000.0,10654668000.0,10801780000.0,10796577000.0,10877786000.0,10849951000.0,10821642000.0,10890765000.0
2035.0,10899711000.0,10576057000.0,10600238000.0,10837987000.0,10609749000.0,10796098000.0,10617512000.0,10787002000.0,10767382000.0,10861048000.0,10824069000.0,10799101000.0,10885941000.0
2036.0,10867734000.0,10537219000.0,10547502000.0,10823644000.0,10568150000.0,10782834000.0,10565268000.0,10792522000.0,10744446000.0,10839736000.0,10820360000.0,10770784000.0,10890856000.0
2037.0,10853692000.0,10497767000.0,10478063000.0,10810396000.0,10520097000.0,10765130000.0,10513357000.0,10774791000.0,10716783000.0,10811322000.0,10811580000.0,10735950000.0,10855490000.0
2038.0,10837213000.0,10445726000.0,10430314000.0,10787405000.0,10472318000.0,10733930000.0,10472518000.0,10736752000.0,10687799000.0,10795940000.0,10798444000.0,10706755000.0,10839065000.0
2039.0,10840065000.0,10391151000.0,10339413000.0,10765090000.0,10421983000.0,10723918000.0,10412241000.0,10700643000.0,10661275000.0,10770867000.0,10770251000.0,10671169000.0,10813706000.0
2040.0,10809964000.0,10347635000.0,10267528000.0,10739054000.0,10350916000.0,10697164000.0,10362490000.0,10680746000.0,10624436000.0,10734559000.0,10769730000.0,10622253000.0,10798467000.0
2041.0,10778398000.0,10286626000.0,10204175000.0,10720070000.0,10296873000.0,10695711000.0,10308628000.0,10649103000.0,10594629000.0,10708038000.0,10733479000.0,10596851000.0,10813927000.0
2042.0,10747415000.0,10244743000.0,10107202000.0,10682971000.0,10233750000.0,10628524000.0,10223901000.0,10613016000.0,10561656000.0,10673448000.0,10686327000.0,10577571000.0,10763932000.0
2043.0,10712746000.0,10188981000.0,10029000000.0,10653364000.0,10138427000.0,10594981000.0,10141448000.0,10598912000.0,10522999000.0,10639720000.0,10667000000.0,10557192000.0,10720248000.0
2044.0,10695702000.0,10127569000.0,9929156000.0,10633890000.0,10044794000.0,10552484000.0,10073378000.0,10571637000.0,10491096000.0,10596090000.0,10651466000.0,10532839000.0,10703455000.0
2045.0,10666402000.0,10063735000.0,9805346000.0,10611783000.0,9937483000.0,10534396000.0,9996218000.0,10535975000.0,10452790000.0,10557923000.0,10627830000.0,10494803000.0,10690772000.0
2046.0,10646780000.0,9985401000.0,9718242000.0,10574646000.0,9852121000.0,10504562000.0,9933150000.0,10524639000.0,10415960000.0,10519686000.0,10594937000.0,10467325000.0,10661249000.0
2047.0,10622163000.0,9888391000.0,9579170000.0,10552603000.0,9765830000.0,10465031000.0,9825684000.0,10506178000.0,10342301000.0,10472313000.0,10570719000.0,10439354000.0,10638092000.0
