time,EC-EARTH3,INM-CM4-8,INM-CM5-0,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,EC-EARTH3-VEG,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,CESM2,NORESM2-MM,MPI-ESM1-2-HR,GFDL-ESM4
2000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0
2001.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0
2002.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0
2003.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0
2004.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0
2005.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0
2006.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0
2007.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0
2008.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0
2009.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0
2010.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0
2011.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0
2012.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0
2013.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0
2014.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0
2015.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0
2016.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0
2017.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0
2018.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0
2019.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0
2020.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0
2021.0,10978028000.0,10987062000.0,10981641000.0,10987177000.0,10990353000.0,10979181000.0,10982686000.0,11185048000.0,10986657000.0,10984925000.0,10986066000.0,10983013000.0,10982408000.0,10983924000.0
2022.0,10962876000.0,10985807000.0,10970813000.0,10973423000.0,10985552000.0,10967334000.0,10968778000.0,11071613000.0,11062954000.0,10977224000.0,10973101000.0,10977009000.0,11019923000.0,10977383000.0
2023.0,10950982000.0,10992219000.0,10962522000.0,10965451000.0,10977000000.0,10959450000.0,10963997000.0,11044535000.0,10977361000.0,10968146000.0,10973787000.0,10973227000.0,10969158000.0,10970719000.0
2024.0,10932840000.0,10970073000.0,10951006000.0,10949346000.0,10985040000.0,10949803000.0,10953449000.0,11013620000.0,10970503000.0,10955931000.0,10967247000.0,10962726000.0,10957178000.0,10959610000.0
2025.0,10915675000.0,10958374000.0,10931327000.0,10924642000.0,10964772000.0,10937089000.0,10941285000.0,11013288000.0,10964215000.0,10946726000.0,10965210000.0,10977128000.0,10951464000.0,10946578000.0
2026.0,10892980000.0,10950244000.0,10915825000.0,10902264000.0,10954180000.0,10919402000.0,10940955000.0,10992915000.0,10966152000.0,10931178000.0,10966419000.0,10972241000.0,10941545000.0,10936013000.0
2027.0,10857753000.0,10939768000.0,10894655000.0,10868817000.0,10948436000.0,10893678000.0,10924892000.0,10976667000.0,10957516000.0,10920677000.0,11025622000.0,10958831000.0,10929586000.0,10923682000.0
2028.0,10837381000.0,10943496000.0,10872816000.0,10843810000.0,10933538000.0,10883994000.0,10911024000.0,10966875000.0,10958605000.0,10895171000.0,10976699000.0,11008637000.0,10912524000.0,10902999000.0
2029.0,10806877000.0,10913303000.0,10839424000.0,10813054000.0,10912320000.0,10851466000.0,10893044000.0,10947017000.0,10940660000.0,10883855000.0,10964788000.0,11038598000.0,10912148000.0,10879401000.0
2030.0,10772979000.0,10897211000.0,10819525000.0,10773681000.0,10899352000.0,10822600000.0,10867650000.0,10925281000.0,10921563000.0,10854855000.0,10944901000.0,11001942000.0,10881755000.0,10866955000.0
2031.0,10723729000.0,10880390000.0,10788744000.0,10729658000.0,10919840000.0,10798743000.0,10846295000.0,10906105000.0,10924402000.0,10822376000.0,10928403000.0,10970771000.0,10856416000.0,10837787000.0
2032.0,10694454000.0,10854254000.0,10751998000.0,10686261000.0,10875196000.0,10769286000.0,10822927000.0,10923716000.0,10886736000.0,10799333000.0,10908256000.0,10996925000.0,10843000000.0,10807813000.0
2033.0,10649398000.0,10835678000.0,10696545000.0,10646616000.0,10843932000.0,10739104000.0,10793386000.0,10897442000.0,10876749000.0,10769487000.0,10888045000.0,10963763000.0,10834608000.0,10784595000.0
2034.0,10601113000.0,10808709000.0,10645041000.0,10605310000.0,10831187000.0,10707437000.0,10760209000.0,10881324000.0,10864616000.0,10734215000.0,10937283000.0,10926601000.0,10803107000.0,10755586000.0
2035.0,10567058000.0,10776836000.0,10595653000.0,10551117000.0,10821717000.0,10660635000.0,10745483000.0,10852849000.0,10833306000.0,10727453000.0,10880202000.0,10915269000.0,10776303000.0,10740276000.0
2036.0,10513835000.0,10757521000.0,10532869000.0,10507149000.0,10784449000.0,10609543000.0,10716817000.0,10827783000.0,10854160000.0,10687431000.0,10877371000.0,10909177000.0,10740432000.0,10698699000.0
2037.0,10473402000.0,10731992000.0,10482651000.0,10463477000.0,10764375000.0,10558701000.0,10681405000.0,10809675000.0,10871330000.0,10641937000.0,10868569000.0,10874735000.0,10723259000.0,10670850000.0
2038.0,10423825000.0,10695284000.0,10410249000.0,10417549000.0,10734340000.0,10504987000.0,10651391000.0,10773332000.0,10792966000.0,10586415000.0,10873925000.0,10866247000.0,10672542000.0,10655077000.0
2039.0,10368419000.0,10654367000.0,10369262000.0,10391027000.0,10705106000.0,10455557000.0,10630084000.0,10753094000.0,10785797000.0,10535991000.0,10848011000.0,10856517000.0,10646754000.0,10615040000.0
2040.0,10319264000.0,10605228000.0,10303316000.0,10375336000.0,10695796000.0,10410174000.0,10581778000.0,10718586000.0,10776711000.0,10469917000.0,10811321000.0,10843425000.0,10610896000.0,10561242000.0
2041.0,10266746000.0,10547252000.0,10242764000.0,10319693000.0,10657413000.0,10350052000.0,10538591000.0,10687359000.0,10726591000.0,10432012000.0,10806315000.0,10825472000.0,10575760000.0,10538521000.0
2042.0,10196831000.0,10515130000.0,10190525000.0,10303607000.0,10619365000.0,10267667000.0,10499399000.0,10650067000.0,10685983000.0,10384720000.0,10775223000.0,10799928000.0,10552585000.0,10573081000.0
2043.0,10113461000.0,10485543000.0,10156387000.0,10286251000.0,10600459000.0,10191105000.0,10477891000.0,10614907000.0,10655834000.0,10336989000.0,10831965000.0,10759917000.0,10564204000.0,10513719000.0
2044.0,10046546000.0,10457068000.0,10082618000.0,10249722000.0,10561124000.0,10115598000.0,10448048000.0,10578775000.0,10621268000.0,10268626000.0,10760417000.0,10746035000.0,10518789000.0,10491604000.0
2045.0,9974282000.0,10403869000.0,10021726000.0,10211828000.0,10532902000.0,10053079000.0,10410836000.0,10540153000.0,10592767000.0,10214839000.0,10736111000.0,10742140000.0,10495411000.0,10461470000.0
2046.0,9913812000.0,10352436000.0,9912505000.0,10183526000.0,10500221000.0,9999761000.0,10376326000.0,10509587000.0,10552216000.0,10116815000.0,10712596000.0,10727909000.0,10461607000.0,10432312000.0
2047.0,9831976000.0,10319737000.0,9882951000.0,10122060000.0,10467458000.0,9923064000.0,10326929000.0,10486688000.0,10531564000.0,10057725000.0,10757374000.0,10696595000.0,10432663000.0,10402498000.0
2048.0,9744068000.0,10265118000.0,9874459000.0,10070529000.0,10451972000.0,9863152000.0,10284055000.0,10448123000.0,10496579000.0,9956924000.0,10713335000.0,10677287000.0,10408590000.0,10355048000.0
2049.0,9668385000.0,10179859000.0,9837657000.0,9983963000.0,10405256000.0,9820468000.0,10246802000.0,10380118000.0,10449863000.0,9884329000.0,10705338000.0,10659431000.0,10336584000.0,10300780000.0
2050.0,9574096000.0,10120636000.0,9794371000.0,9941765000.0,10369887000.0,9712242000.0,10188456000.0,10332940000.0,10405972000.0,9786485000.0,10711220000.0,10641699000.0,10338417000.0,10282153000.0
2051.0,9459024000.0,10054327000.0,9713375000.0,9875877000.0,10346388000.0,9666973000.0,10141600000.0,10269454000.0,10370549000.0,9669146000.0,10685453000.0,10624673000.0,10287468000.0,10224199000.0
2052.0,9367245000.0,9967530000.0,9642043000.0,9829267000.0,10283331000.0,9571828000.0,10087925000.0,10202784000.0,10309120000.0,9584837000.0,10671689000.0,10611647000.0,10244975000.0,10206262000.0
2053.0,9274326000.0,9867500000.0,9576586000.0,9802873000.0,10224848000.0,9494915000.0,10002772000.0,10151992000.0,10277815000.0,9474687000.0,10669361000.0,10575896000.0,10207718000.0,10157999000.0
2054.0,9185887000.0,9794264000.0,9488079000.0,9714953000.0,10187295000.0,9454371000.0,9942581000.0,10063047000.0,10242116000.0,9405982000.0,10688581000.0,10549662000.0,10187310000.0,10123918000.0
2055.0,9101099000.0,9704928000.0,9428042000.0,9632365000.0,10115772000.0,9389758000.0,9865922000.0,9982908000.0,10173069000.0,9323661000.0,10653748000.0,10522269000.0,10135536000.0,10063933000.0
2056.0,9028328000.0,9632398000.0,9336401000.0,9574152000.0,10048328000.0,9292149000.0,9839478000.0,9878762000.0,10112205000.0,9247841000.0,10658704000.0,10484636000.0,10064567000.0,10089467000.0
2057.0,8901626000.0,9555717000.0,9287364000.0,9508750000.0,10007091000.0,9249253000.0,9746840000.0,9792469000.0,10071959000.0,9185626000.0,10637085000.0,10442727000.0,10040598000.0,10030384000.0
2058.0,8838993000.0,9482192000.0,9255752000.0,9450745000.0,9959601000.0,9203150000.0,9648994000.0,9655010000.0,10022289000.0,9067146000.0,10642725000.0,10407949000.0,10000850000.0,9972202000.0
2059.0,8749603000.0,9371782000.0,9178099000.0,9418320000.0,9913752000.0,9159627000.0,9550860000.0,9557827000.0,10028333000.0,9007567000.0,10607196000.0,10371158000.0,9943720000.0,9915392000.0
