time,CAMS-CSM1-0,MRI-ESM2-0,EC-EARTH3-VEG,GFDL-ESM4
2000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0
2001.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0
2002.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0
2003.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0
2004.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0
2005.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0
2006.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0
2007.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0
2008.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0
2009.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0
2010.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0
2011.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0
2012.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0
2013.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0
2014.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0
2015.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0
2016.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0
2017.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0
2018.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0
2019.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0
2020.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0
2021.0,10978052000.0,10981655000.0,10981865000.0,10991644000.0
2022.0,10969059000.0,10971986000.0,10972233000.0,10978086000.0
2023.0,10961766000.0,10963441000.0,10962147000.0,10963506000.0
2024.0,10953028000.0,10950355000.0,10955596000.0,10952897000.0
2025.0,10942767000.0,10943173000.0,10946211000.0,10944618000.0
2026.0,10930547000.0,10927337000.0,10934474000.0,10928480000.0
2027.0,10929230000.0,10907775000.0,10919940000.0,10931532000.0
2028.0,10889199000.0,10892043000.0,10899427000.0,10901391000.0
2029.0,10856000000.0,10861651000.0,10876457000.0,10888601000.0
2030.0,10838280000.0,10833380000.0,10845859000.0,10862181000.0
2031.0,10811665000.0,10806605000.0,10812300000.0,10841405000.0
2032.0,10795635000.0,10782596000.0,10807812000.0,10827355000.0
2033.0,10774958000.0,10757914000.0,10800835000.0,10793601000.0
2034.0,10740355000.0,10740433000.0,10752006000.0,10771850000.0
2035.0,10713893000.0,10688849000.0,10726282000.0,10758396000.0
2036.0,10676133000.0,10653303000.0,10700664000.0,10740079000.0
2037.0,10632121000.0,10625570000.0,10658514000.0,10701256000.0
2038.0,10597978000.0,10564924000.0,10621480000.0,10665031000.0
2039.0,10578289000.0,10517889000.0,10588965000.0,10633229000.0
2040.0,10533619000.0,10487408000.0,10547677000.0,10596789000.0
2041.0,10477087000.0,10453115000.0,10519265000.0,10573564000.0
2042.0,10423624000.0,10422516000.0,10493980000.0,10528593000.0
2043.0,10384810000.0,10377507000.0,10459622000.0,10494780000.0
2044.0,10331866000.0,10307588000.0,10462738000.0,10506936000.0
2045.0,10305847000.0,10257412000.0,10418781000.0,10469851000.0
2046.0,10233142000.0,10217142000.0,10407432000.0,10493854000.0
2047.0,10185427000.0,10149600000.0,10492113000.0,10448133000.0
2048.0,10115593000.0,10070556000.0,10363384000.0,10414194000.0
2049.0,10043626000.0,10040325000.0,10313275000.0,10386758000.0
2050.0,9972657000.0,10003953000.0,10275503000.0,10387753000.0
2051.0,9887817000.0,9927597000.0,10284226000.0,10333372000.0
2052.0,9839113000.0,9849603000.0,10200955000.0,10316130000.0
2053.0,9776218000.0,9802166000.0,10144312000.0,10277035000.0
2054.0,9680333000.0,9757093000.0,10086743000.0,10242946000.0
2055.0,9595525000.0,9692856000.0,10042983000.0,10234656000.0
2056.0,9516507000.0,9630405000.0,9996075000.0,10193227000.0
2057.0,9447307000.0,9583809000.0,9945765000.0,10174348000.0
2058.0,9364929000.0,9564185000.0,9885791000.0,10142689000.0
2059.0,9261776000.0,9511596000.0,9805065000.0,10110444000.0
2060.0,9148334000.0,9455640000.0,9746385000.0,10086323000.0
2061.0,9075364000.0,9449703000.0,9700272000.0,10038727000.0
2062.0,9014075000.0,9387083000.0,9648307000.0,9981851000.0
2063.0,8973642000.0,9334062000.0,9557529000.0,9950599000.0
