time,TAIESM1,UKESM1-0-LL,GFDL-ESM4,IITM-ESM,CESM2-WACCM,MRI-ESM2-0,KACE-1-0-G,MPI-ESM1-2-HR,IPSL-CM6A-LR
2000.0,2871016300000.0,2871016300000.0,2871016300000.0,2871016300000.0,2871016300000.0,2871016300000.0,2871016300000.0,2871016300000.0,2871016300000.0
2001.0,2854736400000.0,2854736400000.0,2854736400000.0,2854736400000.0,2854736400000.0,2854736400000.0,2854736400000.0,2854736400000.0,2854736400000.0
2002.0,2835346600000.0,2835346600000.0,2835346600000.0,2835346600000.0,2835346600000.0,2835346600000.0,2835346600000.0,2835346600000.0,2835346600000.0
2003.0,2823171000000.0,2823171000000.0,2823171000000.0,2823171000000.0,2823171000000.0,2823171000000.0,2823171000000.0,2823171000000.0,2823171000000.0
2004.0,2833252000000.0,2833252000000.0,2833252000000.0,2833252000000.0,2833252000000.0,2833252000000.0,2833252000000.0,2833252000000.0,2833252000000.0
2005.0,2829867500000.0,2829867500000.0,2829867500000.0,2829867500000.0,2829867500000.0,2829867500000.0,2829867500000.0,2829867500000.0,2829867500000.0
2006.0,2836533000000.0,2836533000000.0,2836533000000.0,2836533000000.0,2836533000000.0,2836533000000.0,2836533000000.0,2836533000000.0,2836533000000.0
2007.0,2835262700000.0,2835262700000.0,2835262700000.0,2835262700000.0,2835262700000.0,2835262700000.0,2835262700000.0,2835262700000.0,2835262700000.0
2008.0,2812662000000.0,2812662000000.0,2812662000000.0,2812662000000.0,2812662000000.0,2812662000000.0,2812662000000.0,2812662000000.0,2812662000000.0
2009.0,2811034000000.0,2811034000000.0,2811034000000.0,2811034000000.0,2811034000000.0,2811034000000.0,2811034000000.0,2811034000000.0,2811034000000.0
2010.0,2801784600000.0,2801784600000.0,2801784600000.0,2801784600000.0,2801784600000.0,2801784600000.0,2801784600000.0,2801784600000.0,2801784600000.0
2011.0,2815268700000.0,2815268700000.0,2815268700000.0,2815268700000.0,2815268700000.0,2815268700000.0,2815268700000.0,2815268700000.0,2815268700000.0
2012.0,2804944500000.0,2804944500000.0,2804944500000.0,2804944500000.0,2804944500000.0,2804944500000.0,2804944500000.0,2804944500000.0,2804944500000.0
2013.0,2788001000000.0,2788001000000.0,2788001000000.0,2788001000000.0,2788001000000.0,2788001000000.0,2788001000000.0,2788001000000.0,2788001000000.0
2014.0,2775820800000.0,2775820800000.0,2775820800000.0,2775820800000.0,2775820800000.0,2775820800000.0,2775820800000.0,2775820800000.0,2775820800000.0
2015.0,2776653400000.0,2776653400000.0,2776653400000.0,2776653400000.0,2776653400000.0,2776653400000.0,2776653400000.0,2776653400000.0,2776653400000.0
2016.0,2799073800000.0,2799073800000.0,2799073800000.0,2799073800000.0,2799073800000.0,2799073800000.0,2799073800000.0,2799073800000.0,2799073800000.0
2017.0,2777002500000.0,2777002500000.0,2777002500000.0,2777002500000.0,2777002500000.0,2777002500000.0,2777002500000.0,2777002500000.0,2777002500000.0
2018.0,2776250200000.0,2776250200000.0,2776250200000.0,2776250200000.0,2776250200000.0,2776250200000.0,2776250200000.0,2776250200000.0,2776250200000.0
2019.0,2763531500000.0,2763531500000.0,2763531500000.0,2763531500000.0,2763531500000.0,2763531500000.0,2763531500000.0,2763531500000.0,2763531500000.0
2020.0,2768378800000.0,2768378800000.0,2768378800000.0,2768378800000.0,2768378800000.0,2768378800000.0,2768378800000.0,2768378800000.0,2768378800000.0
2021.0,2726900000000.0,2748267400000.0,2722196000000.0,2754648700000.0,2757058400000.0,2759425300000.0,2735395300000.0,2758940600000.0,2780367000000.0
2022.0,2726501000000.0,2695293300000.0,2688518200000.0,2751854300000.0,2759289500000.0,2722631000000.0,2711436700000.0,2753518400000.0,2760694600000.0
2023.0,2678691700000.0,2673851000000.0,2650968700000.0,2735513800000.0,2740043600000.0,2701062000000.0,2703090800000.0,2717822000000.0,2717194400000.0
2024.0,2680944000000.0,2610218000000.0,2641212000000.0,2736579000000.0,2709447200000.0,2671305000000.0,2661145000000.0,2697983200000.0,2672620000000.0
2025.0,2686426000000.0,2547645000000.0,2631140000000.0,2742447200000.0,2674830300000.0,2633679500000.0,2655407000000.0,2697456300000.0,2645464000000.0
2026.0,2657192200000.0,2498706300000.0,2575671200000.0,2721936600000.0,2668061800000.0,2610838600000.0,2657214300000.0,2686020000000.0,2616951600000.0
2027.0,2636612400000.0,2468229400000.0,2547641200000.0,2696609300000.0,2646743200000.0,2612562500000.0,2603873200000.0,2655033500000.0,2595489000000.0
2028.0,2627488400000.0,2446607500000.0,2533673400000.0,2680987800000.0,2614202000000.0,2585925800000.0,2580399500000.0,2634058800000.0,2570572500000.0
2029.0,2591253900000.0,2421827600000.0,2524874500000.0,2666745000000.0,2609701000000.0,2553352000000.0,2556327600000.0,2634167400000.0,2545724400000.0
2030.0,2575281400000.0,2404703500000.0,2497716700000.0,2668174500000.0,2595294800000.0,2574168400000.0,2533782000000.0,2627677000000.0,2518976600000.0
2031.0,2592292000000.0,2387030000000.0,2536263400000.0,2646069000000.0,2572473900000.0,2545091600000.0,2503130000000.0,2604360800000.0,2491156500000.0
2032.0,2538726200000.0,2360071200000.0,2540168800000.0,2633768600000.0,2548069800000.0,2520943000000.0,2498976500000.0,2596314300000.0,2457290700000.0
2033.0,2503374300000.0,2323004500000.0,2541313600000.0,2633362600000.0,2538580200000.0,2511147000000.0,2465893200000.0,2591774500000.0,2427801800000.0
2034.0,2494760000000.0,2261556000000.0,2502600400000.0,2616732400000.0,2498189900000.0,2469372000000.0,2412374400000.0,2581840800000.0,2381999200000.0
2035.0,2462301000000.0,2199426000000.0,2521405300000.0,2606567300000.0,2495173600000.0,2472800200000.0,2375026700000.0,2577023400000.0,2328627000000.0
2036.0,2433066700000.0,2151188100000.0,2520876300000.0,2602496000000.0,2476017200000.0,2457803000000.0,2347504200000.0,2547160000000.0,2313867200000.0
2037.0,2405051400000.0,2134180500000.0,2493487300000.0,2594841600000.0,2428995400000.0,2402522000000.0,2359947400000.0,2511204500000.0,2283811600000.0
2038.0,2393392500000.0,2098313000000.0,2476930800000.0,2592545700000.0,2386356600000.0,2377908200000.0,2328319800000.0,2466829300000.0,2232170300000.0
2039.0,2372296000000.0,2055492300000.0,2448251700000.0,2575746000000.0,2391891000000.0,2356046700000.0,2296884200000.0,2440490000000.0,2193589900000.0
