time,CESM2-WACCM,MIROC6,MPI-ESM1-2-HR,IPSL-CM6A-LR,MRI-ESM2-0,KACE-1-0-G,CNRM-CM6-1,TAIESM1,EC-EARTH3,GFDL-ESM4,UKESM1-0-LL,CANESM5,CNRM-ESM2-1
2028.0,2596532400000.0,2554102000000.0,2565591000000.0,2634047000000.0,2599741600000.0,2617197700000.0,2645733000000.0,2593384800000.0,2398284700000.0,2596387000000.0,2519152000000.0,2442014000000.0,2620239400000.0
2029.0,2588412000000.0,2540451400000.0,2531393000000.0,2603000000000.0,2556638300000.0,2587026500000.0,2603961500000.0,2565560000000.0,2358421700000.0,2576444000000.0,2476658700000.0,2385538700000.0,2587400900000.0
2030.0,2563155000000.0,2532057000000.0,2503775600000.0,2592367700000.0,2546070000000.0,2554575700000.0,2582791300000.0,2535240500000.0,2297541000000.0,2573923800000.0,2426144300000.0,2330959500000.0,2567850000000.0
2031.0,2527722200000.0,2553495000000.0,2507367800000.0,2579661300000.0,2517440100000.0,2514978000000.0,2577829000000.0,2534721000000.0,2245573200000.0,2558629500000.0,2388870000000.0,2293230500000.0,2556166000000.0
2032.0,2534917500000.0,2571062500000.0,2509245800000.0,2540237500000.0,2494988000000.0,2511931200000.0,2558674300000.0,2499838700000.0,2183671400000.0,2525998400000.0,2335281300000.0,2251150900000.0,2519335200000.0
2033.0,2536537600000.0,2572429000000.0,2481969700000.0,2502878800000.0,2492713400000.0,2499273300000.0,2537781700000.0,2471886800000.0,2140746400000.0,2511779400000.0,2284312000000.0,2227186000000.0,2493228000000.0
2034.0,2512676200000.0,2558522600000.0,2478954800000.0,2471143400000.0,2464417000000.0,2445923300000.0,2489101300000.0,2441635200000.0,2086099600000.0,2492701900000.0,2237792300000.0,2178839100000.0,2478309400000.0
2035.0,2483437200000.0,2536587700000.0,2478380200000.0,2449620600000.0,2443832000000.0,2434628800000.0,2468918600000.0,2391120800000.0,2036103900000.0,2463876800000.0,2204705500000.0,2117830700000.0,2468581000000.0
2036.0,2467905400000.0,2492537800000.0,2473726300000.0,2425837000000.0,2415830000000.0,2404279400000.0,2432990000000.0,2387963800000.0,1980776600000.0,2445905000000.0,2151406000000.0,2064797700000.0,2452768200000.0
2037.0,2437532400000.0,2462596000000.0,2461495000000.0,2369664300000.0,2386772600000.0,2383700800000.0,2399643400000.0,2383479000000.0,1908271100000.0,2450057000000.0,2122669900000.0,2036160400000.0,2411691800000.0
2038.0,2419443400000.0,2439556400000.0,2419008700000.0,2352951300000.0,2364077500000.0,2359757000000.0,2365737700000.0,2353174400000.0,1874722400000.0,2433403000000.0,2086888800000.0,1978708100000.0,2374483800000.0
2039.0,2404374000000.0,2444720900000.0,2421569600000.0,2321326300000.0,2332298000000.0,2328747000000.0,2354791000000.0,2315216200000.0,1838026700000.0,2405138200000.0,2043416200000.0,1917267900000.0,2376773000000.0
2040.0,2387956500000.0,2420478800000.0,2432883000000.0,2305630400000.0,2312769000000.0,2301627200000.0,2335504900000.0,2297577000000.0,1805105000000.0,2395102200000.0,1996240000000.0,1861057200000.0,2371865000000.0
2041.0,2385009000000.0,2398920000000.0,2414060000000.0,2255783200000.0,2286029600000.0,2258770000000.0,2308062600000.0,2290432000000.0,1744337900000.0,2396079800000.0,1948434700000.0,1801192000000.0,2349979400000.0
2042.0,2358631200000.0,2374965700000.0,2374243000000.0,2228738900000.0,2236373300000.0,2240619200000.0,2284915800000.0,2262657000000.0,1709855700000.0,2386669900000.0,1913015200000.0,1745311500000.0,2334517400000.0
2043.0,2346011300000.0,2342436700000.0,2338906700000.0,2191557000000.0,2190881300000.0,2200364400000.0,2228566600000.0,2200441200000.0,1670487900000.0,2384794200000.0,1862455800000.0,1680177100000.0,2319940600000.0
2044.0,2311151400000.0,2349106200000.0,2354906400000.0,2159926200000.0,2162003400000.0,2147817400000.0,2181004000000.0,2179027700000.0,1609504000000.0,2364921000000.0,1814731400000.0,1631290300000.0,2289965200000.0
2045.0,2257574700000.0,2298848000000.0,2328654500000.0,2119609500000.0,2125468100000.0,2107912600000.0,2136106500000.0,2168385800000.0,1554681000000.0,2341770600000.0,1765947000000.0,1581504300000.0,2257620000000.0
2046.0,2224951400000.0,2262125000000.0,2289807700000.0,2082797800000.0,2096541900000.0,2096913800000.0,2068889500000.0,2131858000000.0,1517575300000.0,2312566000000.0,1729517000000.0,1548017100000.0,2238973500000.0
2047.0,2207903400000.0,2245287700000.0,2266994600000.0,2043746600000.0,2088929100000.0,2081797200000.0,2036192200000.0,2099990200000.0,1482360500000.0,2289042500000.0,1706847500000.0,1487267800000.0,2238204600000.0
2048.0,2169719200000.0,2196578900000.0,2254149000000.0,2019606900000.0,2068758900000.0,2049056600000.0,2011063000000.0,2075708400000.0,1441521500000.0,2265397600000.0,1665595500000.0,1431558700000.0,2208914000000.0
2049.0,2143968400000.0,2118577700000.0,2198873400000.0,2015629700000.0,2041514200000.0,1989047700000.0,1978255500000.0,2063504400000.0,1391428500000.0,2239798400000.0,1632940200000.0,1385799600000.0,2170585600000.0
2050.0,2105796200000.0,2080237300000.0,2174886500000.0,1985880300000.0,2027639300000.0,1955567900000.0,1982994700000.0,2030524700000.0,1371774800000.0,2212672800000.0,1610267600000.0,1365949000000.0,2139116700000.0
2051.0,2059707700000.0,2076464000000.0,2179905200000.0,1924336500000.0,1991067800000.0,1912325000000.0,1963369600000.0,1999912400000.0,1317116300000.0,2177135300000.0,1596753200000.0,1320023400000.0,2097811600000.0
2052.0,2052906800000.0,2094687000000.0,2152665600000.0,1923745000000.0,1965317800000.0,1885148500000.0,1948985900000.0,1949552200000.0,1266330900000.0,2164480700000.0,1554388900000.0,1278896000000.0,2077780700000.0
