time,CANESM5,IPSL-CM6A-LR,CNRM-ESM2-1,MRI-ESM2-0,UKESM1-0-LL
2000.0,2871016300000.0,2871016300000.0,2871016300000.0,2871016300000.0,2871016300000.0
2001.0,2854736400000.0,2854736400000.0,2854736400000.0,2854736400000.0,2854736400000.0
2002.0,2835346600000.0,2835346600000.0,2835346600000.0,2835346600000.0,2835346600000.0
2003.0,2823171000000.0,2823171000000.0,2823171000000.0,2823171000000.0,2823171000000.0
2004.0,2833252000000.0,2833252000000.0,2833252000000.0,2833252000000.0,2833252000000.0
2005.0,2829867500000.0,2829867500000.0,2829867500000.0,2829867500000.0,2829867500000.0
2006.0,2836533000000.0,2836533000000.0,2836533000000.0,2836533000000.0,2836533000000.0
2007.0,2835262700000.0,2835262700000.0,2835262700000.0,2835262700000.0,2835262700000.0
2008.0,2812662000000.0,2812662000000.0,2812662000000.0,2812662000000.0,2812662000000.0
2009.0,2811034000000.0,2811034000000.0,2811034000000.0,2811034000000.0,2811034000000.0
2010.0,2801784600000.0,2801784600000.0,2801784600000.0,2801784600000.0,2801784600000.0
2011.0,2815268700000.0,2815268700000.0,2815268700000.0,2815268700000.0,2815268700000.0
2012.0,2804944500000.0,2804944500000.0,2804944500000.0,2804944500000.0,2804944500000.0
2013.0,2788001000000.0,2788001000000.0,2788001000000.0,2788001000000.0,2788001000000.0
2014.0,2775820800000.0,2775820800000.0,2775820800000.0,2775820800000.0,2775820800000.0
2015.0,2776653400000.0,2776653400000.0,2776653400000.0,2776653400000.0,2776653400000.0
2016.0,2799073800000.0,2799073800000.0,2799073800000.0,2799073800000.0,2799073800000.0
2017.0,2777002500000.0,2777002500000.0,2777002500000.0,2777002500000.0,2777002500000.0
2018.0,2776250200000.0,2776250200000.0,2776250200000.0,2776250200000.0,2776250200000.0
2019.0,2763531500000.0,2763531500000.0,2763531500000.0,2763531500000.0,2763531500000.0
2020.0,2768378800000.0,2768378800000.0,2768378800000.0,2768378800000.0,2768378800000.0
2021.0,2734406500000.0,2746817200000.0,2746914200000.0,2753211700000.0,2754971700000.0
2022.0,2693814300000.0,2746418200000.0,2748953100000.0,2740925800000.0,2730263300000.0
2023.0,2633592000000.0,2755661700000.0,2715149400000.0,2693978400000.0,2705976000000.0
2024.0,2583914600000.0,2732459300000.0,2703458000000.0,2664676000000.0,2667643400000.0
2025.0,2516051000000.0,2715027000000.0,2690370800000.0,2640239100000.0,2627440700000.0
2026.0,2458878200000.0,2673794000000.0,2705774000000.0,2615512100000.0,2590635000000.0
2027.0,2442851500000.0,2641657600000.0,2676977000000.0,2564333800000.0,2550166200000.0
2028.0,2384966500000.0,2617441800000.0,2637671700000.0,2530273400000.0,2528114600000.0
2029.0,2336618000000.0,2574042800000.0,2608916600000.0,2513636200000.0,2493268000000.0
2030.0,2262161000000.0,2558437000000.0,2614833400000.0,2504093900000.0,2442079000000.0
2031.0,2206412600000.0,2543787700000.0,2587386400000.0,2478879800000.0,2412015300000.0
2032.0,2157058900000.0,2518717600000.0,2561446200000.0,2467926000000.0,2374545000000.0
2033.0,2097106300000.0,2492902700000.0,2527701200000.0,2425431500000.0,2330109700000.0
2034.0,2052860800000.0,2454157000000.0,2486523400000.0,2390535400000.0,2282751500000.0
2035.0,1971918200000.0,2415791400000.0,2432617700000.0,2364366400000.0,2247042300000.0
2036.0,1920265500000.0,2399158400000.0,2421514600000.0,2337869400000.0,2199715800000.0
2037.0,1868974900000.0,2386273000000.0,2395726400000.0,2308571000000.0,2147374600000.0
2038.0,1818833300000.0,2370112800000.0,2397408600000.0,2250284000000.0,2113030200000.0
2039.0,1751515400000.0,2329620300000.0,2371752600000.0,2200063400000.0,2083382900000.0
2040.0,1739151000000.0,2289471300000.0,2377645000000.0,2187533900000.0,2059611000000.0
2041.0,1696601900000.0,2236814500000.0,2376576000000.0,2148281000000.0,2031123300000.0
2042.0,1664160100000.0,2215983400000.0,2366873800000.0,2125328300000.0,1998346300000.0
2043.0,1586886000000.0,2187073600000.0,2327209800000.0,2072660300000.0,1951019600000.0
2044.0,1531751800000.0,2151427300000.0,2291457600000.0,2009388700000.0,1913114300000.0
2045.0,1497902100000.0,2109388200000.0,2268196500000.0,1969130300000.0,1872687400000.0
2046.0,1455459900000.0,2078804400000.0,2225218800000.0,1932650200000.0,1797631500000.0
2047.0,1404467300000.0,2052558600000.0,2203169800000.0,1904771700000.0,1735514700000.0
2048.0,1369344000000.0,1994951500000.0,2173735900000.0,1841536200000.0,1693418900000.0
2049.0,1327419600000.0,1960546400000.0,2146331000000.0,1801566400000.0,1647167300000.0
2050.0,1283820500000.0,1915029400000.0,2115690800000.0,1757095700000.0,1582460300000.0
2051.0,1258549700000.0,1887197600000.0,2072718300000.0,1733564300000.0,1550095500000.0
2052.0,1226270300000.0,1848636500000.0,2039562000000.0,1697325800000.0,1510632500000.0
2053.0,1193275300000.0,1811711800000.0,1997765300000.0,1661451200000.0,1480805300000.0
2054.0,1174567500000.0,1782965100000.0,1992798400000.0,1646202600000.0,1448182800000.0
2055.0,1140615700000.0,1746278800000.0,1951031000000.0,1604635600000.0,1397920100000.0
2056.0,1096607300000.0,1726229400000.0,1919096600000.0,1581732200000.0,1348190500000.0
2057.0,1057146800000.0,1686368400000.0,1888449300000.0,1550992100000.0,1305921000000.0
2058.0,1028557300000.0,1649325900000.0,1846915400000.0,1534892700000.0,1272805300000.0
2059.0,995934340000.0,1617883700000.0,1813445900000.0,1499446600000.0,1237931900000.0
2060.0,969932870000.0,1575366600000.0,1751478600000.0,1468694500000.0,1196130000000.0
2061.0,945239560000.0,1544248900000.0,1722238800000.0,1430563700000.0,1169715900000.0
2062.0,922958000000.0,1506741200000.0,1695661600000.0,1420704100000.0,1139164700000.0
2063.0,896084500000.0,1475057700000.0,1670969200000.0,1412760700000.0,1113622300000.0
2064.0,881296100000.0,1453953100000.0,1635836200000.0,1398686900000.0,1082039860000.0
2065.0,854575800000.0,1435100100000.0,1612727300000.0,1377551600000.0,1049214800000.0
2066.0,838924600000.0,1415526400000.0,1592791700000.0,1367088700000.0,1006843300000.0
2067.0,821139300000.0,1379572100000.0,1581123500000.0,1356022000000.0,977409100000.0
2068.0,795924200000.0,1370482500000.0,1558195300000.0,1339305900000.0,954102000000.0
2069.0,766657040000.0,1355233400000.0,1530261900000.0,1319262200000.0,931331050000.0
2070.0,746221500000.0,1335080400000.0,1503021500000.0,1309206400000.0,902006500000.0
2071.0,737347000000.0,1308535300000.0,1490688300000.0,1298362700000.0,868888100000.0
2072.0,725580840000.0,1287342400000.0,1469394300000.0,1291287100000.0,843703900000.0
2073.0,708798600000.0,1273568000000.0,1435481300000.0,1275180500000.0,836949600000.0
2074.0,693536950000.0,1246996700000.0,1409785000000.0,1265482600000.0,817442700000.0
2075.0,672533500000.0,1238144000000.0,1367268800000.0,1252268300000.0,783274400000.0
