time,GISS-E2-R,CCSM4,GFDL-CM3,NORESM1-M,CANESM2,CSIRO-MK3-6-0,GFDL-ESM2G,MPI-ESM-LR,IPSL-CM5A-LR,CNRM-CM5
2000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0
2001.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0
2002.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0
2003.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0
2004.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0
2005.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0
2006.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0
2007.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0
2008.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0
2009.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0
2010.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0
2011.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0
2012.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0
