time,CCSM4,GFDL-CM3,GISS-E2-R,NORESM1-M,CSIRO-MK3-6-0,GFDL-ESM2G,IPSL-CM5A-LR
2000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0,51767194000.0
2001.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0,51801113000.0
2002.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0,51790373000.0
2003.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0,51788890000.0
2004.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0,51781026000.0
2005.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0,51844680000.0
2006.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0,51765630000.0
2007.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0,51766575000.0
2008.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0,51792710000.0
2009.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0,52306715000.0
2010.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0,51759956000.0
2011.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0,51725083000.0
2012.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0,51752858000.0
2013.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0,51701637000.0
2014.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0,51664937000.0
2015.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0,51681990000.0
2016.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0,51670684000.0
2017.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0,51637510000.0
2018.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0,51638000000.0
2019.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0,51614070000.0
2020.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0,51597545000.0
2021.0,51562197000.0,51583975000.0,51565597000.0,51583775000.0,51573744000.0,51589730000.0,51579110000.0
2022.0,51540894000.0,51544146000.0,51563150000.0,51577905000.0,51565347000.0,51583517000.0,51539290000.0
2023.0,51510747000.0,51521765000.0,51528590000.0,51559700000.0,51549140000.0,51573346000.0,51509320000.0
2024.0,51494232000.0,51508593000.0,51566570000.0,51519996000.0,51662230000.0,51561440000.0,51505582000.0
2025.0,51467096000.0,51492930000.0,51532430000.0,51500524000.0,51624020000.0,51527283000.0,51480570000.0
2026.0,51441140000.0,51462103000.0,51482726000.0,51477656000.0,51566047000.0,51507847000.0,51548197000.0
2027.0,51429370000.0,51434213000.0,51474520000.0,51470300000.0,51513815000.0,51491193000.0,51548033000.0
2028.0,51412040000.0,51411608000.0,51463420000.0,51500655000.0,51507690000.0,51450565000.0,51534810000.0
2029.0,51421073000.0,51390920000.0,51519496000.0,51454300000.0,51512310000.0,51443100000.0,51456733000.0
2030.0,51396805000.0,51360550000.0,51443890000.0,51435680000.0,51466350000.0,51434920000.0,51841085000.0
2031.0,51362697000.0,51345500000.0,51466690000.0,51434918000.0,51458257000.0,51471500000.0,51499753000.0
2032.0,51332230000.0,51306602000.0,51430810000.0,51415347000.0,51447010000.0,51425110000.0,51534467000.0
2033.0,51269460000.0,51277943000.0,51412860000.0,51407327000.0,51447930000.0,51412304000.0,51440920000.0
2034.0,51244140000.0,51227628000.0,51397100000.0,51394798000.0,51470692000.0,51391710000.0,51389790000.0
2035.0,51198330000.0,51180986000.0,51382202000.0,51381834000.0,51411915000.0,51372970000.0,51401884000.0
2036.0,51162340000.0,51144114000.0,51370762000.0,51348582000.0,51388640000.0,51358820000.0,51398330000.0
2037.0,51100156000.0,51105230000.0,51354880000.0,51331478000.0,51371660000.0,51322393000.0,51354510000.0
2038.0,51069540000.0,51055400000.0,51357135000.0,51296637000.0,51375870000.0,51285420000.0,51316937000.0
2039.0,51030872000.0,50988670000.0,51426087000.0,51272667000.0,51364760000.0,51264135000.0,51299172000.0
2040.0,50992472000.0,50919170000.0,51432292000.0,51243414000.0,51353690000.0,51250680000.0,51296526000.0
2041.0,50948973000.0,50884604000.0,51296420000.0,51208210000.0,51297366000.0,51256828000.0,51268223000.0
2042.0,50918570000.0,50839930000.0,51284074000.0,51194724000.0,51262690000.0,51195867000.0,51237847000.0
2043.0,50896974000.0,50785018000.0,51247850000.0,51176930000.0,51244250000.0,51175096000.0,51205816000.0
2044.0,50847814000.0,50710127000.0,51230417000.0,51140387000.0,51228328000.0,51146756000.0,51187204000.0
2045.0,50795553000.0,50658000000.0,51234066000.0,51098485000.0,51200230000.0,51121310000.0,51167752000.0
2046.0,50753167000.0,50576216000.0,51195728000.0,51051110000.0,51176690000.0,51098970000.0,51104660000.0
2047.0,50685702000.0,50513326000.0,51184190000.0,51027750000.0,51152430000.0,51081376000.0,51058295000.0
2048.0,50653565000.0,50400383000.0,51151680000.0,50982674000.0,51118653000.0,51019833000.0,51030856000.0
2049.0,50589610000.0,50283620000.0,51098833000.0,50938360000.0,51085780000.0,50984722000.0,50994550000.0
2050.0,50523496000.0,50188345000.0,51072602000.0,50886857000.0,51033534000.0,50911072000.0,50970870000.0
2051.0,50437734000.0,50082740000.0,51074142000.0,50834145000.0,51008233000.0,50885263000.0,50943726000.0
2052.0,50384957000.0,50001125000.0,51038822000.0,50762207000.0,50969612000.0,50839704000.0,50901960000.0
2053.0,50320940000.0,49915830000.0,50998540000.0,50705265000.0,50947903000.0,50807927000.0,50844205000.0
2054.0,50245845000.0,49811784000.0,50969900000.0,50626142000.0,50906657000.0,50756430000.0,50821880000.0
2055.0,50185960000.0,49733520000.0,50929828000.0,50582954000.0,50876020000.0,50731467000.0,50739675000.0
2056.0,50097123000.0,49634607000.0,50941776000.0,50515472000.0,50821968000.0,50663735000.0,50681385000.0
2057.0,50021958000.0,49495454000.0,50868450000.0,50442863000.0,50787037000.0,50612298000.0,50630656000.0
