time,GFDL-CM3,CCSM4,GISS-E2-R,CESM1-CAM5,CANESM2,NORESM1-M,IPSL-CM5A-LR,MPI-ESM-LR,CNRM-CM5,GFDL-ESM2G,CSIRO-MK3-6-0
2046.0,49063170000.0,50916844000.0,51187827000.0,49987998000.0,50550518000.0,50760323000.0,50841620000.0,50981270000.0,50675260000.0,51201240000.0,51075910000.0
2047.0,48847147000.0,50869273000.0,51157303000.0,49835835000.0,50478588000.0,50718347000.0,50751095000.0,50970042000.0,50553754000.0,51102330000.0,51052122000.0
2048.0,48643043000.0,50818703000.0,51101508000.0,49674256000.0,50403975000.0,50656158000.0,50702578000.0,50924040000.0,50453606000.0,51091130000.0,51025793000.0
2049.0,48523452000.0,50794430000.0,51081613000.0,49550164000.0,50287657000.0,50602136000.0,50638356000.0,50903940000.0,50362080000.0,51061817000.0,50995350000.0
2050.0,48421830000.0,50755030000.0,51054326000.0,49370563000.0,50201450000.0,50550505000.0,50588856000.0,50872934000.0,50252317000.0,51049300000.0,50968568000.0
2051.0,48268270000.0,50720450000.0,51051390000.0,49205320000.0,50153222000.0,50504233000.0,50511098000.0,50856284000.0,50128826000.0,51015033000.0,50937380000.0
2052.0,48155095000.0,50671636000.0,51012270000.0,48988766000.0,50082980000.0,50435838000.0,50420140000.0,50808984000.0,49949475000.0,50991395000.0,50920542000.0
2053.0,48016500000.0,50643300000.0,50999538000.0,48821200000.0,49979870000.0,50350650000.0,50340290000.0,50765400000.0,49788584000.0,50956575000.0,50885830000.0
2054.0,47809716000.0,50593124000.0,50988945000.0,48616180000.0,49877440000.0,50298954000.0,50279660000.0,50727084000.0,49584304000.0,50973532000.0,50856722000.0
2055.0,47596732000.0,50526060000.0,50966757000.0,48410590000.0,49737347000.0,50235437000.0,50219352000.0,50681880000.0,49348830000.0,50901463000.0,50796007000.0
2056.0,47403336000.0,50462786000.0,50911560000.0,48191295000.0,49636545000.0,50123792000.0,50093290000.0,50644845000.0,49166668000.0,50862846000.0,50755297000.0
2057.0,47138198000.0,50408354000.0,50856686000.0,48028045000.0,49547153000.0,50044355000.0,50004374000.0,50594705000.0,49009353000.0,50825245000.0,50726390000.0
2058.0,46911580000.0,50345574000.0,50897195000.0,47845760000.0,49391235000.0,49962630000.0,49881910000.0,50556994000.0,48824943000.0,50797330000.0,50675474000.0
2059.0,46758568000.0,50295063000.0,50823512000.0,47644770000.0,49291880000.0,49887535000.0,49744770000.0,50507750000.0,48592245000.0,50781690000.0,50643790000.0
2060.0,46513260000.0,50247352000.0,50798940000.0,47407608000.0,49212584000.0,49796067000.0,49582576000.0,50436407000.0,48388583000.0,50750644000.0,50613030000.0
2061.0,46192833000.0,50175865000.0,50764284000.0,47193490000.0,49033888000.0,49721074000.0,49420845000.0,50374820000.0,48245453000.0,50719695000.0,50551670000.0
2062.0,45857157000.0,50111880000.0,50736110000.0,46969713000.0,48925434000.0,49640493000.0,49350066000.0,50373173000.0,47887036000.0,50691707000.0,50500910000.0
2063.0,45539226000.0,50015230000.0,50722836000.0,46717428000.0,48807068000.0,49555830000.0,49267340000.0,50279596000.0,47637955000.0,50669230000.0,50431470000.0
2064.0,45319012000.0,49927050000.0,50742133000.0,46524994000.0,48659520000.0,49447313000.0,49198076000.0,50227454000.0,47453794000.0,50643243000.0,50390730000.0
2065.0,45092100000.0,49849213000.0,50745307000.0,46370443000.0,48533586000.0,49371783000.0,49088627000.0,50141340000.0,47275766000.0,50586415000.0,50340725000.0
2066.0,45114980000.0,49784127000.0,50636320000.0,46198112000.0,48438542000.0,49299060000.0,48952840000.0,50078010000.0,47036883000.0,50542064000.0,50285570000.0
2067.0,44869644000.0,49675330000.0,50568570000.0,46001705000.0,48191635000.0,49228270000.0,48857674000.0,50007577000.0,46859600000.0,50499334000.0,50209145000.0
2068.0,44692144000.0,49575400000.0,50551103000.0,45688510000.0,48092190000.0,49081300000.0,48641680000.0,49952420000.0,46658793000.0,50474240000.0,50103755000.0
2069.0,44466970000.0,49481863000.0,50560668000.0,45486457000.0,47998124000.0,48967754000.0,48510587000.0,49864868000.0,46509730000.0,50410040000.0,50087678000.0
2070.0,44256956000.0,49423454000.0,50460398000.0,45220626000.0,47837233000.0,48835342000.0,48332177000.0,49758515000.0,46304210000.0,50388165000.0,50027114000.0
2071.0,43973825000.0,49359570000.0,50458640000.0,44888252000.0,47647814000.0,48699335000.0,48224063000.0,49669370000.0,46065110000.0,50339760000.0,49981830000.0
2072.0,43564410000.0,49274958000.0,50433917000.0,44662910000.0,47483208000.0,48550875000.0,48064250000.0,49586815000.0,45879210000.0,50252673000.0,49953567000.0
2073.0,43235746000.0,49170240000.0,50386900000.0,44455244000.0,47292097000.0,48379273000.0,47839752000.0,49530150000.0,45623990000.0,50230215000.0,49890656000.0
2074.0,42788917000.0,49093990000.0,50302198000.0,44057494000.0,47080067000.0,48237638000.0,47682757000.0,49470427000.0,45368345000.0,50179125000.0,49804382000.0
2075.0,42359370000.0,49031480000.0,50268130000.0,43687110000.0,46937657000.0,48093140000.0,47509980000.0,49400590000.0,45135438000.0,50164986000.0,49758730000.0
2076.0,41917360000.0,48934023000.0,50225400000.0,43285060000.0,46730637000.0,47971123000.0,47349146000.0,49300510000.0,44818665000.0,50094920000.0,49696200000.0
2077.0,41529830000.0,48879825000.0,50191320000.0,43038700000.0,46555340000.0,47859585000.0,47180790000.0,49213280000.0,44547220000.0,50060517000.0,49627312000.0
2078.0,41214034000.0,48726030000.0,50174650000.0,42768183000.0,46339277000.0,47691137000.0,46979490000.0,49099387000.0,44337660000.0,50010907000.0,49592060000.0
2079.0,40932900000.0,48587612000.0,50091980000.0,42419413000.0,46066434000.0,47538350000.0,46740218000.0,49034076000.0,44081640000.0,49933128000.0,49553720000.0
2080.0,40719250000.0,48387160000.0,49994230000.0,42210630000.0,45849453000.0,47440515000.0,46623023000.0,48958358000.0,43865950000.0,49819734000.0,49491530000.0
2081.0,40424450000.0,48182880000.0,49942323000.0,41970287000.0,45588804000.0,47348314000.0,46511850000.0,48908247000.0,43534840000.0,49772360000.0,49448436000.0
2082.0,40331346000.0,48068387000.0,49900732000.0,41750114000.0,45478220000.0,47237600000.0,46379320000.0,48844063000.0,43233346000.0,49740775000.0,49385386000.0
2083.0,40134783000.0,47954630000.0,49873965000.0,41470670000.0,45249680000.0,47132660000.0,46188590000.0,48766720000.0,42941320000.0,49708483000.0,49284956000.0
2084.0,39924195000.0,47847340000.0,49844105000.0,41162945000.0,45013643000.0,47042535000.0,46058290000.0,48659680000.0,42706130000.0,49663054000.0,49235816000.0
2085.0,39681240000.0,47759462000.0,49821356000.0,40893735000.0,44848530000.0,46938690000.0,45920616000.0,48597890000.0,42518417000.0,49611747000.0,49146286000.0
2086.0,39410870000.0,47650644000.0,49797345000.0,40669180000.0,44684616000.0,46740967000.0,45843730000.0,48475697000.0,42228980000.0,49543070000.0,49069433000.0
2087.0,39003185000.0,47561620000.0,49724903000.0,40404443000.0,44501320000.0,46570500000.0,45695173000.0,48436210000.0,41990780000.0,49412440000.0,49009290000.0
2088.0,38606430000.0,47469232000.0,49642200000.0,40140636000.0,44263424000.0,46436410000.0,45577330000.0,48340574000.0,41718338000.0,49339445000.0,48942432000.0
2089.0,38319464000.0,47324170000.0,49579570000.0,39955673000.0,44112670000.0,46275453000.0,45461012000.0,48248082000.0,41520796000.0,49287016000.0,48859914000.0
2090.0,38002442000.0,47211397000.0,49514230000.0,39635370000.0,43836293000.0,46126084000.0,45329187000.0,48138195000.0,41278996000.0,49230890000.0,48738484000.0
2091.0,37677330000.0,47087837000.0,49471330000.0,39372796000.0,43684545000.0,45902680000.0,45195690000.0,48040570000.0,41096892000.0,49191854000.0,48684958000.0
2092.0,37335294000.0,47016590000.0,49401080000.0,39073178000.0,43438113000.0,45721174000.0,45152203000.0,47968460000.0,40906424000.0,49135980000.0,48620167000.0
2093.0,37012554000.0,46930760000.0,49340520000.0,38802403000.0,43193823000.0,45545742000.0,45274726000.0,47902036000.0,40617144000.0,49066607000.0,48546870000.0
2094.0,36693120000.0,46852805000.0,49277882000.0,38523355000.0,42954424000.0,45321208000.0,44910780000.0,47841456000.0,40409360000.0,49000767000.0,48482130000.0
2095.0,36407267000.0,46709244000.0,49224680000.0,38183300000.0,42804535000.0,45145080000.0,44792740000.0,47710690000.0,40247333000.0,48969007000.0,48384143000.0
2096.0,36212113000.0,46576284000.0,49173406000.0,37880345000.0,42543362000.0,44941443000.0,44634333000.0,47625708000.0,39991304000.0,48911740000.0,48320803000.0
2097.0,35991822000.0,46450240000.0,49137490000.0,37631394000.0,42304920000.0,44780417000.0,44473620000.0,47524790000.0,39679594000.0,48837150000.0,48249893000.0
2098.0,35694465000.0,46269272000.0,49114970000.0,37425130000.0,42065875000.0,44532388000.0,44339550000.0,47420375000.0,39364660000.0,48796234000.0,48178135000.0
2099.0,35336810000.0,46150857000.0,49039740000.0,37168330000.0,41907950000.0,44351656000.0,44167630000.0,47331983000.0,39109513000.0,48733810000.0,48139084000.0
2100.0,35014287000.0,46004175000.0,48992650000.0,36910735000.0,41669110000.0,44106690000.0,44017360000.0,47255940000.0,38882350000.0,48687063000.0,48084590000.0
