time,NORESM2-MM,FGOALS-F3-L,CESM2,GFDL-ESM4,CAMS-CSM1-0,INM-CM5-0,BCC-CSM2-MR,EC-EARTH3-VEG,INM-CM4-8,EC-EARTH3,MRI-ESM2-0,CMCC-CM2-SR5,MPI-ESM1-2-HR,CESM2-WACCM
2000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0
2001.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0
2002.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0
2003.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0
2004.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0
2005.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0
2006.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0
2007.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0
2008.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0
2009.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0
2010.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0
2011.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0
2012.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0
2013.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0
2014.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0
2015.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0
2016.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0
2017.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0
2018.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0
2019.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0
2020.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0
2021.0,102195660000.0,101714166000.0,101574010000.0,103662354000.0,103207900000.0,101729040000.0,102805730000.0,101762040000.0,102786060000.0,100035970000.0,100883070000.0,102559350000.0,102083396000.0,102518950000.0
2022.0,101111160000.0,100063150000.0,98771270000.0,103431040000.0,101525905000.0,101159870000.0,101603170000.0,100287370000.0,102337770000.0,96663160000.0,97393770000.0,100653270000.0,101750170000.0,101690670000.0
