time,MPI-ESM1-2-HR,CESM2-WACCM,IPSL-CM6A-LR,TAIESM1,CMCC-CM2-SR5,EC-EARTH3,MRI-ESM2-0,EC-EARTH3-VEG,INM-CM4-8,CANESM5,BCC-CSM2-MR,CAMS-CSM1-0,INM-CM5-0,ACCESS-CM2,ACCESS-ESM1-5,NORESM2-MM,FGOALS-F3-L,CESM2,GFDL-ESM4
2000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0,131435940000.0
2001.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0,130489450000.0
2002.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0,129573085000.0
2003.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0,128170885000.0
2004.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0,127174615000.0
2005.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0,126301856000.0
2006.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0,124981090000.0
2007.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0,123484220000.0
2008.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0,121791190000.0
2009.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0,119644910000.0
2010.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0,118857900000.0
2011.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0,117393020000.0
2012.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0,115529260000.0
2013.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0,114148190000.0
2014.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0,113401200000.0
2015.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0,111805850000.0
2016.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0,110082310000.0
2017.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0,107781160000.0
2018.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0,106046270000.0
2019.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0,104865960000.0
2020.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0,103948650000.0
