time,MPI-ESM-LR,GFDL-ESM2G,CANESM2,NORESM1-M,CCSM4,CSIRO-MK3-6-0,CNRM-CM5,GFDL-CM3,IPSL-CM5A-LR,GISS-E2-R
2030.0,46930596000.0,48399190000.0,48501600000.0,47117304000.0,47053894000.0,47243727000.0,47254766000.0,45956215000.0,46870508000.0,47041413000.0
2031.0,46728385000.0,48682670000.0,46810886000.0,46819586000.0,46802977000.0,47208428000.0,47084335000.0,45441733000.0,47061164000.0,46818130000.0
2032.0,46454194000.0,48040060000.0,46415356000.0,46485590000.0,46255747000.0,46794860000.0,46798170000.0,44851565000.0,46644080000.0,46842840000.0
2033.0,46065058000.0,47435360000.0,46035268000.0,46121220000.0,46001370000.0,46552610000.0,46550966000.0,44029170000.0,46394350000.0,46407647000.0
2034.0,45845803000.0,47371090000.0,46154568000.0,45892750000.0,45666447000.0,46232950000.0,46315823000.0,43385090000.0,45950950000.0,46255436000.0
2035.0,45809610000.0,48455426000.0,45676687000.0,45561890000.0,45418775000.0,45747413000.0,46542303000.0,42614927000.0,45635437000.0,46010960000.0
2036.0,45530710000.0,47639843000.0,45595020000.0,45240996000.0,45040750000.0,45488304000.0,45884640000.0,42183918000.0,45282300000.0,45829270000.0
2037.0,46250190000.0,46964007000.0,45014245000.0,44889400000.0,44798284000.0,45105947000.0,45734920000.0,41546273000.0,44890520000.0,45868356000.0
2038.0,45221570000.0,46406005000.0,44671074000.0,44539360000.0,44491567000.0,44875583000.0,45357593000.0,40713370000.0,44610023000.0,45448730000.0
2039.0,44900348000.0,45970604000.0,44303237000.0,44198050000.0,44141232000.0,44472717000.0,44978170000.0,39970710000.0,44374573000.0,45291598000.0
2040.0,44545282000.0,46218854000.0,43960844000.0,43864450000.0,44201935000.0,45312664000.0,44602356000.0,39119393000.0,44034535000.0,44980163000.0
2041.0,44211646000.0,45635950000.0,43491440000.0,43567534000.0,43889254000.0,44117996000.0,44355068000.0,38196855000.0,43736916000.0,44742365000.0
2042.0,43926040000.0,45313597000.0,43039097000.0,43292370000.0,43292020000.0,43795220000.0,44010238000.0,37317640000.0,43319587000.0,44383330000.0
2043.0,44153647000.0,44850184000.0,42530783000.0,42757046000.0,42943697000.0,43347690000.0,43571530000.0,36379242000.0,42937758000.0,44027040000.0
2044.0,43778494000.0,44485620000.0,42282045000.0,42760122000.0,42525900000.0,43222327000.0,43296965000.0,35223593000.0,42559087000.0,43717628000.0
2045.0,43410862000.0,45230846000.0,41895910000.0,42294743000.0,42182800000.0,42654302000.0,42982687000.0,34342748000.0,42187870000.0,43568570000.0
2046.0,42833834000.0,44364304000.0,41335538000.0,41834086000.0,41922720000.0,42576376000.0,42664583000.0,33417280000.0,41744454000.0,43276520000.0
2047.0,42794705000.0,45212148000.0,41192636000.0,41388850000.0,41561706000.0,41992884000.0,42418934000.0,32290028000.0,41864593000.0,43356066000.0
2048.0,44570116000.0,44080000000.0,40552640000.0,41016955000.0,41278575000.0,41406980000.0,42134847000.0,31337085000.0,41083204000.0,43075730000.0
2049.0,41999770000.0,43482620000.0,40105206000.0,40776565000.0,40910655000.0,40990446000.0,41868947000.0,30037520000.0,40799412000.0,42509914000.0
2050.0,41710887000.0,43428045000.0,39829210000.0,40355275000.0,40745070000.0,40588505000.0,41525645000.0,28967983000.0,40460108000.0,42136860000.0
2051.0,41413850000.0,43110535000.0,40520270000.0,40322703000.0,40457380000.0,40161080000.0,41148180000.0,27912129000.0,39926428000.0,41903130000.0
2052.0,41104945000.0,42818724000.0,39151825000.0,39687500000.0,40118580000.0,39691880000.0,40795906000.0,26988620000.0,39644120000.0,41656435000.0
2053.0,40689156000.0,42480636000.0,38572986000.0,39473713000.0,39815340000.0,39523946000.0,40496380000.0,26108002000.0,39283974000.0,41700737000.0
2054.0,40323300000.0,42620465000.0,38128984000.0,38915650000.0,39453217000.0,38993750000.0,40447422000.0,24921272000.0,38971937000.0,41232966000.0
2055.0,39864988000.0,42594400000.0,37711094000.0,38537703000.0,39124480000.0,38604677000.0,39902474000.0,23954625000.0,38756500000.0,41280356000.0
2056.0,39642520000.0,42025554000.0,37340516000.0,38210806000.0,39015387000.0,38226047000.0,39675703000.0,22892750000.0,38282310000.0,40944374000.0
2057.0,39485020000.0,42337026000.0,36876976000.0,38172824000.0,39275975000.0,37687820000.0,39857530000.0,22171265000.0,38185300000.0,40598376000.0
2058.0,39458066000.0,42621665000.0,36710500000.0,37707215000.0,39272380000.0,38144200000.0,39015834000.0,21602146000.0,37684503000.0,41014784000.0
2059.0,38798290000.0,42208970000.0,36380107000.0,37277670000.0,38271996000.0,37003970000.0,38730690000.0,20851476000.0,37288720000.0,40431305000.0
2060.0,38835420000.0,42268020000.0,36124905000.0,37097943000.0,38115623000.0,36597453000.0,38392697000.0,20196174000.0,36853006000.0,40106476000.0
2061.0,38312202000.0,41774424000.0,35299254000.0,36692693000.0,37779755000.0,36242158000.0,38037130000.0,19641098000.0,36893946000.0,40072200000.0
2062.0,39203115000.0,41523110000.0,34981904000.0,36247044000.0,37760942000.0,35902505000.0,37754670000.0,19030790000.0,36556222000.0,39702446000.0
2063.0,39132344000.0,41631314000.0,34322889000.0,36005820000.0,37365756000.0,35805470000.0,37468504000.0,18606336000.0,35957617000.0,39618945000.0
2064.0,38473550000.0,42124714000.0,33837058000.0,35838484000.0,37245678000.0,37270114000.0,37214863000.0,18013841000.0,35624903000.0,39745070000.0
2065.0,38146265000.0,41404630000.0,33629327000.0,35461927000.0,37341120000.0,35551007000.0,36895453000.0,17506337000.0,35842390000.0,39214182000.0
2066.0,39211377000.0,41389130000.0,33132829000.0,35135295000.0,37500223000.0,34869480000.0,36669500000.0,16974493000.0,35221670000.0,39110890000.0
2067.0,38206160000.0,42719310000.0,32796004000.0,34828493000.0,36797290000.0,34570360000.0,36325786000.0,16601878000.0,34845030000.0,38848200000.0
2068.0,38003945000.0,41254752000.0,33938485000.0,34552365000.0,36529210000.0,34137983000.0,35953705000.0,16246915000.0,34544430000.0,38503563000.0
2069.0,39499130000.0,41238745000.0,32277713000.0,34631795000.0,36199735000.0,33796895000.0,35618240000.0,15762204000.0,34235873000.0,38347950000.0
2070.0,37503533000.0,40991310000.0,31837520000.0,34184139000.0,36950400000.0,33497307000.0,35563917000.0,15363421000.0,34036064000.0,38015377000.0
2071.0,37528814000.0,41569500000.0,31671896000.0,33825395000.0,35918184000.0,33519124000.0,34990354000.0,14997088000.0,33635631000.0,38355970000.0
2072.0,37943296000.0,40823450000.0,31264115000.0,33625356000.0,35561260000.0,32817805000.0,35223980000.0,14651034000.0,33803528000.0,37947330000.0
2073.0,40638296000.0,42469306000.0,30979944000.0,33650346000.0,35376038000.0,32599750000.0,36600455000.0,14355823000.0,33878510000.0,38458634000.0
2074.0,40465130000.0,42760150000.0,31635753000.0,33167843000.0,35640353000.0,32252525000.0,36646175000.0,13985780000.0,33506697000.0,38069846000.0
2075.0,40475226000.0,41844556000.0,30522905000.0,33116256000.0,35466000000.0,32334066000.0,35801686000.0,13704396000.0,33265640000.0,37392364000.0
2076.0,38556350000.0,40866284000.0,30713660000.0,32610918000.0,35376005000.0,31571046000.0,34310875000.0,13449320000.0,32692972000.0,37838150000.0
2077.0,38027854000.0,40449036000.0,30265727000.0,32348062000.0,34752356000.0,32229919000.0,33922087000.0,13142851000.0,32658910000.0,37157400000.0
2078.0,38027960000.0,40610750000.0,29882403000.0,32024801000.0,34820970000.0,32094706000.0,33809336000.0,12912869000.0,32698823000.0,39851680000.0
2079.0,37684183000.0,40817787000.0,30042896000.0,31846007000.0,34415410000.0,31044760000.0,33584372000.0,12700329000.0,32051487000.0,40238068000.0
2080.0,37294703000.0,40268427000.0,29624312000.0,31440951000.0,34098893000.0,30846044000.0,33237955000.0,12503299000.0,31690172000.0,38539014000.0
2081.0,37923650000.0,40035365000.0,29697675000.0,31256187000.0,33945040000.0,30597255000.0,33016410000.0,12217171000.0,31430838000.0,37375290000.0
2082.0,40211170000.0,40503260000.0,29226562000.0,31183018000.0,34004513000.0,30994164000.0,33510530000.0,12024024000.0,31406477000.0,37599322000.0
2083.0,37656113000.0,40393830000.0,28850831000.0,31200688000.0,34222213000.0,31129276000.0,32730374000.0,11871797000.0,31068439000.0,38426456000.0
2084.0,36983054000.0,40572620000.0,28727796000.0,30729687000.0,33643946000.0,30645367000.0,32838060000.0,11666273000.0,31608594000.0,37630566000.0
2085.0,36711100000.0,40021330000.0,29918087000.0,30413746000.0,33465600000.0,29869728000.0,32270612000.0,11518486000.0,31117822000.0,37280215000.0
2086.0,37519503000.0,40019360000.0,28780122000.0,30226438000.0,34278850000.0,29367083000.0,32089932000.0,11551761000.0,30999175000.0,36922864000.0
2087.0,38726310000.0,40162464000.0,28000639000.0,29977300000.0,34165830000.0,29166565000.0,31954209000.0,11222499000.0,30433673000.0,36594786000.0
2088.0,38957322000.0,39726313000.0,28024306000.0,29682921000.0,34354717000.0,30697611000.0,31887196000.0,11084659000.0,31224660000.0,37534620000.0
2089.0,41437053000.0,39622984000.0,29246546000.0,29573915000.0,35977180000.0,29121729000.0,31619824000.0,10955866000.0,33190693000.0,37396350000.0
2090.0,38428533000.0,39527973000.0,27576134000.0,29303749000.0,33892807000.0,28618453000.0,31482490000.0,10847759000.0,31372718000.0,36954206000.0
2091.0,37168034000.0,39701103000.0,28595862000.0,29314480000.0,33156358000.0,28321872000.0,31234744000.0,10649021000.0,30626468000.0,37205987000.0
2092.0,36962796000.0,40472072000.0,27476955000.0,28927349000.0,33023656000.0,28118847000.0,31873323000.0,10524878000.0,30799370000.0,37659947000.0
2093.0,39675380000.0,40707520000.0,27732468000.0,28709798000.0,33149356000.0,27989400000.0,31083385000.0,10532652000.0,30097930000.0,36541970000.0
2094.0,37029770000.0,39764020000.0,27625607000.0,28538448000.0,33220315000.0,28057625000.0,31088796000.0,10378561000.0,29877748000.0,37736970000.0
2095.0,36751598000.0,39670610000.0,27247884000.0,28546075000.0,33192184000.0,27682066000.0,30856405000.0,10279395000.0,29576235000.0,37738578000.0
2096.0,36776915000.0,39896895000.0,36335608000.0,28258574000.0,32800496000.0,28451592000.0,30777778000.0,10139592000.0,29619380000.0,37700313000.0
2097.0,37910114000.0,40817885000.0,31178945000.0,28145236000.0,32877662000.0,27268643000.0,30647587000.0,10037542000.0,29143822000.0,37076623000.0
2098.0,37159907000.0,40388223000.0,30412296000.0,28019341000.0,33111568000.0,28360083000.0,31098315000.0,9944924000.0,31456946000.0,36724036000.0
2099.0,38729298000.0,40668365000.0,28432323000.0,27890622000.0,32664752000.0,27247220000.0,31660734000.0,9848711000.0,29849790000.0,37221390000.0
2100.0,36841865000.0,39639986000.0,28479170000.0,28357183000.0,32211331000.0,27764036000.0,31636226000.0,9797223000.0,29414031000.0,37146448000.0
