time,CCSM4,CNRM-CM5,CSIRO-MK3-6-0,CANESM2,NORESM1-M,MPI-ESM-LR,CESM1-CAM5,GFDL-ESM2G,IPSL-CM5A-LR,GISS-E2-R,GFDL-CM3
2000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0
2001.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0
2002.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0
2003.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0
2004.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0
2005.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0
2006.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0
2007.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0
2008.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0
2009.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0
2010.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0
2011.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0
2012.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0
2013.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0
2014.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0
2015.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0
2016.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0
2017.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0
2018.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0
2019.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0
2020.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0
2021.0,48896320000.0,48901833000.0,48856190000.0,49293152000.0,48706933000.0,48946910000.0,48833390000.0,48860025000.0,49003266000.0,49117237000.0,48632173000.0
2022.0,48695700000.0,48612925000.0,48564290000.0,48775606000.0,48526000000.0,48922243000.0,48740820000.0,49030513000.0,48591470000.0,48905940000.0,48382333000.0
2023.0,48674530000.0,48601903000.0,48333353000.0,48582095000.0,48306655000.0,48592695000.0,48499655000.0,49061585000.0,48482320000.0,48736993000.0,48127943000.0
2024.0,49050407000.0,48314696000.0,48143260000.0,48421160000.0,48237654000.0,48281928000.0,48561900000.0,48698790000.0,48433095000.0,48624603000.0,47788044000.0
2025.0,48363150000.0,48169296000.0,48188633000.0,48120066000.0,47907360000.0,48035110000.0,48539804000.0,48426504000.0,48205870000.0,48722903000.0,47436330000.0
2026.0,48182813000.0,48083956000.0,47753708000.0,47813886000.0,47710106000.0,47973745000.0,48479257000.0,48198150000.0,47986287000.0,48380342000.0,47066317000.0
2027.0,47863590000.0,47965910000.0,47511433000.0,47461260000.0,47399880000.0,47615234000.0,48043990000.0,47972766000.0,47744750000.0,48320303000.0,46632395000.0
2028.0,47681100000.0,47597560000.0,47319216000.0,47105372000.0,47202955000.0,47345074000.0,47879684000.0,47900500000.0,47526900000.0,48104735000.0,46235700000.0
2029.0,47404667000.0,47333910000.0,47141420000.0,46879465000.0,46949093000.0,47088947000.0,47713374000.0,47518654000.0,47288140000.0,47948610000.0,45743714000.0
2030.0,47246070000.0,47159697000.0,46874440000.0,46725415000.0,46658986000.0,47001424000.0,47565115000.0,47247237000.0,47003860000.0,47701955000.0,45145113000.0
2031.0,47044497000.0,46902915000.0,46645326000.0,46302663000.0,46477400000.0,46749550000.0,47364866000.0,47122215000.0,46635274000.0,47501450000.0,44569010000.0
2032.0,46789018000.0,46652477000.0,46339473000.0,45945050000.0,46065540000.0,46917850000.0,47032754000.0,46841614000.0,46369760000.0,47214285000.0,43860677000.0
2033.0,47100230000.0,46808756000.0,46073324000.0,45601964000.0,45763084000.0,46303007000.0,46753010000.0,46636724000.0,46031300000.0,46897398000.0,43047550000.0
2034.0,46343918000.0,46269580000.0,45688030000.0,45190975000.0,45429895000.0,46395163000.0,46635258000.0,46775914000.0,45692350000.0,46778890000.0,42258846000.0
2035.0,45988114000.0,45907550000.0,45279236000.0,44766437000.0,44992623000.0,45608590000.0,46374887000.0,46562165000.0,45316264000.0,46821253000.0,41609510000.0
2036.0,45908890000.0,45640220000.0,44888048000.0,44258075000.0,44620653000.0,45274170000.0,46220915000.0,46468580000.0,44718940000.0,46338073000.0,40884240000.0
2037.0,45500932000.0,45399425000.0,44425724000.0,43676647000.0,44353937000.0,44959777000.0,45705507000.0,45829153000.0,44178657000.0,46024330000.0,40053137000.0
2038.0,45187430000.0,45059932000.0,44171670000.0,43717170000.0,43986235000.0,46880006000.0,45713500000.0,45693630000.0,43691684000.0,45791030000.0,39291650000.0
2039.0,44793490000.0,44649005000.0,43724304000.0,42726134000.0,43480350000.0,44439245000.0,45211160000.0,45259370000.0,43206337000.0,45482110000.0,38403440000.0
2040.0,44431868000.0,44199666000.0,43096863000.0,42206960000.0,43150483000.0,44266550000.0,44946117000.0,44815995000.0,42756490000.0,45186843000.0,37510455000.0
2041.0,44024320000.0,43857494000.0,42712523000.0,41763635000.0,42717405000.0,43580730000.0,44512915000.0,44684534000.0,42135600000.0,44825588000.0,36495820000.0
2042.0,43575170000.0,43716260000.0,42109006000.0,41187398000.0,42124046000.0,43133610000.0,44057120000.0,44478935000.0,41664920000.0,44555436000.0,35484013000.0
2043.0,43226853000.0,43417650000.0,41645535000.0,40694140000.0,41651134000.0,42737164000.0,43653640000.0,44555928000.0,41179914000.0,44215980000.0,34438430000.0
2044.0,42808586000.0,43176784000.0,41010610000.0,40043890000.0,41282933000.0,42451670000.0,43243987000.0,44182573000.0,40570356000.0,44013030000.0,33462682000.0
2045.0,42446750000.0,42735632000.0,40423090000.0,39259554000.0,41663410000.0,43138970000.0,42871144000.0,43634830000.0,39960220000.0,43599560000.0,32622346000.0
2046.0,42001342000.0,42535130000.0,39780135000.0,38379500000.0,40528384000.0,41671967000.0,42354040000.0,43110523000.0,39327347000.0,43330503000.0,31751719000.0
2047.0,41442560000.0,42036343000.0,39066080000.0,38458647000.0,39840076000.0,41186150000.0,41917546000.0,42728840000.0,38661046000.0,42966110000.0,30706903000.0
2048.0,41081000000.0,41613115000.0,38383178000.0,37154800000.0,39413950000.0,40729540000.0,41686905000.0,42506900000.0,38280946000.0,42603954000.0,29581010000.0
2049.0,40610697000.0,41121910000.0,37724230000.0,36374536000.0,38929658000.0,40238910000.0,41204118000.0,42169385000.0,37394096000.0,42142118000.0,28475206000.0
2050.0,40038638000.0,40841340000.0,37181180000.0,35797914000.0,38296605000.0,39856470000.0,40753242000.0,41927483000.0,36564525000.0,41696590000.0,27491473000.0
2051.0,39571180000.0,40384627000.0,36528020000.0,35007290000.0,37694943000.0,39277912000.0,40331665000.0,41646780000.0,35985060000.0,41265025000.0,26586081000.0
2052.0,39086236000.0,39914906000.0,36129063000.0,34465096000.0,37105180000.0,39200830000.0,40450875000.0,41089300000.0,35272778000.0,40788000000.0,25480591000.0
2053.0,38795997000.0,39425890000.0,35463025000.0,33588435000.0,36596550000.0,38428148000.0,39853576000.0,41249650000.0,34680513000.0,40438200000.0,24423369000.0
2054.0,38543860000.0,39104057000.0,34950340000.0,33246790000.0,36126593000.0,37854097000.0,39313527000.0,40804393000.0,33973221000.0,40127345000.0,23382917000.0
2055.0,38069670000.0,38736600000.0,34608570000.0,32094070000.0,35424380000.0,37404635000.0,38836994000.0,40278930000.0,33321267000.0,39665710000.0,22385859000.0
2056.0,37592120000.0,38192132000.0,33721473000.0,31327355000.0,34857040000.0,36938965000.0,38364180000.0,40057930000.0,32807293000.0,39263633000.0,21493207000.0
2057.0,37060612000.0,37752860000.0,32880523000.0,30667956000.0,34207687000.0,36302200000.0,37904617000.0,39709704000.0,32157010000.0,38882800000.0,20784953000.0
2058.0,36699070000.0,37335376000.0,32114694000.0,30009356000.0,33776642000.0,35819410000.0,37589160000.0,39403344000.0,31409306000.0,38306214000.0,20046686000.0
2059.0,36299452000.0,36904270000.0,31420324000.0,29362203000.0,33115480000.0,36866560000.0,37256650000.0,39241910000.0,30920460000.0,37887455000.0,19139723000.0
2060.0,35781390000.0,36507630000.0,30971834000.0,28937110000.0,32637598000.0,34869424000.0,36630077000.0,38748004000.0,30241850000.0,37594124000.0,18465872000.0
2061.0,35376775000.0,35975315000.0,30752326000.0,28402231000.0,32207501000.0,34608566000.0,36558836000.0,38466190000.0,29659537000.0,36947140000.0,17895678000.0
2062.0,35084526000.0,35597980000.0,29714547000.0,27699968000.0,31639138000.0,34266628000.0,35767337000.0,38189244000.0,29016660000.0,36480315000.0,17103580000.0
2063.0,34557320000.0,35230142000.0,29021557000.0,26961828000.0,31165616000.0,34507497000.0,35206554000.0,37832524000.0,28499212000.0,36083417000.0,16532139000.0
2064.0,34543520000.0,34839510000.0,28495303000.0,26276823000.0,30603686000.0,33541394000.0,34684445000.0,37439910000.0,27888440000.0,35889480000.0,15904468000.0
2065.0,33930312000.0,34540564000.0,27892294000.0,25691255000.0,30043716000.0,33050212000.0,34253345000.0,37991064000.0,27254395000.0,35131585000.0,15309937000.0
2066.0,33502642000.0,34169676000.0,27309406000.0,25062558000.0,29532176000.0,32458793000.0,34092020000.0,37344244000.0,26687267000.0,34502800000.0,14780571000.0
2067.0,32798013000.0,33757890000.0,26717114000.0,24640055000.0,28981473000.0,32024936000.0,33719314000.0,37385710000.0,26112150000.0,34101629000.0,14251004000.0
2068.0,32401234000.0,33395943000.0,26171677000.0,24093071000.0,28575170000.0,31543880000.0,33162699000.0,36951420000.0,25587546000.0,33642770000.0,13820795000.0
2069.0,32130191000.0,33026996000.0,25728614000.0,23422468000.0,27935037000.0,31015442000.0,32674605000.0,36746430000.0,25126795000.0,33235569000.0,13381091000.0
2070.0,32032637000.0,32563876000.0,24978168000.0,22863983000.0,27454788000.0,31200560000.0,32313920000.0,36230218000.0,24704788000.0,32929507000.0,13013826000.0
2071.0,31413473000.0,32709505000.0,24483994000.0,22466753000.0,27028183000.0,31667812000.0,31766750000.0,36109062000.0,24172407000.0,32612270000.0,12595483000.0
2072.0,30995069000.0,31980900000.0,23844674000.0,22211594000.0,26649373000.0,29961306000.0,31311921000.0,36220450000.0,23688671000.0,32067082000.0,12150272000.0
2073.0,30538318000.0,31630508000.0,23527795000.0,21565127000.0,26218461000.0,29524408000.0,31010441000.0,35792663000.0,23151127000.0,31798049000.0,11810205000.0
2074.0,30056464000.0,31264086000.0,22930334000.0,21125495000.0,25794820000.0,29003980000.0,30652244000.0,36512436000.0,22580430000.0,31403657000.0,11520257000.0
2075.0,29704310000.0,30820440000.0,22411868000.0,20723788000.0,25401758000.0,28575500000.0,30252376000.0,35446180000.0,22238806000.0,31007652000.0,11167075000.0
2076.0,29334780000.0,30434343000.0,21997142000.0,20349747000.0,25001744000.0,28016038000.0,29790708000.0,35405850000.0,21847611000.0,30626890000.0,10853054000.0
2077.0,29044605000.0,29972760000.0,21489672000.0,20022227000.0,24605129000.0,27644293000.0,29305844000.0,34901012000.0,21465717000.0,30329061000.0,10539895000.0
