time,CSIRO-MK3-6-0,CCSM4,NORESM1-M,GFDL-ESM2G,GISS-E2-R,IPSL-CM5A-LR,CESM1-CAM5,GFDL-CM3
2000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0,50376737000.0
2001.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0,50166284000.0
2002.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0,49946554000.0
2003.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0,50027330000.0
2004.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0,50967495000.0
2005.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0,50597577000.0
2006.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0,50583433000.0
2007.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0,50022710000.0
2008.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0,49797444000.0
2009.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0,49743850000.0
2010.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0,49780003000.0
2011.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0,50929030000.0
2012.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0,49750532000.0
2013.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0,49485423000.0
2014.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0,49434972000.0
2015.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0,49370540000.0
2016.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0,49333817000.0
2017.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0,49279762000.0
2018.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0,49310060000.0
2019.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0,49438204000.0
2020.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0,49206383000.0
2021.0,49069000000.0,48740510000.0,49507586000.0,49015484000.0,49223483000.0,49068974000.0,48902230000.0,48654940000.0
2022.0,48922220000.0,48667260000.0,48804168000.0,48754700000.0,48975670000.0,48861282000.0,48681673000.0,48384720000.0
2023.0,48693596000.0,48543310000.0,48620184000.0,48798814000.0,48702456000.0,49057153000.0,48495403000.0,48106828000.0
2024.0,48610087000.0,48237800000.0,48482550000.0,48606520000.0,48687407000.0,48606437000.0,48328348000.0,47798300000.0
2025.0,48407146000.0,48306260000.0,48288480000.0,48373125000.0,48436367000.0,48378970000.0,48249836000.0,47435387000.0
2026.0,48162304000.0,48021844000.0,48051060000.0,48102347000.0,48206336000.0,48431165000.0,48068400000.0,47015223000.0
2027.0,48004020000.0,47973564000.0,47904924000.0,47875596000.0,47961370000.0,48037544000.0,48048513000.0,46523093000.0
2028.0,47751635000.0,47676604000.0,47702086000.0,47632548000.0,47915663000.0,47844364000.0,47911637000.0,46083670000.0
2029.0,47816400000.0,47637800000.0,47423807000.0,47852212000.0,47809683000.0,47629566000.0,47679685000.0,45582100000.0
2030.0,47814885000.0,47482620000.0,47226278000.0,47505160000.0,47494320000.0,47387510000.0,47429685000.0,45111534000.0
2031.0,47347376000.0,48349704000.0,47210578000.0,47569048000.0,47452480000.0,47133078000.0,47161737000.0,44583797000.0
2032.0,47088510000.0,47742415000.0,47006405000.0,48481346000.0,47374954000.0,46911980000.0,47438647000.0,44038190000.0
2033.0,46933220000.0,47088610000.0,46599200000.0,47438787000.0,47058660000.0,46673120000.0,47045450000.0,43461730000.0
2034.0,46681030000.0,46759084000.0,46356886000.0,46832443000.0,46910513000.0,46383485000.0,46599110000.0,42837385000.0
2035.0,46602750000.0,46566334000.0,46144740000.0,47529366000.0,46651175000.0,46027380000.0,46303298000.0,42172690000.0
2036.0,46421905000.0,46290990000.0,45895954000.0,47071617000.0,46465536000.0,45708206000.0,46085636000.0,41455710000.0
2037.0,46125800000.0,46062318000.0,45575217000.0,47009264000.0,46186783000.0,45371140000.0,45748130000.0,40796873000.0
2038.0,45864923000.0,45746450000.0,45629575000.0,46518284000.0,45868044000.0,44985670000.0,45538427000.0,39966835000.0
2039.0,45518380000.0,45428167000.0,45074653000.0,46220804000.0,45630030000.0,44618084000.0,45352194000.0,39060083000.0
2040.0,45281284000.0,45133427000.0,44687884000.0,46392242000.0,45306974000.0,44145300000.0,45110840000.0,38242152000.0
2041.0,44934595000.0,44717320000.0,44412994000.0,46127935000.0,45033050000.0,43799450000.0,44877267000.0,37517400000.0
2042.0,44722946000.0,44419154000.0,44015790000.0,45606130000.0,44779966000.0,43415880000.0,44432080000.0,36688667000.0
2043.0,44485603000.0,44069080000.0,43704435000.0,45440012000.0,44526390000.0,43081390000.0,44078010000.0,36060762000.0
2044.0,44123255000.0,44619977000.0,43341783000.0,45129740000.0,44480080000.0,42576302000.0,43677184000.0,34945490000.0
2045.0,43737362000.0,43445120000.0,43021726000.0,44790490000.0,44244365000.0,42159070000.0,43348680000.0,34097189000.0
2046.0,43431424000.0,43150635000.0,42697515000.0,44668990000.0,43825684000.0,41726700000.0,43179340000.0,33233914000.0
2047.0,43113505000.0,42872095000.0,42303450000.0,45183234000.0,43428475000.0,41175015000.0,42660008000.0,32474223000.0
2048.0,42942110000.0,42510720000.0,42083120000.0,44574237000.0,43174875000.0,40628015000.0,42491888000.0,31610616000.0
2049.0,42534027000.0,42172105000.0,41705090000.0,44734968000.0,42854375000.0,39896040000.0,42072252000.0,30725366000.0
2050.0,42600923000.0,41693450000.0,41405354000.0,44070900000.0,42485027000.0,39343420000.0,41619747000.0,29958552000.0
2051.0,41997800000.0,41345696000.0,40945172000.0,45329924000.0,42069500000.0,38884106000.0,41229010000.0,29162172000.0
2052.0,41499920000.0,41084813000.0,40466180000.0,44551512000.0,41952158000.0,38388003000.0,41082380000.0,28247687000.0
2053.0,41042630000.0,40742744000.0,40178024000.0,43513980000.0,41580110000.0,37798273000.0,40635597000.0,27497280000.0
2054.0,40598770000.0,40219087000.0,39766434000.0,43040297000.0,41261126000.0,37187293000.0,40246804000.0,26673631000.0
2055.0,40140460000.0,39819993000.0,39325990000.0,42464860000.0,40916935000.0,36553730000.0,40215335000.0,25759930000.0
2056.0,39785943000.0,39523156000.0,38840280000.0,42378770000.0,40565236000.0,35963093000.0,40556052000.0,24853311000.0
2057.0,39213180000.0,39072720000.0,38429080000.0,41903206000.0,40085700000.0,35423240000.0,39568590000.0,24007420000.0
2058.0,38774680000.0,38622757000.0,37970616000.0,41306860000.0,39772230000.0,34826700000.0,39078924000.0,23210994000.0
2059.0,38505386000.0,38201810000.0,37672317000.0,40935510000.0,39614890000.0,34366775000.0,39740805000.0,22466230000.0
2060.0,37888295000.0,37710920000.0,37236666000.0,40342530000.0,39199695000.0,33979390000.0,39067550000.0,21785467000.0
2061.0,37288820000.0,37405954000.0,36954604000.0,39755690000.0,38847010000.0,33366110000.0,38204445000.0,21004399000.0
2062.0,36730690000.0,36953850000.0,36669178000.0,39413430000.0,38485620000.0,32971078000.0,37683085000.0,20347517000.0
2063.0,36203660000.0,36553250000.0,36096045000.0,38917070000.0,38115283000.0,32380645000.0,37354910000.0,19579296000.0
2064.0,35634400000.0,36165026000.0,35711807000.0,38554034000.0,37754430000.0,31885328000.0,37037937000.0,18895694000.0
2065.0,35154560000.0,35717700000.0,35332534000.0,38398690000.0,37412864000.0,31364334000.0,36653756000.0,18305260000.0
2066.0,34764526000.0,35292963000.0,34954210000.0,37707903000.0,37173383000.0,30819727000.0,36176500000.0,17795555000.0
2067.0,34494337000.0,34786800000.0,34362675000.0,37044320000.0,36897604000.0,30273266000.0,35752910000.0,17214484000.0
2068.0,33583608000.0,34260564000.0,34037766000.0,36629697000.0,36508760000.0,29738684000.0,35340812000.0,16648651000.0
2069.0,33207960000.0,33736100000.0,33427250000.0,36060910000.0,36224344000.0,29230980000.0,34849310000.0,16161456000.0
2070.0,32481210000.0,33270016000.0,32980204000.0,35410387000.0,35838670000.0,28691608000.0,34370916000.0,15506521000.0
2071.0,31700435000.0,32816890000.0,32472035000.0,34941900000.0,35559850000.0,28247155000.0,33952154000.0,15042805000.0
2072.0,31233760000.0,32259910000.0,31901930000.0,34429587000.0,35253514000.0,27724712000.0,33526077000.0,14534536000.0
2073.0,30986123000.0,31680516000.0,31395120000.0,33938780000.0,34992304000.0,27255980000.0,33178413000.0,14090611000.0
