time,NORESM1-M,CANESM2,CNRM-CM5,CSIRO-MK3-6-0,CCSM4,GFDL-ESM2G,MPI-ESM-LR,GISS-E2-R,IPSL-CM5A-LR,GFDL-CM3
2030.0,46525596000.0,46713537000.0,47236110000.0,46512865000.0,46985700000.0,47869670000.0,47732523000.0,47301140000.0,46808520000.0,45583180000.0
2031.0,46120915000.0,46203224000.0,46955446000.0,46373876000.0,46663266000.0,47394714000.0,47481913000.0,47013600000.0,46504653000.0,44999254000.0
2032.0,45814915000.0,46013133000.0,46710530000.0,45983437000.0,46249607000.0,47560946000.0,47152840000.0,46740144000.0,46159330000.0,44193317000.0
2033.0,45438410000.0,45689815000.0,46462060000.0,45471846000.0,46007427000.0,47081226000.0,46917374000.0,46452437000.0,45761356000.0,43622300000.0
2034.0,45013164000.0,45193994000.0,46164623000.0,44936620000.0,45868210000.0,46801150000.0,46699106000.0,46155465000.0,45385920000.0,42828770000.0
2035.0,44633817000.0,44679250000.0,45898500000.0,44475343000.0,45332783000.0,46328082000.0,46833017000.0,45907220000.0,44915593000.0,42005434000.0
2036.0,44211397000.0,44241680000.0,45646520000.0,44099510000.0,44927144000.0,45873533000.0,46168465000.0,45498410000.0,44321923000.0,41091090000.0
2037.0,43856294000.0,43777800000.0,45357097000.0,43502604000.0,44589195000.0,45599076000.0,45812933000.0,45109125000.0,43734390000.0,40254210000.0
2038.0,43490290000.0,43243750000.0,45018650000.0,42864940000.0,44193665000.0,45240857000.0,45518893000.0,44686640000.0,43119075000.0,39301046000.0
2039.0,43014040000.0,42705273000.0,44682502000.0,42223084000.0,43759460000.0,44903700000.0,45168970000.0,44241097000.0,42517766000.0,37994420000.0
2040.0,42506367000.0,42017473000.0,44361056000.0,41466010000.0,43247610000.0,44887097000.0,44769700000.0,43661420000.0,41786327000.0,36801405000.0
2041.0,41996984000.0,41318883000.0,43902095000.0,40782670000.0,42764120000.0,45109293000.0,44336062000.0,43240220000.0,41121305000.0,35602514000.0
2042.0,41376174000.0,41002900000.0,43577250000.0,39970128000.0,42351740000.0,44188942000.0,43845580000.0,42724170000.0,40408723000.0,34219141000.0
2043.0,40776294000.0,40110550000.0,43113490000.0,39206945000.0,41838133000.0,43676200000.0,43540060000.0,42148830000.0,39734493000.0,32748368000.0
2044.0,40231514000.0,39392244000.0,42791530000.0,38528303000.0,41216850000.0,43531166000.0,43136590000.0,41672200000.0,38982865000.0,31556547000.0
2045.0,39631430000.0,38574670000.0,42249093000.0,37717640000.0,40599933000.0,43120718000.0,42591977000.0,41222050000.0,38065164000.0,30459234000.0
2046.0,38920220000.0,37889085000.0,41838055000.0,37090000000.0,39996924000.0,42579440000.0,41905670000.0,40616240000.0,36986323000.0,29011857000.0
2047.0,38315147000.0,36950417000.0,41471017000.0,36329160000.0,39407075000.0,42041786000.0,41202176000.0,39947272000.0,35991540000.0,27724761000.0
2048.0,37876298000.0,36157956000.0,40941210000.0,35399920000.0,38747050000.0,41612796000.0,40726327000.0,39340100000.0,35220360000.0,26617055000.0
2049.0,37198262000.0,35245130000.0,40497870000.0,34563568000.0,38238240000.0,41229468000.0,40006316000.0,38721737000.0,34239074000.0,25417693000.0
2050.0,36433810000.0,34242468000.0,40006984000.0,33772245000.0,37649134000.0,40939270000.0,39428436000.0,38403920000.0,33394926000.0,24043745000.0
2051.0,35916317000.0,33238956000.0,39564150000.0,32826802000.0,36959010000.0,40440713000.0,38801666000.0,37578027000.0,32481937000.0,23117425000.0
2052.0,35259560000.0,32244519000.0,39032880000.0,32301890000.0,36311273000.0,39824093000.0,38191505000.0,36940968000.0,31586417000.0,21991283000.0
2053.0,34478014000.0,31161942000.0,38629070000.0,31400790000.0,35737710000.0,39600470000.0,37564068000.0,36306825000.0,30654350000.0,20991250000.0
2054.0,33841687000.0,30230325000.0,38010073000.0,30709936000.0,35225200000.0,39013216000.0,36966070000.0,35770843000.0,29626480000.0,19932137000.0
