time,GFDL-CM3,GISS-E2-R,CCSM4,CSIRO-MK3-6-0,IPSL-CM5A-LR,GFDL-ESM2G,NORESM1-M,CESM1-CAM5
2044.0,103003310000.0,104284740000.0,103467490000.0,103662750000.0,103810750000.0,103700800000.0,103353660000.0,101558110000.0
2045.0,102940680000.0,104099080000.0,103319870000.0,103596210000.0,103726150000.0,103595140000.0,103360750000.0,101323940000.0
2046.0,102802416000.0,103966050000.0,103209890000.0,103490880000.0,103623885000.0,103785140000.0,103182930000.0,100981260000.0
2047.0,102723805000.0,103913480000.0,103212660000.0,103420630000.0,103505800000.0,103665430000.0,103097620000.0,100627130000.0
2048.0,102591850000.0,103821430000.0,103135110000.0,103363490000.0,103419530000.0,103490020000.0,102919320000.0,100226490000.0
2049.0,102424855000.0,103691354000.0,102983420000.0,103333044000.0,103351620000.0,103414820000.0,103248910000.0,100050280000.0
2050.0,102351320000.0,103649040000.0,102873830000.0,103222755000.0,103259250000.0,103364490000.0,102843120000.0,99681690000.0
2051.0,102205840000.0,103606700000.0,102764220000.0,103371780000.0,103260410000.0,103251510000.0,102849100000.0,99243850000.0
2052.0,102060655000.0,103575780000.0,102647870000.0,103089005000.0,103282560000.0,103184680000.0,102675100000.0,98814780000.0
2053.0,101889565000.0,103891200000.0,102481854000.0,102965770000.0,103067500000.0,103098380000.0,102559010000.0,98301620000.0
2054.0,101720910000.0,103537960000.0,102315790000.0,102887720000.0,102927884000.0,103026835000.0,102491410000.0,98000310000.0
2055.0,101518450000.0,103513550000.0,102194420000.0,102731050000.0,102849950000.0,102916040000.0,102380240000.0,97605960000.0
2056.0,101323014000.0,103505340000.0,102031720000.0,102698320000.0,102765306000.0,102828290000.0,102259065000.0,97093520000.0
2057.0,101126110000.0,103443080000.0,102020160000.0,102769440000.0,102985220000.0,102783795000.0,102021900000.0,96588190000.0
2058.0,100914630000.0,103367960000.0,101834180000.0,102542240000.0,102798170000.0,102619390000.0,101914580000.0,96570606000.0
2059.0,100633550000.0,103286874000.0,101660870000.0,102414434000.0,102483616000.0,102504410000.0,101754390000.0,95934185000.0
2060.0,100384860000.0,103209400000.0,101517435000.0,102462390000.0,102323750000.0,102440124000.0,101582860000.0,95476210000.0
2061.0,100192680000.0,103180360000.0,101340496000.0,102284430000.0,102443910000.0,102309540000.0,101453270000.0,94883470000.0
2062.0,99908420000.0,103021216000.0,101097340000.0,102201890000.0,102826530000.0,102151310000.0,101360520000.0,94295760000.0
2063.0,99609370000.0,102875415000.0,100968940000.0,102121325000.0,102081260000.0,101986000000.0,101099180000.0,93804820000.0
2064.0,99286110000.0,102867110000.0,100744400000.0,102027870000.0,101768350000.0,102165670000.0,100866710000.0,93070180000.0
2065.0,98895110000.0,102881665000.0,100511380000.0,101954930000.0,101593950000.0,101796270000.0,100674200000.0,92422310000.0
2066.0,98762600000.0,102881960000.0,100284980000.0,101769495000.0,101424060000.0,101640460000.0,100469600000.0,91678500000.0
2067.0,98440585000.0,102831415000.0,100112286000.0,101597720000.0,101176730000.0,101597050000.0,100219625000.0,90920570000.0
2068.0,98068130000.0,102679040000.0,99890400000.0,101557740000.0,101066690000.0,101511684000.0,99985480000.0,90130990000.0
2069.0,97824240000.0,102480160000.0,99687530000.0,101504480000.0,100803396000.0,101278610000.0,99837970000.0,89348000000.0
2070.0,97636250000.0,102322380000.0,99463460000.0,101313110000.0,100745670000.0,101151380000.0,99986510000.0,88439520000.0
2071.0,97226700000.0,102210430000.0,99278480000.0,101222480000.0,100980285000.0,100972600000.0,99366680000.0,87807080000.0
2072.0,96940655000.0,103444414000.0,99122540000.0,101101535000.0,100356170000.0,100854850000.0,99188410000.0,87069630000.0
2073.0,96542030000.0,102274580000.0,98930810000.0,100974110000.0,100086910000.0,100673310000.0,99500950000.0,87088400000.0
2074.0,96088340000.0,102225340000.0,98782224000.0,101054685000.0,99945505000.0,100465200000.0,98853120000.0,86018260000.0
2075.0,95652670000.0,101937130000.0,98516000000.0,100723380000.0,99698310000.0,100293935000.0,98669560000.0,85098004000.0
2076.0,95385070000.0,101838840000.0,98367260000.0,100584310000.0,99536070000.0,100114670000.0,98392000000.0,84432730000.0
2077.0,94893790000.0,101651110000.0,97984045000.0,100709090000.0,99437250000.0,100106680000.0,98156265000.0,83888340000.0
2078.0,94520150000.0,101478970000.0,97644170000.0,100344400000.0,99236550000.0,100069280000.0,97845460000.0,83324090000.0
2079.0,94133670000.0,101353510000.0,97414560000.0,100130140000.0,98888430000.0,99887030000.0,98491690000.0,82352890000.0
2080.0,94001940000.0,101291460000.0,97161020000.0,100144730000.0,98652630000.0,99910340000.0,97389650000.0,81126630000.0
2081.0,93444450000.0,101274750000.0,96994400000.0,99805830000.0,99195910000.0,99707050000.0,97026570000.0,80452710000.0
2082.0,93060070000.0,101035360000.0,96638026000.0,99608490000.0,98241250000.0,99523390000.0,96602400000.0,80139985000.0
