time,GFDL-CM3,CCSM4,CANESM2,GISS-E2-R,IPSL-CM5A-LR,CSIRO-MK3-6-0,CNRM-CM5,GFDL-ESM2G,MPI-ESM-LR,NORESM1-M
2032.0,104062960000.0,104462010000.0,104191540000.0,104212100000.0,104433760000.0,104309000000.0,104083900000.0,104172930000.0,104280515000.0,104124100000.0
2033.0,103999410000.0,104364420000.0,104109320000.0,104278390000.0,104357700000.0,104254610000.0,104088780000.0,104117270000.0,104227170000.0,104077630000.0
2034.0,104000600000.0,104359280000.0,104036740000.0,104110195000.0,104334150000.0,104208840000.0,103989930000.0,104111290000.0,104166070000.0,103999110000.0
2035.0,103940000000.0,104255906000.0,103984120000.0,104166670000.0,104269040000.0,104153416000.0,104072135000.0,104024300000.0,104164925000.0,103961800000.0
2036.0,103861715000.0,104261740000.0,103962770000.0,104107470000.0,104182980000.0,104127080000.0,103837160000.0,104038640000.0,104182490000.0,103863525000.0
2037.0,103797514000.0,104163280000.0,103866320000.0,104002036000.0,104152030000.0,104319030000.0,103772180000.0,103964600000.0,104186650000.0,103799030000.0
2038.0,103694300000.0,104074460000.0,103819690000.0,103904330000.0,104077790000.0,104041180000.0,103658030000.0,103850480000.0,103962040000.0,103757460000.0
2039.0,103611690000.0,104115440000.0,103689675000.0,103844260000.0,104026380000.0,103982450000.0,103548270000.0,103954410000.0,103911110000.0,103662660000.0
2040.0,103517760000.0,104099455000.0,103596080000.0,103800420000.0,103927750000.0,103955320000.0,103437025000.0,103731360000.0,103843220000.0,103626050000.0
2041.0,103418100000.0,104011910000.0,103486480000.0,103706270000.0,103866670000.0,103838000000.0,103471110000.0,103610780000.0,103746220000.0,103540960000.0
2042.0,103298330000.0,103863680000.0,103347390000.0,103644290000.0,103785090000.0,103819510000.0,103256875000.0,103549250000.0,103937786000.0,103504536000.0
2043.0,103180075000.0,103795750000.0,103260226000.0,103558950000.0,103673830000.0,103695294000.0,103094710000.0,103513140000.0,103696510000.0,103365750000.0
2044.0,103014000000.0,103751260000.0,103164160000.0,103453640000.0,103591270000.0,103610730000.0,102990920000.0,103400040000.0,103518030000.0,103314326000.0
2045.0,102892410000.0,103655220000.0,103039710000.0,103262290000.0,103576850000.0,103476000000.0,102857380000.0,103308720000.0,103442110000.0,103163170000.0
2046.0,102688730000.0,103720500000.0,102807170000.0,103133130000.0,103589050000.0,103406650000.0,102783480000.0,103186070000.0,103334960000.0,103155430000.0
2047.0,102525420000.0,103484800000.0,102793100000.0,103015560000.0,103354130000.0,103365640000.0,102821510000.0,103052435000.0,103264666000.0,102933820000.0
2048.0,102312380000.0,103426050000.0,102522720000.0,102839110000.0,103271645000.0,103303110000.0,102480300000.0,102902040000.0,103178780000.0,102829010000.0
2049.0,102145910000.0,103313924000.0,102344960000.0,102639665000.0,103195890000.0,103273490000.0,103252080000.0,102813790000.0,102974280000.0,102716260000.0
2050.0,101918050000.0,103243800000.0,102231310000.0,102547100000.0,103069245000.0,103131650000.0,102421640000.0,102710714000.0,102843540000.0,102623200000.0
2051.0,101701360000.0,103144860000.0,102663455000.0,102495380000.0,102953840000.0,103071050000.0,102235685000.0,102565700000.0,102697886000.0,102503400000.0
2052.0,101417050000.0,103061700000.0,102471310000.0,102530520000.0,102769900000.0,102997400000.0,102055510000.0,102492980000.0,102605880000.0,102333280000.0
2053.0,101172270000.0,102955200000.0,101973750000.0,102392280000.0,102652080000.0,102912990000.0,101776700000.0,102729720000.0,102496530000.0,102158630000.0
2054.0,100962070000.0,102840620000.0,101909320000.0,102574390000.0,102508690000.0,102811880000.0,101609040000.0,102528900000.0,102328840000.0,102006686000.0
2055.0,100778860000.0,102736490000.0,101606890000.0,102185935000.0,102424625000.0,102742204000.0,101912265000.0,102601130000.0,102837084000.0,101923095000.0
2056.0,100464796000.0,102767580000.0,101269365000.0,101964980000.0,102304130000.0,102682200000.0,101288840000.0,102286690000.0,102210896000.0,101773100000.0
2057.0,100058320000.0,102563880000.0,101141680000.0,101870830000.0,102092450000.0,102586690000.0,101164020000.0,102102140000.0,102009140000.0,101570840000.0
2058.0,99656000000.0,102387320000.0,100911310000.0,101783350000.0,101888600000.0,102427190000.0,100802765000.0,101940080000.0,101871750000.0,101393710000.0
2059.0,99167945000.0,102290890000.0,100720110000.0,101820290000.0,101676440000.0,102287830000.0,100564090000.0,101812250000.0,101813930000.0,101304250000.0
2060.0,98773656000.0,102195750000.0,100404070000.0,101449700000.0,101444430000.0,102168010000.0,100265300000.0,101629395000.0,101669430000.0,101022500000.0
2061.0,98337110000.0,102079955000.0,100118634000.0,101234650000.0,101186440000.0,102041140000.0,100033700000.0,101517360000.0,101529420000.0,100885950000.0
2062.0,98174214000.0,102025250000.0,99926550000.0,101114150000.0,101079010000.0,101870870000.0,99599570000.0,101428540000.0,101299134000.0,100681840000.0
2063.0,97795630000.0,101856575000.0,99652470000.0,100913046000.0,100821110000.0,101780660000.0,99225180000.0,101271224000.0,101068190000.0,100467840000.0
2064.0,97226420000.0,101688240000.0,99416244000.0,100691510000.0,100440660000.0,101627400000.0,98875520000.0,101073870000.0,100895605000.0,100151770000.0
2065.0,96790405000.0,101475900000.0,99174330000.0,100501300000.0,100103540000.0,101524955000.0,98573830000.0,100930230000.0,100646030000.0,99870060000.0
2066.0,96354574000.0,101271400000.0,98834830000.0,100216700000.0,99909810000.0,101541626000.0,98213450000.0,100780650000.0,100425770000.0,99697760000.0
2067.0,95575130000.0,101133690000.0,99097990000.0,99977020000.0,100083810000.0,101271600000.0,98027990000.0,100579025000.0,100221330000.0,99375490000.0
2068.0,95109900000.0,100987580000.0,98385260000.0,99814760000.0,99503760000.0,101101730000.0,97822880000.0,100983110000.0,99952430000.0,99076400000.0
2069.0,94531390000.0,100812980000.0,97818080000.0,99474510000.0,99186230000.0,100889640000.0,97456980000.0,100424890000.0,99667214000.0,98718520000.0
2070.0,93969680000.0,100631560000.0,98280090000.0,99291250000.0,98988300000.0,100628840000.0,97081246000.0,100519240000.0,99516750000.0,98438280000.0
2071.0,93372010000.0,100400190000.0,97802486000.0,99152710000.0,98636860000.0,100410660000.0,96958400000.0,100190800000.0,99319546000.0,98042990000.0
2072.0,92689440000.0,100162580000.0,96816980000.0,99001150000.0,98245845000.0,100227670000.0,96517480000.0,99969160000.0,98987205000.0,97752270000.0
2073.0,92169320000.0,99998060000.0,96234340000.0,98849374000.0,97806190000.0,100029710000.0,96263750000.0,99810680000.0,98726190000.0,97374590000.0
2074.0,91848516000.0,99778430000.0,95790920000.0,98668225000.0,97403290000.0,99769570000.0,95818410000.0,99688310000.0,98512765000.0,96924410000.0
2075.0,90449440000.0,99519180000.0,95504210000.0,98728850000.0,97626100000.0,99735060000.0,95336505000.0,99481575000.0,98129040000.0,96547650000.0
2076.0,89767640000.0,99206970000.0,95105290000.0,98188980000.0,96787650000.0,99373290000.0,95010630000.0,99227380000.0,97847290000.0,96108690000.0
2077.0,89144656000.0,99078320000.0,94589650000.0,97784906000.0,96503830000.0,99096470000.0,94584410000.0,99017605000.0,97505255000.0,95669730000.0
2078.0,88451440000.0,98886270000.0,94168200000.0,97447160000.0,95949550000.0,99071180000.0,94218910000.0,98672540000.0,97253605000.0,95367800000.0
2079.0,87868056000.0,98678770000.0,93605724000.0,97084300000.0,95570090000.0,98608990000.0,93676030000.0,98551180000.0,96919280000.0,94974780000.0
2080.0,87051840000.0,98322540000.0,93130560000.0,96626880000.0,95084740000.0,98314440000.0,93226960000.0,98299970000.0,96591760000.0,94511415000.0
2081.0,86276510000.0,98088670000.0,92653970000.0,96431870000.0,94984130000.0,98180470000.0,92916830000.0,98090540000.0,96232000000.0,94134290000.0
2082.0,85534810000.0,97875430000.0,92114840000.0,95971310000.0,94722840000.0,97818526000.0,92437730000.0,97830690000.0,95913665000.0,93661225000.0
2083.0,84836590000.0,97741365000.0,91611260000.0,95747600000.0,94271590000.0,97573265000.0,92285805000.0,97693590000.0,95615590000.0,93253650000.0
2084.0,84165610000.0,97506390000.0,90992550000.0,95754550000.0,93872240000.0,97102720000.0,92760470000.0,97759160000.0,95239815000.0,92732720000.0
2085.0,83261920000.0,97210470000.0,90504266000.0,95087500000.0,93135630000.0,96694600000.0,91382650000.0,97325340000.0,94769410000.0,92425350000.0
2086.0,82681364000.0,97033060000.0,89946170000.0,95055420000.0,92642110000.0,96341980000.0,90768210000.0,97141600000.0,94449960000.0,91882140000.0
2087.0,82193400000.0,96607760000.0,89429926000.0,96492460000.0,92486720000.0,96038950000.0,90158690000.0,96930840000.0,94117180000.0,91504706000.0
2088.0,81506394000.0,96247710000.0,89580950000.0,95213980000.0,92170000000.0,95809420000.0,89733180000.0,96674830000.0,93608550000.0,90967660000.0
2089.0,80838370000.0,95902560000.0,88469290000.0,94835990000.0,91549565000.0,95476020000.0,89302925000.0,96418660000.0,93230530000.0,90385190000.0
2090.0,80084705000.0,95515760000.0,88348760000.0,93937760000.0,91089160000.0,94960600000.0,88756730000.0,96166520000.0,92826395000.0,89811360000.0
2091.0,79345730000.0,94983470000.0,87193670000.0,93614410000.0,90673300000.0,94384520000.0,88071210000.0,95908010000.0,92527910000.0,89300530000.0
2092.0,78644960000.0,94604304000.0,86585000000.0,93318080000.0,90067075000.0,93957200000.0,87442370000.0,95690470000.0,92086240000.0,88726560000.0
2093.0,78032260000.0,94340300000.0,85820320000.0,92825860000.0,89504390000.0,93543200000.0,87094215000.0,95351880000.0,91804270000.0,88284670000.0
2094.0,77189370000.0,93953150000.0,85252740000.0,92304580000.0,88836220000.0,93018776000.0,86252480000.0,95079580000.0,91401220000.0,87689830000.0
2095.0,76312700000.0,93575180000.0,83888320000.0,91737420000.0,87895790000.0,92707320000.0,85596790000.0,94846394000.0,90849790000.0,86555740000.0
2096.0,75479515000.0,93129140000.0,83290210000.0,91342180000.0,86974590000.0,92228750000.0,84945890000.0,94611100000.0,90304545000.0,86028010000.0
2097.0,74497910000.0,92856200000.0,82702510000.0,91353430000.0,86573960000.0,91737100000.0,84194700000.0,94291950000.0,89912560000.0,85465604000.0
2098.0,73626040000.0,92457010000.0,82087485000.0,90644580000.0,85657035000.0,91364980000.0,84215054000.0,94023880000.0,89541520000.0,84775210000.0
2099.0,72737810000.0,91976360000.0,81370464000.0,90454295000.0,84858044000.0,91361000000.0,83667935000.0,93724820000.0,89118710000.0,84245310000.0
2100.0,71765140000.0,91548230000.0,81244815000.0,89870230000.0,84522150000.0,90040205000.0,83054264000.0,93434190000.0,88685674000.0,83654790000.0
