time,GFDL-ESM4,UKESM1-0-LL,MPI-ESM1-2-HR,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,87964975000.0,87964975000.0,87964975000.0,87964975000.0,87964975000.0
2001.0,88282070000.0,88282070000.0,88282070000.0,88282070000.0,88282070000.0
2002.0,87957594000.0,87957594000.0,87957594000.0,87957594000.0,87957594000.0
2003.0,87746070000.0,87746070000.0,87746070000.0,87746070000.0,87746070000.0
2004.0,87550420000.0,87550420000.0,87550420000.0,87550420000.0,87550420000.0
2005.0,87399550000.0,87399550000.0,87399550000.0,87399550000.0,87399550000.0
2006.0,87281450000.0,87281450000.0,87281450000.0,87281450000.0,87281450000.0
2007.0,87231010000.0,87231010000.0,87231010000.0,87231010000.0,87231010000.0
2008.0,87172170000.0,87172170000.0,87172170000.0,87172170000.0,87172170000.0
2009.0,87528630000.0,87528630000.0,87528630000.0,87528630000.0,87528630000.0
2010.0,87108256000.0,87108256000.0,87108256000.0,87108256000.0,87108256000.0
2011.0,86985870000.0,86985870000.0,86985870000.0,86985870000.0,86985870000.0
2012.0,86915990000.0,86915990000.0,86915990000.0,86915990000.0,86915990000.0
2013.0,87011030000.0,87011030000.0,87011030000.0,87011030000.0,87011030000.0
2014.0,86756250000.0,86756250000.0,86756250000.0,86756250000.0,86756250000.0
2015.0,86558170000.0,86558170000.0,86558170000.0,86558170000.0,86558170000.0
2016.0,86389940000.0,86389940000.0,86389940000.0,86389940000.0,86389940000.0
2017.0,86080180000.0,86080180000.0,86080180000.0,86080180000.0,86080180000.0
2018.0,85873100000.0,85873100000.0,85873100000.0,85873100000.0,85873100000.0
2019.0,85684470000.0,85684470000.0,85684470000.0,85684470000.0,85684470000.0
2020.0,85378500000.0,85378500000.0,85378500000.0,85378500000.0,85378500000.0
2021.0,85288560000.0,85218780000.0,85349245000.0,85266250000.0,85250564000.0
2022.0,85460574000.0,85048310000.0,85163655000.0,84853240000.0,85143100000.0
2023.0,84935660000.0,84567670000.0,84839604000.0,84591380000.0,84623510000.0
2024.0,84630675000.0,84366295000.0,84464700000.0,84339620000.0,84287550000.0
2025.0,84401390000.0,83722910000.0,84154250000.0,83793370000.0,83850860000.0
2026.0,84192000000.0,83515630000.0,85102490000.0,83524670000.0,83531735000.0
2027.0,83665470000.0,82869550000.0,83764100000.0,83374500000.0,83188376000.0
2028.0,83276910000.0,81800830000.0,83701610000.0,82688385000.0,83045860000.0
2029.0,82880315000.0,80981010000.0,83380050000.0,82053170000.0,82328440000.0
2030.0,82270500000.0,80720495000.0,83268240000.0,81243270000.0,82273870000.0
2031.0,81751650000.0,79535600000.0,82726850000.0,80073800000.0,81159540000.0
2032.0,81326375000.0,78748900000.0,82424450000.0,79546050000.0,80456480000.0
2033.0,80815580000.0,77553660000.0,81957356000.0,79531630000.0,79775560000.0
2034.0,80363045000.0,76410930000.0,81530760000.0,79764810000.0,79576695000.0
2035.0,80112590000.0,75160400000.0,80772660000.0,79439210000.0,79638930000.0
2036.0,79872360000.0,74557050000.0,80179290000.0,78522170000.0,78826545000.0
2037.0,79576980000.0,73948540000.0,80223770000.0,77515390000.0,78280655000.0
2038.0,78779930000.0,73021690000.0,79522240000.0,76740330000.0,77159014000.0
2039.0,78337650000.0,72015510000.0,78935520000.0,76159255000.0,76425340000.0
2040.0,77821895000.0,71294880000.0,81489190000.0,75285160000.0,75555865000.0
2041.0,77585890000.0,70351270000.0,80717960000.0,74755240000.0,75169970000.0
2042.0,76794340000.0,69312094000.0,78980770000.0,74182160000.0,73991680000.0
2043.0,76283790000.0,68446286000.0,77793740000.0,73657570000.0,73443140000.0
2044.0,75918190000.0,67498520000.0,77257390000.0,73014480000.0,72723400000.0
2045.0,75006660000.0,66572706000.0,76823650000.0,72189805000.0,71981785000.0
2046.0,74424934000.0,65765118000.0,76736050000.0,71364890000.0,71475495000.0
2047.0,74049680000.0,64619827000.0,76023450000.0,70339764000.0,70786380000.0
2048.0,73482450000.0,63722934000.0,75577770000.0,69736670000.0,70106180000.0
2049.0,73011060000.0,62402503000.0,75147200000.0,68819706000.0,69214300000.0
2050.0,72313190000.0,61374067000.0,74459160000.0,67926490000.0,68586320000.0
2051.0,71613340000.0,60269090000.0,73993050000.0,67422650000.0,67817430000.0
2052.0,71487230000.0,59275980000.0,73497110000.0,66195698000.0,68423100000.0
2053.0,70949290000.0,57917923000.0,72997670000.0,65378587000.0,67163013000.0
2054.0,70133285000.0,57098646000.0,72472800000.0,64282570000.0,66324390000.0
2055.0,69681480000.0,56508633000.0,72532710000.0,63294600000.0,65626380000.0
2056.0,69046710000.0,56145750000.0,71714410000.0,62577920000.0,65122600000.0
2057.0,68518154000.0,54949765000.0,71130866000.0,61389115000.0,64591900000.0
2058.0,68022850000.0,53775434000.0,70647600000.0,60421087000.0,63623823000.0
2059.0,67373507000.0,52641310000.0,69959140000.0,59576963000.0,62889620000.0
2060.0,66960720000.0,51429216000.0,69579320000.0,58435297000.0,61933310000.0
2061.0,66351047000.0,50528965000.0,68923790000.0,57628602000.0,61247017000.0
2062.0,65690845000.0,49452413000.0,68498723000.0,56278168000.0,60687086000.0
