time,IPSL-CM6A-LR,MPI-ESM1-2-HR,UKESM1-0-LL,GFDL-ESM4,MRI-ESM2-0
2000.0,87964975000.0,87964975000.0,87964975000.0,87964975000.0,87964975000.0
2001.0,88282070000.0,88282070000.0,88282070000.0,88282070000.0,88282070000.0
2002.0,87957594000.0,87957594000.0,87957594000.0,87957594000.0,87957594000.0
2003.0,87746070000.0,87746070000.0,87746070000.0,87746070000.0,87746070000.0
2004.0,87550420000.0,87550420000.0,87550420000.0,87550420000.0,87550420000.0
2005.0,87399550000.0,87399550000.0,87399550000.0,87399550000.0,87399550000.0
2006.0,87281450000.0,87281450000.0,87281450000.0,87281450000.0,87281450000.0
2007.0,87231010000.0,87231010000.0,87231010000.0,87231010000.0,87231010000.0
2008.0,87172170000.0,87172170000.0,87172170000.0,87172170000.0,87172170000.0
2009.0,87528630000.0,87528630000.0,87528630000.0,87528630000.0,87528630000.0
2010.0,87108256000.0,87108256000.0,87108256000.0,87108256000.0,87108256000.0
2011.0,86985870000.0,86985870000.0,86985870000.0,86985870000.0,86985870000.0
2012.0,86915990000.0,86915990000.0,86915990000.0,86915990000.0,86915990000.0
2013.0,87011030000.0,87011030000.0,87011030000.0,87011030000.0,87011030000.0
2014.0,86756250000.0,86756250000.0,86756250000.0,86756250000.0,86756250000.0
2015.0,86558170000.0,86558170000.0,86558170000.0,86558170000.0,86558170000.0
2016.0,86389940000.0,86389940000.0,86389940000.0,86389940000.0,86389940000.0
2017.0,86080180000.0,86080180000.0,86080180000.0,86080180000.0,86080180000.0
2018.0,85873100000.0,85873100000.0,85873100000.0,85873100000.0,85873100000.0
2019.0,85684470000.0,85684470000.0,85684470000.0,85684470000.0,85684470000.0
2020.0,85378500000.0,85378500000.0,85378500000.0,85378500000.0,85378500000.0
2021.0,85032960000.0,86118015000.0,85381390000.0,85085180000.0,85739950000.0
2022.0,85235720000.0,87896030000.0,84953040000.0,84833140000.0,85261180000.0
2023.0,84912500000.0,86487876000.0,84651280000.0,84500234000.0,84930070000.0
2024.0,84844550000.0,86301870000.0,84311940000.0,84423260000.0,84594460000.0
2025.0,84499070000.0,85316010000.0,83705500000.0,84092730000.0,84180790000.0
2026.0,83810664000.0,84951510000.0,83412600000.0,83633830000.0,83741590000.0
2027.0,83059860000.0,84583000000.0,82676490000.0,83315730000.0,83194250000.0
2028.0,82564140000.0,84292660000.0,82115590000.0,82947030000.0,82565730000.0
2029.0,82589450000.0,84399560000.0,81617540000.0,82653890000.0,82116690000.0
2030.0,81670450000.0,84177520000.0,81079460000.0,82080830000.0,81684670000.0
2031.0,81747190000.0,83576730000.0,80432600000.0,81824620000.0,81067370000.0
2032.0,85952330000.0,83166814000.0,79339400000.0,81376210000.0,80376680000.0
2033.0,81603570000.0,82791130000.0,78421254000.0,80835125000.0,80350750000.0
2034.0,80811970000.0,82286050000.0,77978210000.0,80695950000.0,79473260000.0
2035.0,80864530000.0,82740450000.0,77450445000.0,80918330000.0,78966410000.0
2036.0,79800080000.0,82060160000.0,76181420000.0,79816220000.0,78506060000.0
2037.0,79149730000.0,81574220000.0,75295840000.0,79396040000.0,77725590000.0
2038.0,78495150000.0,81233020000.0,74553620000.0,78650490000.0,77160500000.0
2039.0,77616060000.0,81014370000.0,73537690000.0,78261470000.0,76990200000.0
2040.0,77064020000.0,80682390000.0,72765990000.0,77630350000.0,76222160000.0
2041.0,76212360000.0,80189790000.0,71898230000.0,77325640000.0,75401420000.0
2042.0,75569275000.0,80204250000.0,70862610000.0,76805054000.0,74528470000.0
2043.0,76084820000.0,79460380000.0,69964050000.0,76248510000.0,73941770000.0
2044.0,74624066000.0,79148030000.0,68999390000.0,75785585000.0,75223890000.0
2045.0,74011820000.0,78944390000.0,67704480000.0,75603770000.0,73386350000.0
2046.0,73309980000.0,78614490000.0,66746577000.0,74630685000.0,73118300000.0
2047.0,72145240000.0,78002960000.0,65746510000.0,74436510000.0,72161550000.0
2048.0,71764520000.0,77725500000.0,64744770000.0,73821176000.0,71504030000.0
2049.0,70650080000.0,77447620000.0,63690318000.0,73558690000.0,71676160000.0
2050.0,69439594000.0,76820920000.0,62686605000.0,74370015000.0,70619005000.0
2051.0,68536914000.0,76393250000.0,61541520000.0,73251190000.0,69862360000.0
2052.0,67755120000.0,75971190000.0,60651622000.0,72698544000.0,68928330000.0
2053.0,66746348000.0,75529690000.0,59496477000.0,72090230000.0,68169548000.0
2054.0,66185270000.0,75506975000.0,58548990000.0,71221650000.0,67554017000.0
2055.0,65386553000.0,74655580000.0,57526080000.0,70830770000.0,66946384000.0
2056.0,64100600000.0,73949930000.0,56847847000.0,70333460000.0,66841244000.0
2057.0,63495524000.0,73491120000.0,55929340000.0,70095766000.0,65962000000.0
2058.0,62744750000.0,72690500000.0,54937820000.0,69584260000.0,65121235000.0
2059.0,62014775000.0,71889690000.0,53587055000.0,68971580000.0,64359190000.0
2060.0,61622395000.0,71285140000.0,52621275000.0,69190010000.0,64423540000.0
2061.0,60285817000.0,70755525000.0,51707330000.0,68295430000.0,63651340000.0
2062.0,59704783000.0,70240730000.0,50876764000.0,67845243000.0,63290864000.0
