time,ACCESS-ESM1-5,IPSL-CM6A-LR,MRI-ESM2-0,CANESM5,ACCESS-CM2,CESM2-WACCM
2000.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0,2144101200.0
2001.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0,2151502000.0
2002.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0,2143095900.0
2003.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0,2203072800.0
2004.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0,2121320300.0
2005.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0,2115797900.0
2006.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0,2103285100.0
2007.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0,2088893300.0
2008.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0,2088267500.0
2009.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0,2115927600.0
2010.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0,2079213300.0
2011.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0,2093350400.0
2012.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0,2058399700.0
2013.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0,2049174800.0
2014.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0,2051196900.0
2015.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0,2065916300.0
2016.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0,2018736300.0
2017.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0,2007848400.0
2018.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0,1988766700.0
2019.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0,1962724000.0
2020.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0,1947496000.0
2021.0,1915958400.0,1930919200.0,1932358300.0,1956362200.0,1931939200.0,1920205000.0
2022.0,1894323000.0,1894165400.0,1895410300.0,1899380400.0,1909577600.0,1992356000.0
2023.0,1840235600.0,1856939300.0,1860659800.0,1894681200.0,1871563400.0,1912169600.0
2024.0,1816860800.0,1829679500.0,1806550100.0,1837347200.0,1832859300.0,1881906300.0
2025.0,1981860200.0,1804338400.0,1764128000.0,1816913800.0,1770977800.0,1876104400.0
2026.0,1851599200.0,1810519400.0,1730713900.0,1768651300.0,1717919500.0,1846028300.0
2027.0,1855101300.0,1770488800.0,1680208900.0,1738450400.0,1675796500.0,1820176100.0
2028.0,1799136600.0,1734241300.0,1648406700.0,1689112800.0,1642281900.0,1902100400.0
2029.0,1781449600.0,1682121100.0,1575906700.0,1647271700.0,1601050400.0,1830578800.0
2030.0,1713740200.0,1684141800.0,1527207400.0,1591263700.0,1518040700.0,1869492000.0
2031.0,1675756000.0,1630137700.0,1449204700.0,1541984500.0,1439297200.0,1751217400.0
2032.0,1634905500.0,1604561700.0,1386496500.0,1624436700.0,1390938400.0,1732263300.0
2033.0,1630819000.0,1576428500.0,1345045400.0,1515320300.0,1346761600.0,1698638300.0
2034.0,1559646000.0,1522950000.0,1293701200.0,1434562600.0,1297350900.0,1657792900.0
2035.0,1496789500.0,1451869400.0,1257432000.0,1411894800.0,1238403600.0,1608019000.0
2036.0,1494443600.0,1379549700.0,1199368000.0,1380978700.0,1163985200.0,1568899600.0
