time,NORESM2-MM,CMCC-CM2-SR5,EC-EARTH3,CESM2,BCC-CSM2-MR,FGOALS-F3-L,INM-CM5-0,INM-CM4-8,MPI-ESM1-2-HR,MRI-ESM2-0,GFDL-ESM4,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3-VEG
2000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0
2001.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0
2002.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0
2003.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0
2004.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0
2005.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0
2006.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0
2007.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0
2008.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0
2009.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0
2010.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0
2011.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0
2012.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0
2013.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0
2014.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0
2015.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0
2016.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0
2017.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0
2018.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0
2019.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0
2020.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0
2021.0,40610660000.0,40823788000.0,40561385000.0,40578744000.0,40676934000.0,40564953000.0,40621167000.0,40596476000.0,40544540000.0,40604090000.0,40555626000.0,40611516000.0,40578340000.0,40651354000.0
2022.0,40544590000.0,40675897000.0,40486260000.0,40477790000.0,40585236000.0,40500630000.0,40654230000.0,40601390000.0,40481722000.0,40526705000.0,40521834000.0,40536200000.0,40581407000.0,40591884000.0
2023.0,40502006000.0,40614326000.0,40435050000.0,40425984000.0,40735805000.0,40490380000.0,40538006000.0,40556794000.0,40448594000.0,40520966000.0,40471740000.0,40478368000.0,40473276000.0,40550760000.0
2024.0,40470910000.0,40634610000.0,40403800000.0,40378330000.0,40582517000.0,40450146000.0,40525390000.0,40479683000.0,40453010000.0,40459616000.0,40480694000.0,40417653000.0,40508223000.0,40492044000.0
2025.0,40452410000.0,40535196000.0,40368450000.0,40314466000.0,40488104000.0,40495740000.0,40658493000.0,40526520000.0,40484070000.0,40369537000.0,40513710000.0,40486396000.0,40470098000.0,40468090000.0
2026.0,40427340000.0,40482922000.0,40308785000.0,40258320000.0,40498508000.0,40423250000.0,40500543000.0,40406684000.0,40345360000.0,40341873000.0,40372790000.0,40341850000.0,40410763000.0,40395290000.0
2027.0,40368976000.0,40452690000.0,40249446000.0,40177970000.0,40423600000.0,40352020000.0,40484630000.0,40388490000.0,40331645000.0,40267272000.0,40307266000.0,40268034000.0,40349940000.0,40395166000.0
2028.0,40320920000.0,40449620000.0,40301760000.0,40139190000.0,40353763000.0,40329413000.0,40476422000.0,40293708000.0,40299717000.0,40214303000.0,40262734000.0,40218940000.0,40345530000.0,40289140000.0
2029.0,40338820000.0,40378544000.0,40200180000.0,40076194000.0,40288990000.0,40276505000.0,40394270000.0,40278786000.0,40189485000.0,40179732000.0,40214872000.0,40141110000.0,40266195000.0,40225985000.0
2030.0,40231342000.0,40340510000.0,40141603000.0,40029800000.0,40234738000.0,40268190000.0,40321475000.0,40191210000.0,40141177000.0,40122880000.0,40206160000.0,40048447000.0,40215118000.0,40290790000.0
2031.0,40197288000.0,40443486000.0,40093848000.0,39965110000.0,40201978000.0,40168428000.0,40293150000.0,40169316000.0,40123757000.0,40023620000.0,40177025000.0,39954920000.0,40206780000.0,40197747000.0
2032.0,40107168000.0,40308388000.0,40040083000.0,39866680000.0,40121893000.0,40145318000.0,40379572000.0,40102818000.0,40048493000.0,39941726000.0,40079925000.0,39888224000.0,40161546000.0,40075430000.0
2033.0,40047560000.0,40216326000.0,39969280000.0,39773995000.0,40103875000.0,40176108000.0,40240038000.0,40045502000.0,39982240000.0,39852077000.0,40049060000.0,39820350000.0,40126984000.0,40026630000.0
2034.0,39982290000.0,40153720000.0,39977005000.0,39660260000.0,39999144000.0,40256254000.0,40154450000.0,39952925000.0,40166020000.0,39797092000.0,39974540000.0,39741563000.0,40128918000.0,39953224000.0
2035.0,40017130000.0,40089367000.0,39815430000.0,39551324000.0,39920780000.0,40108683000.0,40076490000.0,39904790000.0,39940923000.0,39721250000.0,39914148000.0,39667430000.0,40008675000.0,39891243000.0
2036.0,39884880000.0,40018410000.0,39706583000.0,39455506000.0,39866450000.0,40099353000.0,40117730000.0,39836144000.0,39954522000.0,39629427000.0,39906300000.0,39583085000.0,39950758000.0,39813046000.0
2037.0,39799894000.0,39927206000.0,39579894000.0,39341617000.0,39787287000.0,39936610000.0,40029770000.0,39807530000.0,39819985000.0,39507694000.0,40079778000.0,39511347000.0,39950782000.0,39743120000.0
2038.0,39670383000.0,39837938000.0,39515040000.0,39253660000.0,39710302000.0,40311276000.0,39947997000.0,39699292000.0,39773356000.0,39355160000.0,39747277000.0,39394970000.0,39856380000.0,39671333000.0
2039.0,39602670000.0,39739785000.0,39430197000.0,39188312000.0,39613840000.0,39934380000.0,39889900000.0,39621194000.0,39642510000.0,39247380000.0,39668730000.0,39283814000.0,39816080000.0,39554490000.0
2040.0,39480037000.0,39639572000.0,39326368000.0,39170640000.0,39553724000.0,39807844000.0,39875170000.0,39534432000.0,39600960000.0,39156300000.0,39591166000.0,39182470000.0,39780890000.0,39465693000.0
2041.0,39388914000.0,39553233000.0,39196060000.0,39007630000.0,39430558000.0,39720060000.0,39759757000.0,39438696000.0,39598110000.0,39048380000.0,39496850000.0,39090700000.0,39764550000.0,39340777000.0
2042.0,39289147000.0,39454770000.0,39049028000.0,38860300000.0,39343456000.0,39681413000.0,39756292000.0,39333954000.0,39489774000.0,38920350000.0,39414030000.0,38995423000.0,39693600000.0,39232193000.0
2043.0,39178875000.0,39328784000.0,38932566000.0,38740554000.0,39360475000.0,39665058000.0,39611720000.0,39230590000.0,39370674000.0,38808440000.0,39332913000.0,38898323000.0,39800922000.0,39126830000.0
2044.0,38993727000.0,39210980000.0,38789706000.0,38664920000.0,39188020000.0,39555470000.0,39518790000.0,39121620000.0,39269855000.0,38670897000.0,39215075000.0,38812836000.0,39692026000.0,38988567000.0
2045.0,38921994000.0,39089533000.0,38642147000.0,38555540000.0,39099494000.0,39449450000.0,39455530000.0,39016305000.0,39164932000.0,38514524000.0,39206605000.0,38684942000.0,39511413000.0,38878302000.0
2046.0,38803415000.0,38930305000.0,38503555000.0,38424412000.0,38963480000.0,39378473000.0,39344087000.0,38915965000.0,39195415000.0,38364410000.0,39109636000.0,38543600000.0,39620846000.0,38767690000.0
2047.0,38676013000.0,38752432000.0,38380690000.0,38311970000.0,38908715000.0,39375020000.0,39261667000.0,38778260000.0,39039370000.0,38169360000.0,39035978000.0,38474470000.0,39446560000.0,38649330000.0
2048.0,38533280000.0,38588555000.0,38202120000.0,38153056000.0,38800550000.0,39221096000.0,39137608000.0,38651924000.0,38933578000.0,37971067000.0,38878044000.0,38284358000.0,39369540000.0,38545146000.0
2049.0,38381850000.0,38412984000.0,37969904000.0,37960990000.0,38789040000.0,39156093000.0,39035888000.0,38513316000.0,38923730000.0,37804210000.0,38751396000.0,38127510000.0,39285715000.0,38352433000.0
2050.0,38188840000.0,38223528000.0,37750310000.0,37795066000.0,38624666000.0,39077320000.0,38940566000.0,38384170000.0,38782304000.0,37620584000.0,38651056000.0,37949380000.0,39170990000.0,38184722000.0
2051.0,38068543000.0,38067315000.0,37499220000.0,37652040000.0,38510764000.0,38977946000.0,38802230000.0,38218375000.0,38698080000.0,37388427000.0,38587950000.0,37768176000.0,39070913000.0,37967220000.0
2052.0,37964067000.0,37845130000.0,37234430000.0,37453760000.0,38329900000.0,38899880000.0,38699100000.0,38110820000.0,38599315000.0,37163730000.0,38507536000.0,37584390000.0,39068373000.0,37750858000.0
2053.0,37800255000.0,37588378000.0,37066072000.0,37302927000.0,38218867000.0,38843510000.0,38570164000.0,37976940000.0,38454470000.0,37017104000.0,38386065000.0,37423050000.0,39089697000.0,37592630000.0
2054.0,37629264000.0,37366936000.0,36819546000.0,37119700000.0,38109320000.0,38691610000.0,38442283000.0,37800280000.0,38377010000.0,36815060000.0,38254020000.0,37230060000.0,38885356000.0,37507146000.0
2055.0,37465137000.0,37166875000.0,36570665000.0,36879480000.0,37919867000.0,38571860000.0,38443573000.0,37681030000.0,38353785000.0,36579140000.0,38142340000.0,37072590000.0,38771060000.0,37254033000.0
2056.0,37281907000.0,36901245000.0,36278650000.0,36701580000.0,37883970000.0,38536155000.0,38286770000.0,37506687000.0,38167384000.0,36339016000.0,37970616000.0,36865065000.0,38766260000.0,37018470000.0
2057.0,37151994000.0,36652007000.0,36009200000.0,36518080000.0,37765956000.0,38358590000.0,38126650000.0,37328760000.0,38112280000.0,36074770000.0,38008700000.0,36672295000.0,38571782000.0,36847350000.0
2058.0,36973700000.0,36374630000.0,35687480000.0,36247605000.0,37602240000.0,38256374000.0,38035100000.0,37130506000.0,37981155000.0,35768810000.0,37799813000.0,36478920000.0,38531936000.0,36562334000.0
2059.0,36827110000.0,36118974000.0,35396346000.0,36031492000.0,37439990000.0,38103126000.0,37950734000.0,36950847000.0,37865720000.0,35555200000.0,37662810000.0,36233896000.0,38353720000.0,36352836000.0
2060.0,36631990000.0,35785690000.0,35126020000.0,35796820000.0,37335376000.0,37943590000.0,37773200000.0,36772635000.0,37825280000.0,35340580000.0,37700567000.0,35967180000.0,38225120000.0,36086567000.0
2061.0,36359434000.0,35548050000.0,34827850000.0,35562967000.0,37231022000.0,37883798000.0,37661213000.0,36560510000.0,37675307000.0,35090710000.0,37638000000.0,35807203000.0,38107443000.0,35834260000.0
2062.0,36156596000.0,35281420000.0,34490270000.0,35326780000.0,37053096000.0,37691253000.0,37491660000.0,36364120000.0,37547713000.0,34834920000.0,37417447000.0,35541950000.0,38056735000.0,35566817000.0
2063.0,35911450000.0,34983330000.0,34157450000.0,35075998000.0,36891492000.0,37568963000.0,37465620000.0,36134920000.0,37396330000.0,34641416000.0,37249106000.0,35301800000.0,37992950000.0,35261650000.0
2064.0,35690226000.0,34708800000.0,33816713000.0,34939417000.0,37092827000.0,37490780000.0,37325144000.0,35934600000.0,37314760000.0,34383823000.0,37098300000.0,35027150000.0,37803844000.0,34960826000.0
