time,GFDL-ESM4,MRI-ESM2-0,CAMS-CSM1-0,EC-EARTH3-VEG
2000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0
2001.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0
2002.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0
2003.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0
2004.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0
2005.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0
2006.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0
2007.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0
2008.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0
2009.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0
2010.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0
2011.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0
2012.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0
2013.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0
2014.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0
2015.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0
2016.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0
2017.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0
2018.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0
2019.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0
2020.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0
2021.0,40674460000.0,40568890000.0,40814830000.0,40564230000.0
2022.0,40564347000.0,40493090000.0,40659284000.0,40542750000.0
2023.0,40645685000.0,40456503000.0,40577860000.0,40462635000.0
2024.0,40635388000.0,40376164000.0,40584210000.0,40401084000.0
2025.0,40499732000.0,40318100000.0,40471690000.0,40321680000.0
2026.0,40588990000.0,40258527000.0,40422210000.0,40268050000.0
2027.0,40490365000.0,40198738000.0,40355107000.0,40214280000.0
2028.0,40442675000.0,40117305000.0,40380326000.0,40139874000.0
2029.0,40457794000.0,40035640000.0,40293150000.0,40080888000.0
2030.0,40355010000.0,39950012000.0,40242750000.0,40018375000.0
2031.0,40295900000.0,39841645000.0,40192610000.0,40034894000.0
2032.0,40345895000.0,39748770000.0,40150946000.0,39930954000.0
2033.0,40256950000.0,39633117000.0,40127270000.0,39882020000.0
2034.0,40156990000.0,39521100000.0,40093397000.0,39817957000.0
2035.0,40090660000.0,39378674000.0,40129800000.0,39738434000.0
2036.0,40015260000.0,39215686000.0,40067203000.0,39661340000.0
2037.0,40048600000.0,39055983000.0,40027640000.0,39609460000.0
2038.0,39954200000.0,38892130000.0,39951570000.0,39545530000.0
2039.0,39867396000.0,38730416000.0,39891310000.0,40013540000.0
2040.0,39777944000.0,38536960000.0,39779217000.0,39566900000.0
2041.0,39699767000.0,38337343000.0,39697224000.0,39446913000.0
2042.0,39623995000.0,38179620000.0,39616730000.0,39318147000.0
2043.0,39561730000.0,38045737000.0,39712960000.0,39707150000.0
2044.0,39496053000.0,37883085000.0,39537033000.0,39479770000.0
2045.0,39545106000.0,37699613000.0,39464014000.0,39292560000.0
2046.0,39401644000.0,37496005000.0,39380558000.0,39369710000.0
2047.0,39285826000.0,37280340000.0,39434285000.0,39190176000.0
2048.0,39208300000.0,37127397000.0,39388668000.0,39053480000.0
2049.0,39125150000.0,36906357000.0,39286970000.0,38973540000.0
2050.0,39069712000.0,36709810000.0,39153828000.0,38935190000.0
2051.0,39007290000.0,36533830000.0,39178658000.0,38821732000.0
2052.0,38968090000.0,36316467000.0,39084827000.0,38722363000.0
2053.0,38933025000.0,36088156000.0,38911110000.0,38602720000.0
2054.0,38787210000.0,35903480000.0,39116940000.0,38688375000.0
2055.0,38660026000.0,35713065000.0,39220818000.0,38440452000.0
2056.0,38546555000.0,35446784000.0,38843286000.0,38323220000.0
2057.0,38467404000.0,35246907000.0,38718450000.0,38170520000.0
2058.0,38388000000.0,35057504000.0,38648600000.0,38287008000.0
2059.0,38351810000.0,34985900000.0,38549393000.0,38060960000.0
2060.0,38179590000.0,34774094000.0,38394626000.0,37935870000.0
2061.0,38086898000.0,34568983000.0,38302695000.0,37792965000.0
2062.0,37966770000.0,34600722000.0,38176680000.0,37646176000.0
2063.0,37882536000.0,34213690000.0,38048506000.0,37501220000.0
2064.0,37903850000.0,33993020000.0,37958900000.0,37443404000.0
2065.0,37817950000.0,33890523000.0,37831102000.0,37245125000.0
2066.0,37595296000.0,33843448000.0,37947430000.0,37148353000.0
2067.0,37472590000.0,33641685000.0,37772206000.0,37006127000.0
2068.0,37380440000.0,33401516000.0,37573423000.0,36876640000.0
2069.0,37352767000.0,33349042000.0,37557870000.0,36730778000.0
2070.0,37088653000.0,33311564000.0,37399597000.0,36611650000.0
2071.0,37274857000.0,33554156000.0,37226193000.0,36518728000.0
2072.0,37011698000.0,33024317000.0,37151957000.0,36345324000.0
2073.0,36858910000.0,32841943000.0,37166244000.0,36230713000.0
2074.0,36781280000.0,32605241000.0,36927440000.0,36026786000.0
2075.0,36639937000.0,32597207000.0,36743377000.0,35876954000.0
2076.0,36702150000.0,32468554000.0,36633403000.0,35736850000.0
2077.0,36450644000.0,32095017000.0,36561460000.0,35586654000.0
2078.0,36350554000.0,31992721000.0,36519270000.0,35454800000.0
2079.0,36251357000.0,31805970000.0,36292993000.0,35400466000.0
2080.0,36416550000.0,31725933000.0,36272787000.0,35093496000.0
2081.0,36052533000.0,31441773000.0,36188533000.0,34903986000.0
2082.0,36011740000.0,31226120000.0,36079010000.0,34722830000.0
2083.0,35897460000.0,31228344000.0,35894264000.0,34670020000.0
2084.0,35780424000.0,30954109000.0,35829530000.0,34493930000.0
2085.0,35638700000.0,30712760000.0,35685570000.0,34254567000.0
2086.0,35491803000.0,30611837000.0,35563807000.0,34043337000.0
2087.0,35444760000.0,30506308000.0,35469210000.0,33894030000.0
2088.0,35494924000.0,30374207000.0,35360317000.0,33721510000.0
2089.0,35426755000.0,30543045000.0,35684712000.0,33537305000.0
2090.0,35177020000.0,30554018000.0,35172794000.0,33350054000.0
2091.0,35128220000.0,30033490000.0,35158560000.0,33161892000.0
2092.0,34922422000.0,29952850000.0,34922017000.0,33190693000.0
2093.0,34815800000.0,29916768000.0,35301500000.0,32753232000.0
2094.0,34705166000.0,29733945000.0,34698215000.0,32590334000.0
2095.0,34521063000.0,29758362000.0,34764083000.0,32383185000.0
2096.0,34640105000.0,29409845000.0,34635952000.0,32193884000.0
2097.0,34306533000.0,29608585000.0,34407950000.0,31938849000.0
2098.0,34207859000.0,29444835000.0,34251651000.0,31708234000.0
2099.0,34112119000.0,29063938000.0,34138501000.0,31655772000.0
