time,CCSM4,GISS-E2-R,GFDL-ESM2G,CSIRO-MK3-6-0,CESM1-CAM5,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR
2000.0,8737869300000.0,8737869300000.0,8737869300000.0,8737869300000.0,8737869300000.0,8737869300000.0,8737869300000.0,8737869300000.0
2001.0,8708541600000.0,8708541600000.0,8708541600000.0,8708541600000.0,8708541600000.0,8708541600000.0,8708541600000.0,8708541600000.0
2002.0,8681413000000.0,8681413000000.0,8681413000000.0,8681413000000.0,8681413000000.0,8681413000000.0,8681413000000.0,8681413000000.0
2003.0,8661789300000.0,8661789300000.0,8661789300000.0,8661789300000.0,8661789300000.0,8661789300000.0,8661789300000.0,8661789300000.0
2004.0,8631083000000.0,8631083000000.0,8631083000000.0,8631083000000.0,8631083000000.0,8631083000000.0,8631083000000.0,8631083000000.0
2005.0,8613858000000.0,8613858000000.0,8613858000000.0,8613858000000.0,8613858000000.0,8613858000000.0,8613858000000.0,8613858000000.0
2006.0,8611944000000.0,8611944000000.0,8611944000000.0,8611944000000.0,8611944000000.0,8611944000000.0,8611944000000.0,8611944000000.0
2007.0,8584612500000.0,8584612500000.0,8584612500000.0,8584612500000.0,8584612500000.0,8584612500000.0,8584612500000.0,8584612500000.0
2008.0,8543925700000.0,8543925700000.0,8543925700000.0,8543925700000.0,8543925700000.0,8543925700000.0,8543925700000.0,8543925700000.0
2009.0,8507645500000.0,8507645500000.0,8507645500000.0,8507645500000.0,8507645500000.0,8507645500000.0,8507645500000.0,8507645500000.0
2010.0,8468937000000.0,8468937000000.0,8468937000000.0,8468937000000.0,8468937000000.0,8468937000000.0,8468937000000.0,8468937000000.0
2011.0,8425814600000.0,8425814600000.0,8425814600000.0,8425814600000.0,8425814600000.0,8425814600000.0,8425814600000.0,8425814600000.0
2012.0,8392777000000.0,8392777000000.0,8392777000000.0,8392777000000.0,8392777000000.0,8392777000000.0,8392777000000.0,8392777000000.0
2013.0,8366859500000.0,8366859500000.0,8366859500000.0,8366859500000.0,8366859500000.0,8366859500000.0,8366859500000.0,8366859500000.0
2014.0,8344373000000.0,8344373000000.0,8344373000000.0,8344373000000.0,8344373000000.0,8344373000000.0,8344373000000.0,8344373000000.0
2015.0,8304417300000.0,8304417300000.0,8304417300000.0,8304417300000.0,8304417300000.0,8304417300000.0,8304417300000.0,8304417300000.0
2016.0,8266871000000.0,8266871000000.0,8266871000000.0,8266871000000.0,8266871000000.0,8266871000000.0,8266871000000.0,8266871000000.0
2017.0,8227445500000.0,8227445500000.0,8227445500000.0,8227445500000.0,8227445500000.0,8227445500000.0,8227445500000.0,8227445500000.0
2018.0,8208834000000.0,8208834000000.0,8208834000000.0,8208834000000.0,8208834000000.0,8208834000000.0,8208834000000.0,8208834000000.0
2019.0,8182474000000.0,8182474000000.0,8182474000000.0,8182474000000.0,8182474000000.0,8182474000000.0,8182474000000.0,8182474000000.0
2020.0,8145399000000.0,8145399000000.0,8145399000000.0,8145399000000.0,8145399000000.0,8145399000000.0,8145399000000.0,8145399000000.0
2021.0,8130932000000.0,8137363000000.0,8100498600000.0,8114992600000.0,8089137000000.0,8113314300000.0,8083670600000.0,8095185000000.0
2022.0,8115804700000.0,8120896600000.0,8070561300000.0,8101589700000.0,8031881400000.0,8087831300000.0,8028681000000.0,8051804300000.0
2023.0,8080230700000.0,8103707000000.0,8044343000000.0,8073547000000.0,7971651000000.0,8041536700000.0,7970222500000.0,7997864000000.0
2024.0,8044796000000.0,8078920000000.0,8003466600000.0,8049150000000.0,7906786000000.0,8005677500000.0,7917084300000.0,7950858000000.0
2025.0,8009293500000.0,8045135000000.0,7974324500000.0,8006109500000.0,7827821700000.0,7971647500000.0,7870965000000.0,7914257000000.0
2026.0,7972335000000.0,8026481000000.0,7948136000000.0,7965826400000.0,7748894000000.0,7921477400000.0,7791833000000.0,7873413000000.0
2027.0,7941892000000.0,8010263000000.0,7919214000000.0,7939390700000.0,7699904300000.0,7876184600000.0,7725484300000.0,7821348300000.0
2028.0,7901192000000.0,7981407000000.0,7893490300000.0,7909477400000.0,7635457300000.0,7830146400000.0,7645263000000.0,7772493000000.0
2029.0,7859640000000.0,7935680300000.0,7869252000000.0,7883078500000.0,7556346400000.0,7789968600000.0,7571347000000.0,7733327700000.0
