time,EC-EARTH3-VEG,MRI-ESM2-0,CESM2-WACCM,INM-CM4-8,CANESM5,EC-EARTH3,MPI-ESM1-2-HR,ACCESS-CM2,ACCESS-ESM1-5,CESM2,INM-CM5-0,FGOALS-F3-L,NORESM2-MM,BCC-CSM2-MR,GFDL-ESM4,IPSL-CM6A-LR,CAMS-CSM1-0
2000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0,15416121000.0
2001.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0,14969346000.0
2002.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0,14923514000.0
2003.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0,14822442000.0
2004.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0,14758252000.0
2005.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0,14744956000.0
2006.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0,14864852000.0
2007.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0,14713094000.0
2008.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0,15021565000.0
2009.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0,14801224000.0
2010.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0,14661983000.0
2011.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0,14740180000.0
2012.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0,14747525000.0
2013.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0,14613520000.0
2014.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0,14402971000.0
2015.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0,14329986000.0
2016.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0,14229366000.0
2017.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0,14186502000.0
2018.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0,14113355000.0
2019.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0,14035911000.0
2020.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0,13948543000.0
2021.0,13822206000.0,13830828000.0,13913043000.0,13879079000.0,13846820000.0,13860824000.0,13923464000.0,13815863000.0,13885596000.0,13864146000.0,13841063000.0,13849231000.0,13873767000.0,13808938000.0,13830311000.0,13857619000.0,13832058000.0
2022.0,13764413000.0,13716410000.0,13717665000.0,13786990000.0,13722016000.0,13676367000.0,13699152000.0,13690331000.0,13735173000.0,13799435000.0,13751188000.0,13917731000.0,13665582000.0,13700521000.0,13802646000.0,13779715000.0,13772433000.0
2023.0,13674602000.0,13772207000.0,13640189000.0,13645824000.0,13514765000.0,13749577000.0,13717348000.0,13497552000.0,13919563000.0,13672609000.0,13683208000.0,13629713000.0,13612602000.0,13614173000.0,13626674000.0,13663428000.0,13717342000.0
2024.0,13573522000.0,13596598000.0,13443700000.0,13581751000.0,13369999000.0,13556933000.0,13548041000.0,13383842000.0,13608583000.0,13488295000.0,13542452000.0,13488943000.0,13383900000.0,13508536000.0,13769559000.0,13545019000.0,13640169000.0
2025.0,13491373000.0,13428563000.0,13234268000.0,13396487000.0,13204302000.0,13529551000.0,13475888000.0,13210966000.0,13434148000.0,13387986000.0,13382723000.0,13333700000.0,13213187000.0,13625314000.0,13839502000.0,13361604000.0,13517470000.0
2026.0,13361824000.0,13327387000.0,13095571000.0,13274332000.0,12994178000.0,13310333000.0,13308867000.0,13023782000.0,13309776000.0,13391505000.0,13220835000.0,13288915000.0,13079218000.0,13668748000.0,13409529000.0,13227432000.0,13376925000.0
2027.0,13206141000.0,13235400000.0,12932207000.0,13206520000.0,12802519000.0,13201712000.0,13179106000.0,12928912000.0,13149246000.0,13200502000.0,13207471000.0,13032318000.0,12890465000.0,13449232000.0,13263103000.0,13150471000.0,13344159000.0
2028.0,13032866000.0,13064704000.0,12589019000.0,13080348000.0,12570045000.0,13052834000.0,13060139000.0,12727919000.0,13145179000.0,13040512000.0,13014459000.0,12813694000.0,12672484000.0,13290057000.0,13147448000.0,13036350000.0,13422672000.0
2029.0,12999136000.0,12967879000.0,12339670000.0,12975095000.0,12489989000.0,12913435000.0,12932511000.0,12484315000.0,12855697000.0,12811188000.0,12927214000.0,12542435000.0,12487079000.0,13203592000.0,13018765000.0,12834674000.0,13344084000.0
2030.0,12806710000.0,12740149000.0,12024692000.0,12890610000.0,12189146000.0,12833370000.0,12656701000.0,12186872000.0,12625734000.0,12506953000.0,12728418000.0,12286527000.0,12316167000.0,12996027000.0,12811090000.0,12709810000.0,13340491000.0
2031.0,12552977000.0,12634134000.0,11841145000.0,12663995000.0,11937104000.0,12799445000.0,12606609000.0,11856728000.0,12440867000.0,12216534000.0,12696375000.0,12030874000.0,12107714000.0,12861156000.0,12666354000.0,12623692000.0,13205670000.0
2032.0,12428453000.0,12385126000.0,11728360000.0,12606915000.0,11661621000.0,12546758000.0,12627154000.0,11700236000.0,12200805000.0,11934659000.0,12511206000.0,11940176000.0,11807386000.0,12873181000.0,12388858000.0,12324530000.0,12973895000.0
2033.0,12166530000.0,12194274000.0,11333767000.0,12332484000.0,11343665000.0,12307504000.0,12376979000.0,11264350000.0,11975797000.0,11731962000.0,12381418000.0,11643508000.0,11524371000.0,12580302000.0,12149225000.0,12015806000.0,12801879000.0
2034.0,12011509000.0,11986565000.0,11012187000.0,12251402000.0,11120449000.0,12140110000.0,12155396000.0,11180537000.0,11772581000.0,11476897000.0,12217005000.0,11138693000.0,11297122000.0,12422791000.0,11949001000.0,11765322000.0,12695869000.0
2035.0,11784309000.0,11632171000.0,10835329000.0,12112902000.0,10904784000.0,11994879000.0,12160210000.0,10859596000.0,11524209000.0,11256375000.0,12228350000.0,10942110000.0,11024887000.0,12243820000.0,11876566000.0,11471292000.0,12535112000.0
2036.0,11566653000.0,11777154000.0,10411195000.0,12033802000.0,10597945000.0,11926637000.0,11817861000.0,10547815000.0,11195179000.0,10975718000.0,11800700000.0,10604773000.0,10810509000.0,12036561000.0,11511484000.0,11123608000.0,12389495000.0
2037.0,11357656000.0,11304509000.0,10095146000.0,11931287000.0,10426917000.0,11610700000.0,11599599000.0,10115313000.0,10881569000.0,10704877000.0,11666113000.0,10333789000.0,10542278000.0,11847064000.0,11303605000.0,10852336000.0,12395190000.0
2038.0,11307303000.0,10987040000.0,9648447000.0,11718062000.0,10054000000.0,11293208000.0,11697023000.0,9865148000.0,10648612000.0,10348850000.0,11428112000.0,10514444000.0,10196631000.0,11703950000.0,11125937000.0,10527869000.0,12231026000.0
2039.0,11077348000.0,10879589000.0,9253626000.0,11577578000.0,9719198000.0,11045778000.0,11352264000.0,9409749000.0,10391029000.0,10018420000.0,11256813000.0,9802558000.0,10018904000.0,11470363000.0,10992634000.0,10140335000.0,12193641000.0
