time,EC-EARTH3-VEG,MRI-ESM2-0,GFDL-ESM4,CAMS-CSM1-0
2034.0,11833101000.0,11738265000.0,12161618000.0,12506565000.0
2035.0,11745403000.0,11480314000.0,12044873000.0,12292177000.0
2036.0,11862011000.0,11179841000.0,12070669000.0,12260115000.0
2037.0,11352834000.0,10992157000.0,11721386000.0,12227763000.0
2038.0,11182564000.0,10906162000.0,11489598000.0,11907274000.0
2039.0,11004015000.0,10640097000.0,11390556000.0,11774019000.0
2040.0,11237710000.0,10408406000.0,11387804000.0,11810861000.0
2041.0,10822441000.0,10348921000.0,11115897000.0,11585343000.0
2042.0,10610083000.0,10172209000.0,10917432000.0,11491956000.0
2043.0,10361691000.0,9895242000.0,10704678000.0,11361062000.0
2044.0,10410825000.0,9701517000.0,10581944000.0,11288732000.0
2045.0,10081211000.0,9383580000.0,10386617000.0,11378421000.0
2046.0,9816963000.0,9213598000.0,10194388000.0,11210445000.0
2047.0,9681513000.0,8885181000.0,9962323000.0,11018600000.0
2048.0,9908518000.0,8841047000.0,9781933000.0,10774508000.0
2049.0,9524871000.0,8598337000.0,9777716000.0,10585360000.0
2050.0,9311262000.0,8380280000.0,9958996000.0,10531341000.0
2051.0,9208191000.0,8185403400.0,9693926000.0,10347314000.0
2052.0,8951230000.0,8012321000.0,9354552000.0,10199870000.0
2053.0,9005752000.0,7794329600.0,9296670000.0,10173878000.0
2054.0,8871911000.0,7650263600.0,8992927000.0,10290090000.0
2055.0,8609749000.0,7545491000.0,8742579000.0,10442268000.0
2056.0,8603354000.0,7450554400.0,8825084000.0,10410278000.0
2057.0,8352846300.0,7442140000.0,8525595600.0,10224887000.0
2058.0,8253389000.0,7168314000.0,8445568000.0,9888808000.0
2059.0,8147177000.0,7220848600.0,8350689300.0,9607989000.0
2060.0,9351623000.0,6936332300.0,8160997400.0,10257257000.0
2061.0,9164916000.0,7896535000.0,8083833300.0,9621124000.0
2062.0,8516291000.0,6830256000.0,7958727700.0,9407466000.0
2063.0,8212105700.0,6645645000.0,7861921000.0,9576224000.0
2064.0,7977899500.0,6552385500.0,7786821600.0,9446875000.0
2065.0,7796520000.0,6381914000.0,7644937700.0,10020977000.0
2066.0,7863528000.0,6287919000.0,7603231000.0,9205853000.0
2067.0,7592380000.0,6114172400.0,7447208000.0,9122760000.0
2068.0,7975487000.0,6383372000.0,7320319500.0,9074612000.0
2069.0,7679095000.0,6450269700.0,7216957400.0,10058507000.0
2070.0,7533618700.0,5860408000.0,7124368400.0,12234487000.0
2071.0,7364417000.0,7498110000.0,7177555000.0,9891444000.0
2072.0,7188065300.0,7696146000.0,7047518000.0,9313443000.0
2073.0,7512004000.0,7052430000.0,6910934500.0,9063248000.0
2074.0,8237360600.0,6513330700.0,6866095600.0,10741666000.0
2075.0,7269074400.0,6096150500.0,6704973000.0,9912476000.0
2076.0,7090573300.0,6255181300.0,6562649000.0,9852457000.0
2077.0,7203103000.0,5848535000.0,6633488000.0,9283592000.0
2078.0,7065084400.0,5750862300.0,6683135000.0,9175378000.0
2079.0,6895273500.0,5721494000.0,6485798000.0,9106870000.0
2080.0,6806102000.0,5539187000.0,6467190000.0,9207387000.0
2081.0,8175671300.0,7712327000.0,6236403000.0,8900526000.0
2082.0,6973533700.0,5689663500.0,6714074600.0,9099013000.0
2083.0,7216369000.0,5444037000.0,6184816600.0,8861527000.0
2084.0,6782573600.0,5295725000.0,6253343000.0,8904019000.0
2085.0,6565540400.0,5640990700.0,5936163000.0,10417943000.0
2086.0,6594285600.0,6371461000.0,5994170000.0,9221044000.0
2087.0,6364770000.0,5361445400.0,5806661600.0,9033565000.0
2088.0,6322029000.0,5189432000.0,5813903000.0,8752596000.0
2089.0,6264893000.0,7649234400.0,5669715000.0,8917883000.0
2090.0,6145955300.0,5880587000.0,5616177000.0,9027837000.0
2091.0,6127279600.0,5164514300.0,6143737300.0,8886244000.0
2092.0,6090265600.0,5057249000.0,6820468700.0,9399960000.0
2093.0,7410684400.0,5763840500.0,5992462000.0,8683545000.0
2094.0,6594940000.0,5738422300.0,5829855000.0,9072151000.0
2095.0,6295099400.0,5067300400.0,5708204500.0,9989443000.0
2096.0,6122632700.0,5493977000.0,6204605400.0,9340273000.0
2097.0,5950438400.0,5529751600.0,6083777000.0,8855860000.0
2098.0,6089879600.0,5012863000.0,6228117000.0,9440371000.0
2099.0,6006952400.0,5719757000.0,5638537700.0,9141484000.0
2100.0,6334211600.0,5071914000.0,5555800600.0,9114321000.0
